canonical_rank	concept	n_lists	in_canonical
1	i	1136	1
2	you (singular)	1109	1
3	he	859	1
4	we	898	1
5	you (plural)	16	1
6	they	772	1
7	this	744	1
8	that	661	1
9	here	451	1
10	there	430	1
11	who	901	1
12	what	904	1
13	where	516	1
14	when	413	1
15	how	420	1
16	not	708	1
17	all	788	1
18	many	876	1
19	some	140	1
20	few	386	1
21	other	308	1
22	one	1056	1
23	two	1082	1
24	three	726	1
25	four	566	1
26	five	529	1
27	big	1009	1
28	long	964	1
29	wide	261	1
30	thick	292	1
31	heavy	639	1
32	small	979	1
33	short	681	1
34	narrow	268	1
35	thin	446	1
36	woman	1086	1
37	man (adult male)	1096	1
38	man (human being)	660	1
39	child	759	1
40	wife	465	1
41	husband	453	1
42	mother	848	1
43	father	898	1
44	animal	296	1
45	fish	964	1
46	bird	1056	1
47	dog	1128	1
48	louse	985	1
49	snake	874	1
50	worm	306	1
51	tree	1085	1
52	forest	522	1
53	stick	306	1
54	fruit	522	1
55	seed	705	1
56	leaf	913	1
57	root	895	1
58	bark	734	1
59	flower	401	1
60	grass	632	1
61	rope	622	1
62	skin	1060	1
63	meat	939	1
64	blood	1066	1
65	bone	1088	1
66	fat (n.)	870	1
67	egg	998	1
68	horn	484	1
69	tail	915	1
70	feather	605	1
71	hair	1045	1
72	head	1135	1
73	ear	1126	1
74	eye	1152	1
75	nose	754	1
76	mouth	1094	1
77	tooth	1090	1
78	tongue	1099	1
79	fingernail	709	1
80	foot	923	1
81	leg	849	1
82	knee	966	1
83	hand	938	1
84	wing	649	1
85	belly	1041	1
86	guts	433	1
87	neck	951	1
88	back	722	1
89	breast	1040	1
90	heart	833	1
91	liver	785	1
92	drink	826	1
93	eat	1009	1
94	bite	833	1
95	suck	329	1
96	spit	651	1
97	vomit	457	1
98	blow	489	1
99	breathe	357	1
100	laugh	635	1
101	see	952	1
102	hear	927	1
103	know	707	1
104	think	418	1
105	smell	416	1
106	fear	530	1
107	sleep	977	1
108	live	388	1
109	die	916	1
110	kill	821	1
111	fight	345	1
112	hunt	278	1
113	hit	670	1
114	cut	610	1
115	split	385	1
116	stab	150	1
117	scratch	381	1
118	dig	570	1
119	swim	622	1
120	fly (v.)	736	1
121	walk	952	1
122	come	1022	1
123	lie	625	1
124	sit	977	1
125	stand	940	1
126	turn	409	1
127	fall	633	1
128	give	983	1
129	hold	376	1
130	squeeze	179	1
131	rub	302	1
132	wash	504	1
133	wipe	153	1
134	pull	463	1
135	push	412	1
136	throw	516	1
137	tie	532	1
138	sew	295	1
139	count	292	1
140	say	961	1
141	sing	543	1
142	play	380	1
143	float	193	1
144	flow	236	1
145	freeze	59	1
146	swell	295	1
147	sun	1126	1
148	moon	1109	1
149	star	1032	1
150	water	1094	1
151	rain	1048	1
152	river	544	1
153	lake	332	1
154	sea	455	1
155	salt	525	1
156	stone	998	1
157	sand	945	1
158	dust	333	1
159	earth	954	1
160	cloud	923	1
161	fog	403	1
162	sky	592	1
163	wind	844	1
164	snow	118	1
165	ice	155	1
166	smoke	1062	1
167	fire	1149	1
168	ashes	988	1
169	burn	852	1
170	road	1005	1
171	mountain	939	1
172	red	949	1
173	green	669	1
174	yellow	666	1
175	white	992	1
176	black	1017	1
177	night	980	1
178	day	582	1
179	year	314	1
180	warm	906	1
181	cold	916	1
182	full	778	1
183	new	944	1
184	old	697	1
185	good	1018	1
186	bad	722	1
187	rotten	356	1
188	dirty	419	1
189	straight	464	1
190	round	472	1
191	sharp	453	1
192	dull	107	1
193	smooth	248	1
194	wet	581	1
195	dry	843	1
196	correct	246	1
197	near	569	1
198	far	564	1
199	right	475	1
200	left	482	1
201	at	134	1
202	in	345	1
203	with	166	1
204	and	285	1
205	if	185	1
206	because	182	1
207	name	1000	1
	arm	691	0
	house	646	0
	fly (n.)	587	0
	brother	584	0
	you	549	0
	sister	540	0
	shoulder	537	0
	weep	530	0
	finger	522	0
	wood	516	0
	rat	495	0
	tomorrow	492	0
	elbow	481	0
	take	473	0
	yesterday	473	0
	mosquito	463	0
	forehead	454	0
	chin	443	0
	boy	436	0
	chest	434	0
	navel	434	0
	thigh	416	0
	girl	415	0
	emu	412	0
	crocodile	399	0
	claw	387	0
	morning	382	0
	face	373	0
	butterfly	364	0
	throat	350	0
	thunder	350	0
	arrow	346	0
	lip	330	0
	lightning	325	0
	vagina	324	0
	calf	320	0
	we (incl.)	317	0
	hole	314	0
	wallaby	313	0
	you two	307	0
	ripe	303	0
	they two	292	0
	nape	290	0
	branch	283	0
	today	279	0
	cassowary	275	0
	cheek	269	0
	sweet	263	0
	yes	262	0
	we two (incl.)	248	0
	we (excl.)	230	0
	excrement	212	0
	dark	212	0
	son	211	0
	daughter	201	0
	ankle	192	0
	we two	189	0
	bitter	188	0
	kangaroo	166	0
	thorn	151	0
	dance	149	0
	sour	128	0
	we two (excl.)	123	0
	jaw	115	0
	unripe	87	0
	woomera	69	0
	which	68	0
	why	68	0
	empty	67	0
	wrong	67	0
	heel	62	0
	frog	59	0
	wrist	21	0
	down	3	0
	up	3	0
	woods	3	0
	pierce	2	0
	fly	2	0
	grease	2	0
	female	1	0
	male	1	0
	heat	1	0
	to	1	0
	breat	1	0
	strike	1	0
	tsy	1	0
