gloss	n_lists	in_canonical	canonical_rank
eye	1152	1	74
fire	1149	1	167
i	1136	1	1
head	1135	1	72
dog	1128	1	47
ear	1126	1	73
sun	1126	1	147
moon	1109	1	148
thou	1107	0	
tongue	1098	1	78
man	1094	0	
mouth	1094	1	76
water	1094	1	150
tooth	1090	1	77
bone	1088	1	65
woman	1086	1	36
tree	1085	1	51
two	1082	1	23
blood	1066	1	64
smoke	1062	1	166
skin	1060	1	62
bird	1056	1	46
one	1056	1	22
rain	1048	1	151
hair	1045	1	71
belly	1041	1	85
breast	1040	1	89
star	1032	1	149
come	1022	1	122
good	1018	1	185
black	1017	1	176
eat	1009	1	93
road	1005	1	170
name	1000	1	207
egg	998	1	67
stone	998	1	156
white	992	1	175
ashes	988	1	168
louse	985	1	48
give	983	1	128
night	980	1	177
small	979	1	32
sit	977	1	124
sleep	977	1	107
knee	966	1	82
fish	964	1	45
long	964	1	28
say	961	1	140
earth	954	1	159
see	952	1	101
neck	951	1	87
red	949	1	172
big	946	1	27
sand	945	1	157
new	944	1	183
stand	940	1	125
mountain	939	1	171
hand	938	1	83
meat	938	1	63
walk	934	1	121
hear	927	1	102
cloud	923	1	160
foot	923	1	80
cold	916	1	181
die	916	1	109
tail	915	1	69
leaf	913	1	56
warm	906	1	180
what	904	1	12
who	901	1	11
father	898	1	43
we	898	1	4
root	895	1	57
many	876	1	18
snake	874	1	49
leg	849	1	81
mother	848	1	42
wind	844	1	163
dry	843	1	195
fat (n.)	838	1	66
burn	835	1	169
bite	833	1	94
heart	833	1	90
drink	826	1	92
kill	821	1	110
all	788	1	17
liver	785	1	91
they	772	1	6
full	762	1	182
child	759	1	39
nose	754	1	75
this	744	1	7
bark	734	1	58
three	726	1	24
back	722	1	88
bad	722	1	186
he/she	722	0	
fly (v.)	720	1	120
fingernail	709	1	79
not	708	1	16
know	707	1	103
seed	705	1	55
old	697	1	184
arm	691	0	
short	681	1	33
hit	670	1	113
green	669	1	173
yellow	666	1	174
that	661	1	8
person	658	0	
spit	651	1	96
wing	649	1	84
house	646	0	
heavy	639	1	31
laugh	635	1	100
fall	633	1	127
grass	632	1	60
lie	625	1	123
rope	622	1	61
swim	622	1	119
cut	610	1	114
feather	605	1	70
sky	592	1	162
fly (n.)	587	0	
brother	584	0	
day	582	1	178
wet	581	1	194
dig	570	1	118
near	569	1	197
four	566	1	25
far	564	1	198
you	549	0	
river	544	1	152
sing	543	1	141
sister	540	0	
shoulder	537	0	
tie	532	1	137
fear	530	1	106
weep	530	0	
five	529	1	26
salt	525	1	155
finger	522	0	
forest	522	1	52
fruit	522	1	54
throw	516	1	136
wood	516	0	
wash	504	1	132
where	504	1	13
rat	495	0	
tomorrow	492	0	
blow	489	1	98
horn	484	1	68
left	482	1	200
elbow	481	0	
right	475	1	199
take	473	0	
yesterday	473	0	
