identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_cmn_swadesh-2	cmn	all	全部 quan2 bu4	t͡ɕʰɥɛn˧˥pu˥˩	
rosettaproject_cmn_swadesh-2	cmn	ashes	灰 hui1	xwei˥	
rosettaproject_cmn_swadesh-2	cmn	bark	树皮 shu4 pi2	ʂu˥˩pʰi˧˥	
rosettaproject_cmn_swadesh-2	cmn	belly	腹部 fu4 bu4	fu˥˩pu˥˩	
rosettaproject_cmn_swadesh-2	cmn	big	大 da4	ta˥˩	
rosettaproject_cmn_swadesh-2	cmn	bird	鸟 niao3	njau˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	bite	咬 yao3	jau˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	black	黑 hei1	xei˥	
rosettaproject_cmn_swadesh-2	cmn	blood	血 xue4	ɕɥe˥˩	
rosettaproject_cmn_swadesh-2	cmn	bone	骨头 gu3 tou5	ku˨˩˦tʰou	
rosettaproject_cmn_swadesh-2	cmn	breast	乳房 ru3 fang2	ʐu˨˩˦faŋ˧˥	
rosettaproject_cmn_swadesh-2	cmn	burn	点着 dian3 zhao2	tjɛn˨˩˦ʈ͡ʂau˧˥	
rosettaproject_cmn_swadesh-2	cmn	burn	烧 shao1	ʂau˥	
rosettaproject_cmn_swadesh-2	cmn	cloud	云 yun2	yn˧˥	
rosettaproject_cmn_swadesh-2	cmn	cold	冷 leng3	ləŋ˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	come	来 lai2	lai˧˥	
rosettaproject_cmn_swadesh-2	cmn	die	死 si3	sɹ̩˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	dog	狗 gou3	kou˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	drink	喝 he1	xɤ˥	
rosettaproject_cmn_swadesh-2	cmn	dry	干 gan1	kan˥	
rosettaproject_cmn_swadesh-2	cmn	ear	耳朵 er3 duo5	ɚ˨˩˦two	
rosettaproject_cmn_swadesh-2	cmn	earth	土地 tu3 di4	tʰu˨˩˦ti˥˩	
rosettaproject_cmn_swadesh-2	cmn	eat	吃 chi1	ʈ͡ʂʰɻ̩˥	
rosettaproject_cmn_swadesh-2	cmn	egg	蛋 dan4	tan˥˩	
rosettaproject_cmn_swadesh-2	cmn	eye	眼睛 yan3 jing1	jɛn˨˩˦t͡ɕiŋ˥	
rosettaproject_cmn_swadesh-2	cmn	fat (n.)	油脂 you2 zhi1	jou˧˥ʈ͡ʂɻ̩˥	
rosettaproject_cmn_swadesh-2	cmn	feather	羽毛 yu3 mao2	y˨˩˦mau˧˥	
rosettaproject_cmn_swadesh-2	cmn	fingernail	指甲 zhi3 jia3	ʈ͡ʂɻ̩˨˩˦t͡ɕja˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	fire	火 huo3	xwo˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	fish	鱼 yu2	y˧˥	
rosettaproject_cmn_swadesh-2	cmn	fly (v.)	飞 fei1	fei˥	
rosettaproject_cmn_swadesh-2	cmn	foot	脚 jiao3	t͡ɕjau˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	full	满 man3	man˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	give	给 gei3	kei˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	good	好 hao3	xau˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	green	绿 lü4	ly˥˩	
rosettaproject_cmn_swadesh-2	cmn	hair	头发 tou2 fa5	tʰou˧˥fa	
rosettaproject_cmn_swadesh-2	cmn	hand	手 shou3	ʂou˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	head	头 tou2	tʰou˧˥	
rosettaproject_cmn_swadesh-2	cmn	hear	听 ting1	tʰiŋ˥	
rosettaproject_cmn_swadesh-2	cmn	heart	心 xin1	ɕin˥	
rosettaproject_cmn_swadesh-2	cmn	horn	卵 luan3	lwan˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	i	我 wo3	wo˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	kill	杀 sha1	ʂa˥	
rosettaproject_cmn_swadesh-2	cmn	knee	膝部 xi1 bu4	ɕi˥pu˥˩	
rosettaproject_cmn_swadesh-2	cmn	know	知道 zhi1 dao4	ʈ͡ʂɻ̩˥tau˥˩	
rosettaproject_cmn_swadesh-2	cmn	leaf	叶子 ye4 zi5	je˥˩t͡sɹ̩	
rosettaproject_cmn_swadesh-2	cmn	lie	躺 tang3	tʰaŋ˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	liver	肝脏 gan1 zang4	kan˥t͡saŋ˥˩	
rosettaproject_cmn_swadesh-2	cmn	long	长 chang2	ʈ͡ʂʰaŋ˧˥	
rosettaproject_cmn_swadesh-2	cmn	louse	虱子 shi1 zi5	ʂɻ̩˥t͡sɹ̩	
rosettaproject_cmn_swadesh-2	cmn	man	男人 nan2 ren2	nan˧˥ʐən˧˥	
rosettaproject_cmn_swadesh-2	cmn	many	许多 xu3 duo1	ɕy˨˩˦two˥	
rosettaproject_cmn_swadesh-2	cmn	meat	肉 rou4	ʐou˥˩	
rosettaproject_cmn_swadesh-2	cmn	moon	月亮 yue4 liang5	ɥe˥˩ljaŋ	
rosettaproject_cmn_swadesh-2	cmn	mountain	山 shan1	ʂan˥	
rosettaproject_cmn_swadesh-2	cmn	mouth	口 kou3	kʰou˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	name	名字 ming2 zi5	miŋ˧˥t͡sɹ̩	
rosettaproject_cmn_swadesh-2	cmn	neck	脖子 bo2 zi5	pwo˧˥t͡sɹ̩	
rosettaproject_cmn_swadesh-2	cmn	new	新 xin1	ɕin˥	
rosettaproject_cmn_swadesh-2	cmn	night	夜 ye4	je˥˩	
rosettaproject_cmn_swadesh-2	cmn	nose	鼻子 bi2 zi5	pi˧˥t͡sɹ̩	
rosettaproject_cmn_swadesh-2	cmn	not	不 bu4	pu˥˩	
rosettaproject_cmn_swadesh-2	cmn	one	一 yi1	i˥	
rosettaproject_cmn_swadesh-2	cmn	person	人 ren2	ʐən˧˥	
rosettaproject_cmn_swadesh-2	cmn	rain	雨 yu3	y˨˩˦	
rosettaproject_cmn_swadesh-2	cmn	red	红 hong2	xʊŋ˧˥	
rosettaproject_cmn_swadesh-2	cmn	road	路 lu4	lu˥˩	
rosettaproject_cmn_swadesh-2	cmn	root	根 gen1	kən˥	
