identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_deu_swadesh-1	deu	all	alle	alle	
rosettaproject_deu_swadesh-1	deu	all	alles	alles	
rosettaproject_deu_swadesh-1	deu	and	und	und	
rosettaproject_deu_swadesh-1	deu	animal	Tier	tier	
rosettaproject_deu_swadesh-1	deu	animal	Tier, das	tier, das	
rosettaproject_deu_swadesh-1	deu	ashes	Asche	aʃe	
rosettaproject_deu_swadesh-1	deu	ashes	Asche, die	aʃe, die	
rosettaproject_deu_swadesh-1	deu	at	an	an	
rosettaproject_deu_swadesh-1	deu	at	bei	bai	
rosettaproject_deu_swadesh-1	deu	back	Rücken	ryken	
rosettaproject_deu_swadesh-1	deu	back	Rücken, zurück	ryken, ʦuryk	
rosettaproject_deu_swadesh-1	deu	bad	böse, schlecht	bøze, ʃleçt	
rosettaproject_deu_swadesh-1	deu	bad	schlecht	ʃleçt	
rosettaproject_deu_swadesh-1	deu	bark	Rinde	rinde	
rosettaproject_deu_swadesh-1	deu	bark	bellen	bellen	
rosettaproject_deu_swadesh-1	deu	because	weil	vail	
rosettaproject_deu_swadesh-1	deu	belly	Bauch	baux	
rosettaproject_deu_swadesh-1	deu	belly	Bauchnabel, der	bauxnabel, der	
rosettaproject_deu_swadesh-1	deu	big	gros	ɡros	
rosettaproject_deu_swadesh-1	deu	bird	Vogel	foɡel	
rosettaproject_deu_swadesh-1	deu	bird	Vogel, der	foɡel, der	
rosettaproject_deu_swadesh-1	deu	bite	beisen	baizen	
rosettaproject_deu_swadesh-1	deu	black	schwarz	ʃvarʦ	
rosettaproject_deu_swadesh-1	deu	blood	Blut	blut	
rosettaproject_deu_swadesh-1	deu	blood	Blut, das	blut, das	
rosettaproject_deu_swadesh-1	deu	blow	blasen	blazen	
rosettaproject_deu_swadesh-1	deu	blow	pusten	pusten	
rosettaproject_deu_swadesh-1	deu	bone	Knochen	knoxen	
rosettaproject_deu_swadesh-1	deu	bone	Knochen, der	knoxen, der	
rosettaproject_deu_swadesh-1	deu	breast	Brust, die	brust, die	
rosettaproject_deu_swadesh-1	deu	breast	chathi	çathi	
rosettaproject_deu_swadesh-1	deu	breast	weibliche Brust	vaibliçe brust	
rosettaproject_deu_swadesh-1	deu	breathe	atmen	atmen	
rosettaproject_deu_swadesh-1	deu	burn	brennen	brennen	
rosettaproject_deu_swadesh-1	deu	child	Kind	kind	
rosettaproject_deu_swadesh-1	deu	child	Kind, das	kind, das	
rosettaproject_deu_swadesh-1	deu	cloud	Wolke	volke	
rosettaproject_deu_swadesh-1	deu	cloud	Wolke, die	volke, die	
rosettaproject_deu_swadesh-1	deu	cold	kalt	kalt	
rosettaproject_deu_swadesh-1	deu	come	kommen	kommen	
