identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_arb_swadesh-1	arb	all	kullu	kullu	
rosettaproject_arb_swadesh-1	arb	ashes	ramaːdun	ramaːdun	
rosettaproject_arb_swadesh-1	arb	bark	liħaːʔun	liħaːʔun	
rosettaproject_arb_swadesh-1	arb	belly	batˁnun	batˁnun	
rosettaproject_arb_swadesh-1	arb	big	kabiːrun	kabiːrun	
rosettaproject_arb_swadesh-1	arb	bird	ʕusˁfuːratun	ʕusˁfuːratun	
rosettaproject_arb_swadesh-1	arb	bite	-ʕudˁdˁ-	-ʕudˁdˁ-	
rosettaproject_arb_swadesh-1	arb	black	ʔaswadu	ʔaswadu	
rosettaproject_arb_swadesh-1	arb	blood	damun	damun	
rosettaproject_arb_swadesh-1	arb	bone	ʕaðˁmun	ʕaðˁmun	
rosettaproject_arb_swadesh-1	arb	breast	nahdun	nahdun	
rosettaproject_arb_swadesh-1	arb	burn	-ħraq-	-ħraq-	
rosettaproject_arb_swadesh-1	arb	cloud	saħbatun	saħbatun	
rosettaproject_arb_swadesh-1	arb	cold	baːridun	baːridun	
rosettaproject_arb_swadesh-1	arb	come	-ʤiːʔ-	-d͡ʒiːʔ-	
rosettaproject_arb_swadesh-1	arb	die	-muːt-	-muːt-	
rosettaproject_arb_swadesh-1	arb	dog	kalbun	kalbun	
rosettaproject_arb_swadesh-1	arb	drink	-ʃrub-	-ʃrub-	
rosettaproject_arb_swadesh-1	arb	dry	jaːbisun	jaːbisun	
rosettaproject_arb_swadesh-1	arb	ear	ʔuðnun	ʔuðnun	
rosettaproject_arb_swadesh-1	arb	earth	ʔardˁun	ʔardˁun	
rosettaproject_arb_swadesh-1	arb	eat	-ʔkul-	-ʔkul-	
rosettaproject_arb_swadesh-1	arb	egg	baydˁun	baydˁun	
rosettaproject_arb_swadesh-1	arb	eye	ʕajnun	ʕajnun	
rosettaproject_arb_swadesh-1	arb	fat (n.)	ʃaħmun	ʃaħmun	
rosettaproject_arb_swadesh-1	arb	feather	riːʃatun	riːʃatun	
rosettaproject_arb_swadesh-1	arb	fingernail	ðˁafrun	ðˁafrun	
rosettaproject_arb_swadesh-1	arb	fire	naːrun	naːrun	
rosettaproject_arb_swadesh-1	arb	fish	samakatun	samakatun	
rosettaproject_arb_swadesh-1	arb	fly (v.)	-tˁiːr-	-tˁiːr-	
rosettaproject_arb_swadesh-1	arb	foot	riʤlun	rid͡ʒlun	
rosettaproject_arb_swadesh-1	arb	full	maliːʔun	maliːʔun	
rosettaproject_arb_swadesh-1	arb	give	-uʕtˁiː-	-uʕtˁiː-	
rosettaproject_arb_swadesh-1	arb	good	tˁajjibun	tˁajjibun	
rosettaproject_arb_swadesh-1	arb	green	ʔaχdˁaru	ʔaχdˁaru	
rosettaproject_arb_swadesh-1	arb	hair	ʃaʕrun	ʃaʕrun	
rosettaproject_arb_swadesh-1	arb	hand	yadun	yadun	
rosettaproject_arb_swadesh-1	arb	head	raʔsun	raʔsun	
rosettaproject_arb_swadesh-1	arb	hear	-smaʕ-	-smaʕ-	
rosettaproject_arb_swadesh-1	arb	heart	qalbun	qalbun	
rosettaproject_arb_swadesh-1	arb	horn	qarnun	qarnun	
rosettaproject_arb_swadesh-1	arb	i	ʔanaː	ʔanaː	
rosettaproject_arb_swadesh-1	arb	kill	-qtul-	-qtul-	
rosettaproject_arb_swadesh-1	arb	knee	rukbatun	rukbatun	
rosettaproject_arb_swadesh-1	arb	know	-ʕrif-	-ʕrif-	
rosettaproject_arb_swadesh-1	arb	leaf	waraqatun	waraqatun	
rosettaproject_arb_swadesh-1	arb	lie	-rqud-	-rqud-	
rosettaproject_arb_swadesh-1	arb	liver	kabidun	kabidun	
rosettaproject_arb_swadesh-1	arb	long	tˁawiːlun	tˁawiːlun	
rosettaproject_arb_swadesh-1	arb	louse	qamlatun	qamlatun	
rosettaproject_arb_swadesh-1	arb	man	raʤulun	rad͡ʒulun	
rosettaproject_arb_swadesh-1	arb	many	kaθiːrun	kaθiːrun	
rosettaproject_arb_swadesh-1	arb	meat	laħmun	laħmun	
rosettaproject_arb_swadesh-1	arb	moon	qamarun	qamarun	
rosettaproject_arb_swadesh-1	arb	mountain	ʤabalun	d͡ʒabalun	
rosettaproject_arb_swadesh-1	arb	mouth	famun	famun	
rosettaproject_arb_swadesh-1	arb	name	ismun	ismun	
rosettaproject_arb_swadesh-1	arb	neck	raqabatun	raqabatun	
rosettaproject_arb_swadesh-1	arb	new	ʤadiːdun	d͡ʒadiːdun	
rosettaproject_arb_swadesh-1	arb	night	lajlun	lajlun	
rosettaproject_arb_swadesh-1	arb	nose	ʔanfun	ʔanfun	
rosettaproject_arb_swadesh-1	arb	not	maː	maː	
rosettaproject_arb_swadesh-1	arb	one	waːħidun	waːħidun	
rosettaproject_arb_swadesh-1	arb	person	ʔinsaːnun	ʔinsaːnun	
rosettaproject_arb_swadesh-1	arb	rain	matˁarun	matˁarun	
rosettaproject_arb_swadesh-1	arb	red	ʔaħmaru	ʔaħmaru	
rosettaproject_arb_swadesh-1	arb	road	tˁariːqun	tˁariːqun	
rosettaproject_arb_swadesh-1	arb	root	ʤiðrun	d͡ʒiðrun	
rosettaproject_arb_swadesh-1	arb	round	daːʔirun	daːʔirun	
rosettaproject_arb_swadesh-1	arb	sand	ramlun	ramlun	
rosettaproject_arb_swadesh-1	arb	say	-quːl-	-quːl-	
rosettaproject_arb_swadesh-1	arb	see	-raː-	-raː-	
rosettaproject_arb_swadesh-1	arb	seed	zarʕun	zarʕun	
