identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_ces_swadesh-1	ces	all	všechno	fʃɛxno	
rosettaproject_ces_swadesh-1	ces	ashes	popel	popɛl	
rosettaproject_ces_swadesh-1	ces	at	při	pr̝̥ɪ	
rosettaproject_ces_swadesh-1	ces	bad	zlý	zliː	
rosettaproject_ces_swadesh-1	ces	bark	kůra	kuːra	
rosettaproject_ces_swadesh-1	ces	belly	břicho	br̝ɪxo	
rosettaproject_ces_swadesh-1	ces	big	velký	vɛlkiː	
rosettaproject_ces_swadesh-1	ces	bird	pták	ptaːk	
rosettaproject_ces_swadesh-1	ces	bite	kousat	kou̯sat	
rosettaproject_ces_swadesh-1	ces	black	černý	t͡ʃɛrniː	
rosettaproject_ces_swadesh-1	ces	blood	krev	krɛf	
rosettaproject_ces_swadesh-1	ces	bone	kost	kost	
rosettaproject_ces_swadesh-1	ces	breast	prso	pr̩so	
rosettaproject_ces_swadesh-1	ces	burn	hořet	ɦor̝ɛt	
rosettaproject_ces_swadesh-1	ces	cloud	mrak	mrak	
rosettaproject_ces_swadesh-1	ces	cold	studený	studɛniː	
rosettaproject_ces_swadesh-1	ces	come	pojd	pojt	
rosettaproject_ces_swadesh-1	ces	day	den	dɛn	
rosettaproject_ces_swadesh-1	ces	die	umřít	umr̝iːt	
rosettaproject_ces_swadesh-1	ces	dog	pes	pɛs	
rosettaproject_ces_swadesh-1	ces	drink	pít, pití	piːt, pɪciː	
rosettaproject_ces_swadesh-1	ces	dry	sucho, suché	suxo, suxɛː	
rosettaproject_ces_swadesh-1	ces	ear	ucho	uxo	
rosettaproject_ces_swadesh-1	ces	earth	země, zem	zɛmɲɛ, zɛm	
rosettaproject_ces_swadesh-1	ces	eat	jíst	jiːst	
rosettaproject_ces_swadesh-1	ces	egg	vejce	vɛjt͡sɛ	
rosettaproject_ces_swadesh-1	ces	eye	oko	oko	
rosettaproject_ces_swadesh-1	ces	fat (n.)	sádlo	saːdlo	
rosettaproject_ces_swadesh-1	ces	feather	peří, péro	pɛr̝iː, pɛːro	
rosettaproject_ces_swadesh-1	ces	fingernail	nehet	nɛɦɛt	
rosettaproject_ces_swadesh-1	ces	fire	ohen	oɦɛn	
rosettaproject_ces_swadesh-1	ces	fish	ryba	rɪba	
rosettaproject_ces_swadesh-1	ces	five	pět	pjɛt	
rosettaproject_ces_swadesh-1	ces	flower	květ	kvjɛt	
rosettaproject_ces_swadesh-1	ces	fly (v.)	lítat	liːtat	
rosettaproject_ces_swadesh-1	ces	foot	chodidlo	xoɟɪdlo	
rosettaproject_ces_swadesh-1	ces	four	čtyři	t͡ʃtɪr̝ɪ	
rosettaproject_ces_swadesh-1	ces	full	plný	pl̩niː	
rosettaproject_ces_swadesh-1	ces	give	dát	daːt	
rosettaproject_ces_swadesh-1	ces	good	dobrý, dobře	dobriː, dobr̝ɛ	
rosettaproject_ces_swadesh-1	ces	green	zelený	zɛlɛniː	
rosettaproject_ces_swadesh-1	ces	hair	vlasy, vlas	vlasɪ, vlas	
rosettaproject_ces_swadesh-1	ces	hand	ruka	ruka	
rosettaproject_ces_swadesh-1	ces	head	hlava	ɦlava	
rosettaproject_ces_swadesh-1	ces	hear	slyšet	slɪʃɛt	
rosettaproject_ces_swadesh-1	ces	heart	srdce	sr̩t͡sɛ	
rosettaproject_ces_swadesh-1	ces	horn	roh	rox	
rosettaproject_ces_swadesh-1	ces	how	jak	jak	
rosettaproject_ces_swadesh-1	ces	i	já	jaː	
rosettaproject_ces_swadesh-1	ces	in	v	f	
rosettaproject_ces_swadesh-1	ces	kill	zabít	zabiːt	
rosettaproject_ces_swadesh-1	ces	knee	koleno	kolɛno	
rosettaproject_ces_swadesh-1	ces	know	vědět	vjɛɟɛt	
rosettaproject_ces_swadesh-1	ces	leaf	list	lɪst	
rosettaproject_ces_swadesh-1	ces	lie	ležet	lɛʒɛt	
rosettaproject_ces_swadesh-1	ces	lie	lhát	l̩ɦaːt	
rosettaproject_ces_swadesh-1	ces	liver	játra	jaːtra	
rosettaproject_ces_swadesh-1	ces	long	dlouhý	dlou̯ɦiː	
rosettaproject_ces_swadesh-1	ces	louse	veš	vɛʃ	
rosettaproject_ces_swadesh-1	ces	man	muž	muʃ	
rosettaproject_ces_swadesh-1	ces	many	mnoho, hodně	mnoɦo, ɦodɲɛ	
rosettaproject_ces_swadesh-1	ces	meat	maso	maso	
rosettaproject_ces_swadesh-1	ces	moon	měsíc	mɲɛsiːt͡s	
rosettaproject_ces_swadesh-1	ces	mountain	hora	ɦora	
rosettaproject_ces_swadesh-1	ces	mouth	pusa	pusa	
rosettaproject_ces_swadesh-1	ces	name	jméno	jmɛːno	
rosettaproject_ces_swadesh-1	ces	neck	krk	kr̩k	
rosettaproject_ces_swadesh-1	ces	new	nový	noviː	
rosettaproject_ces_swadesh-1	ces	night	nnoc	nnot͡s	
rosettaproject_ces_swadesh-1	ces	nose	nos	nos	
rosettaproject_ces_swadesh-1	ces	not	ne	nɛ	
rosettaproject_ces_swadesh-1	ces	old	starý	stariː	
rosettaproject_ces_swadesh-1	ces	one	jeden, jedno	jɛdɛn, jɛdno	
rosettaproject_ces_swadesh-1	ces	other	jiný	jɪniː	
rosettaproject_ces_swadesh-1	ces	person	člověk	t͡ʃlovjɛk	
rosettaproject_ces_swadesh-1	ces	rain	déšt	dɛːʃt	
rosettaproject_ces_swadesh-1	ces	red	červený	t͡ʃɛrvɛniː	
rosettaproject_ces_swadesh-1	ces	river	řeka	r̝ɛka	
rosettaproject_ces_swadesh-1	ces	road	cesta, silnice	t͡sɛsta, sɪlɲɪt͡sɛ	
rosettaproject_ces_swadesh-1	ces	root	kořen	kor̝ɛn	
rosettaproject_ces_swadesh-1	ces	round	kulatý	kulatiː	
rosettaproject_ces_swadesh-1	ces	sand	písek	piːsɛk	
rosettaproject_ces_swadesh-1	ces	say	říct, povědět	r̝iːt͡st, povjɛɟɛt	
rosettaproject_ces_swadesh-1	ces	see	vidět	vɪɟɛt	
rosettaproject_ces_swadesh-1	ces	seed	semínko, semeno	sɛmiːŋko, sɛmɛno	
rosettaproject_ces_swadesh-1	ces	sit	sedět	sɛɟɛt	
rosettaproject_ces_swadesh-1	ces	skin	kůže	kuːʒɛ	
rosettaproject_ces_swadesh-1	ces	sleep	spát	spaːt	
rosettaproject_ces_swadesh-1	ces	small	malý	maliː	
rosettaproject_ces_swadesh-1	ces	smoke	kouřit, kouř	kou̯r̝ɪt, kou̯r̝̥	
rosettaproject_ces_swadesh-1	ces	snow	sníh	sɲiːx	
rosettaproject_ces_swadesh-1	ces	stand	stát	staːt	
rosettaproject_ces_swadesh-1	ces	star	hvězda	ɦvjɛzda	
rosettaproject_ces_swadesh-1	ces	stone	kámen	kaːmɛn	
rosettaproject_ces_swadesh-1	ces	sun	slunce	slunt͡sɛ	
rosettaproject_ces_swadesh-1	ces	swim	plavat	plavat	
rosettaproject_ces_swadesh-1	ces	tail	ocas	ot͡sas	
rosettaproject_ces_swadesh-1	ces	that	to, tamto	to, tamto	
rosettaproject_ces_swadesh-1	ces	this	tohle	toɦlɛ	
rosettaproject_ces_swadesh-1	ces	thou	oni	oɲɪ	
rosettaproject_ces_swadesh-1	ces	thou	ty	tɪ	
rosettaproject_ces_swadesh-1	ces	three	tři	tr̝̥ɪ	
rosettaproject_ces_swadesh-1	ces	tongue	jazyk	jazɪk	
rosettaproject_ces_swadesh-1	ces	tooth	zub	zup	
rosettaproject_ces_swadesh-1	ces	tree	strom	strom	
rosettaproject_ces_swadesh-1	ces	two	dva, dvě	dva, dvjɛ	
rosettaproject_ces_swadesh-1	ces	walk	chodit	xoɟɪt	
rosettaproject_ces_swadesh-1	ces	warm	teplo	tɛplo	
rosettaproject_ces_swadesh-1	ces	water	voda	voda	
rosettaproject_ces_swadesh-1	ces	we	my	mɪ	
rosettaproject_ces_swadesh-1	ces	what	co	t͡so	
rosettaproject_ces_swadesh-1	ces	where	kde	ɡdɛ	
rosettaproject_ces_swadesh-1	ces	white	bílý	biːliː	
rosettaproject_ces_swadesh-1	ces	who	kdo	ɡdo	
rosettaproject_ces_swadesh-1	ces	wind	vítr	viːtr̩	
rosettaproject_ces_swadesh-1	ces	with	s	s	
rosettaproject_ces_swadesh-1	ces	woman	žena	ʒɛna	
rosettaproject_ces_swadesh-1	ces	year	rok	rok	
rosettaproject_ces_swadesh-1	ces	yellow	žlutý	ʒlutiː	
rosettaproject_slk_swadesh-1	slk	all	všetko	fʃɛtkɔ	
rosettaproject_slk_swadesh-1	slk	all	všteký	fʃtɛkiː	
rosettaproject_slk_swadesh-1	slk	and	a	a	
rosettaproject_slk_swadesh-1	slk	animal	zviera	zvi̯ɛra	
rosettaproject_slk_swadesh-1	slk	ashes	popol	pɔpɔl	
rosettaproject_slk_swadesh-1	slk	at	pri	pri	
rosettaproject_slk_swadesh-1	slk	back	chrbát	xr̩baːt	
rosettaproject_slk_swadesh-1	slk	bad	zlý	zliː	
rosettaproject_slk_swadesh-1	slk	bark	kôra	ku̯ɔra	
rosettaproject_slk_swadesh-1	slk	because	lebo	lɛbɔ	
rosettaproject_slk_swadesh-1	slk	belly	brucho	bruxɔ	
rosettaproject_slk_swadesh-1	slk	big	veľký	vɛʎkiː	
rosettaproject_slk_swadesh-1	slk	bird	vták	ftaːk	
rosettaproject_slk_swadesh-1	slk	bite	hrízť	ɦriːsc	
rosettaproject_slk_swadesh-1	slk	black	čierny	t͡ʃi̯ɛrni	
rosettaproject_slk_swadesh-1	slk	blood	krv	kr̩f	
rosettaproject_slk_swadesh-1	slk	blow	fúkať	fuːkac	
rosettaproject_slk_swadesh-1	slk	bone	kosť	kɔsc	
rosettaproject_slk_swadesh-1	slk	breast	prs	pr̩s	
rosettaproject_slk_swadesh-1	slk	breast	prsník	pr̩sɲiːk	
rosettaproject_slk_swadesh-1	slk	breathe	dýchať	diːxac	
rosettaproject_slk_swadesh-1	slk	burn	páliť, horieť	paːʎic, ɦɔri̯ɛc	
rosettaproject_slk_swadesh-1	slk	child	dieťa	ɟi̯ɛca	
rosettaproject_slk_swadesh-1	slk	cloud	mrak	mrak	
rosettaproject_slk_swadesh-1	slk	cloud	oblak	ɔblak	
rosettaproject_slk_swadesh-1	slk	cold	zima	zima	
rosettaproject_slk_swadesh-1	slk	come	prísť	priːsc	
rosettaproject_slk_swadesh-1	slk	correct	správny	spraːvni	
rosettaproject_slk_swadesh-1	slk	count	počítať	pɔt͡ʃiːtac	
rosettaproject_slk_swadesh-1	slk	cut	rezať	rɛzac	
rosettaproject_slk_swadesh-1	slk	cut	sekať	sɛkac	
