identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_ydd_swadesh-1	ydd	all	אַלע	alɛ	
rosettaproject_ydd_swadesh-1	ydd	and	און	un	
rosettaproject_ydd_swadesh-1	ydd	animal	חיה	xajɛ	
rosettaproject_ydd_swadesh-1	ydd	ashes	אַשן	aʃn	
rosettaproject_ydd_swadesh-1	ydd	at	בײַ	baj	
rosettaproject_ydd_swadesh-1	ydd	back	צוריק	t͡surik	
rosettaproject_ydd_swadesh-1	ydd	bad	שלעכט	ʃlɛxt	
rosettaproject_ydd_swadesh-1	ydd	bark	בילן	biln	
rosettaproject_ydd_swadesh-1	ydd	because	װײַל	vajl	
rosettaproject_ydd_swadesh-1	ydd	belly	בױך	bɔjx	
rosettaproject_ydd_swadesh-1	ydd	big	גרױס	ɡrɔjs	
rosettaproject_ydd_swadesh-1	ydd	bird	פֿױגל	fɔjɡl	
rosettaproject_ydd_swadesh-1	ydd	bite	בײַסן	bajsn	
rosettaproject_ydd_swadesh-1	ydd	black	שװאַרץ	ʃvart͡s	
rosettaproject_ydd_swadesh-1	ydd	blood	בלוט	blut	
rosettaproject_ydd_swadesh-1	ydd	blow	בלאָזן	blɔzn	
rosettaproject_ydd_swadesh-1	ydd	bone	בײַן	bajn	
rosettaproject_ydd_swadesh-1	ydd	breast	ברוסט	brust	
rosettaproject_ydd_swadesh-1	ydd	breathe	אָטעמען	ɔtɛmɛn	
rosettaproject_ydd_swadesh-1	ydd	burn	ברענען	brɛnɛn	
rosettaproject_ydd_swadesh-1	ydd	child	קינד	kind	
rosettaproject_ydd_swadesh-1	ydd	cloud	װאָלקן	vɔlkn	
rosettaproject_ydd_swadesh-1	ydd	cold	קאַלט	kalt	
rosettaproject_ydd_swadesh-1	ydd	come	קומען	kumɛn	
rosettaproject_ydd_swadesh-1	ydd	correct	ריכטיק	rixtik	
rosettaproject_ydd_swadesh-1	ydd	count	צײַלן	t͡sajln	
rosettaproject_ydd_swadesh-1	ydd	cut	שנײַדן	ʃnajdn	
rosettaproject_ydd_swadesh-1	ydd	day	טאָג	tɔɡ	
rosettaproject_ydd_swadesh-1	ydd	die	שטאַרבן	ʃtarbn	
rosettaproject_ydd_swadesh-1	ydd	dig	גראָבן	ɡrɔbn	
rosettaproject_ydd_swadesh-1	ydd	dirty	שמוציק	ʃmut͡sik	
rosettaproject_ydd_swadesh-1	ydd	dog	הונט	hunt	
rosettaproject_ydd_swadesh-1	ydd	drink	טרינקען	trinkɛn	
rosettaproject_ydd_swadesh-1	ydd	dry	טרוקן	trukn	
rosettaproject_ydd_swadesh-1	ydd	dull	טעמפּ	tɛmp	
rosettaproject_ydd_swadesh-1	ydd	dust	שטױב	ʃtɔjb	
rosettaproject_ydd_swadesh-1	ydd	ear	אױער	ɔjɛr	
rosettaproject_ydd_swadesh-1	ydd	earth	ערד	ɛrd	
rosettaproject_ydd_swadesh-1	ydd	eat	עסן	ɛsn	
rosettaproject_ydd_swadesh-1	ydd	egg	אײ	ej	
rosettaproject_ydd_swadesh-1	ydd	eye	אױג	ɔjɡ	
rosettaproject_ydd_swadesh-1	ydd	fall	פֿאַלן	faln	
rosettaproject_ydd_swadesh-1	ydd	far	װײַט	vajt	
rosettaproject_ydd_swadesh-1	ydd	fat (n.)	שמאַלץ	ʃmalt͡s	
rosettaproject_ydd_swadesh-1	ydd	father	טאַטע	tatɛ	
rosettaproject_ydd_swadesh-1	ydd	fear	מורא	mɔjrɛ	
rosettaproject_ydd_swadesh-1	ydd	feather	פֿעדער	fɛdɛr	
rosettaproject_ydd_swadesh-1	ydd	few	װינציק	vint͡sik	
rosettaproject_ydd_swadesh-1	ydd	fight	זיך שלאָגן	zix ʃlɔɡn	
rosettaproject_ydd_swadesh-1	ydd	fingernail	פֿינגערנעגל	finɡɛrnɛɡl	
rosettaproject_ydd_swadesh-1	ydd	fire	פֿײַער	fajɛr	
rosettaproject_ydd_swadesh-1	ydd	fish	פֿיש	fiʃ	
rosettaproject_ydd_swadesh-1	ydd	five	פֿינף	finf	
rosettaproject_ydd_swadesh-1	ydd	float	שװימען	ʃvimɛn	
rosettaproject_ydd_swadesh-1	ydd	flow	פֿליסן	flisn	
rosettaproject_ydd_swadesh-1	ydd	flower	בלום	blum	
rosettaproject_ydd_swadesh-1	ydd	fly (v.)	פֿליִען	fliɛn	
rosettaproject_ydd_swadesh-1	ydd	fog	נעפּל	nɛpl	
rosettaproject_ydd_swadesh-1	ydd	foot	פֿוס	fus	
rosettaproject_ydd_swadesh-1	ydd	forest	װאַלד	vald	
rosettaproject_ydd_swadesh-1	ydd	four	פֿיר	fir	
rosettaproject_ydd_swadesh-1	ydd	freeze	פֿאַרפֿרירן	farfrirn	
rosettaproject_ydd_swadesh-1	ydd	fruit	פֿרוכט	fruxt	
rosettaproject_ydd_swadesh-1	ydd	full	פֿול	ful	
rosettaproject_ydd_swadesh-1	ydd	give	געבן	ɡɛbn	
rosettaproject_ydd_swadesh-1	ydd	good	גוט	ɡut	
rosettaproject_ydd_swadesh-1	ydd	grass	גראָז	ɡrɔz	
rosettaproject_ydd_swadesh-1	ydd	green	גרין	ɡrin	
rosettaproject_ydd_swadesh-1	ydd	guts	קישקעס	kiʃkɛs	
rosettaproject_ydd_swadesh-1	ydd	hair	האָר	hɔr	
rosettaproject_ydd_swadesh-1	ydd	hand	האַנט	hant	
rosettaproject_ydd_swadesh-1	ydd	he	ער	ɛr	
rosettaproject_ydd_swadesh-1	ydd	head	קאָפּ	kɔp	
rosettaproject_ydd_swadesh-1	ydd	hear	הערן	hɛrn	
rosettaproject_ydd_swadesh-1	ydd	heart	האַרץ	hart͡s	
rosettaproject_ydd_swadesh-1	ydd	heavy	שװער	ʃvɛr	
rosettaproject_ydd_swadesh-1	ydd	here	דאָ	dɔ	
rosettaproject_ydd_swadesh-1	ydd	hit	שלאָגן	ʃlɔɡn	
rosettaproject_ydd_swadesh-1	ydd	hold	האַלטן	haltn	
rosettaproject_ydd_swadesh-1	ydd	horn	האָרן	hɔrn	
rosettaproject_ydd_swadesh-1	ydd	how	װי	vi	
rosettaproject_ydd_swadesh-1	ydd	hunt	יאָגן	jɔɡn	
rosettaproject_ydd_swadesh-1	ydd	husband	מאַן	man	
rosettaproject_ydd_swadesh-1	ydd	i	איך	ix	
rosettaproject_ydd_swadesh-1	ydd	i	מיך	mix	
rosettaproject_ydd_swadesh-1	ydd	ice	אײַז	ajz	
rosettaproject_ydd_swadesh-1	ydd	if	אױב	ɔjb	
rosettaproject_ydd_swadesh-1	ydd	in	אין	in	
rosettaproject_ydd_swadesh-1	ydd	kill	טײטן	tejtn	
rosettaproject_ydd_swadesh-1	ydd	knee	קני	kni	
rosettaproject_ydd_swadesh-1	ydd	know	װיסן	visn	
rosettaproject_ydd_swadesh-1	ydd	lake	אָזערע	ɔzɛrɛ	
rosettaproject_ydd_swadesh-1	ydd	laugh	לאַכן	laxn	
rosettaproject_ydd_swadesh-1	ydd	leaf	בלאַט	blat	
rosettaproject_ydd_swadesh-1	ydd	left	לינקס	links	
rosettaproject_ydd_swadesh-1	ydd	leg	פֿוס	fus	
rosettaproject_ydd_swadesh-1	ydd	lie	ליגן	liɡn	
rosettaproject_ydd_swadesh-1	ydd	live	לעבן	lɛbn	
rosettaproject_ydd_swadesh-1	ydd	liver	לעבער	lɛbɛr	
rosettaproject_ydd_swadesh-1	ydd	long	לאַנג	lanɡ	
rosettaproject_ydd_swadesh-1	ydd	louse	לױז	lɔjz	
rosettaproject_ydd_swadesh-1	ydd	man	מאַן	man	
rosettaproject_ydd_swadesh-1	ydd	many	אַ סך	a sax	
rosettaproject_ydd_swadesh-1	ydd	meat	פֿלײש	flejʃ	
rosettaproject_ydd_swadesh-1	ydd	moon	לבֿנה	lɛvɔnɛ	
rosettaproject_ydd_swadesh-1	ydd	mother	מאַמע	mamɛ	
rosettaproject_ydd_swadesh-1	ydd	mountain	באַרג	barɡ	
rosettaproject_ydd_swadesh-1	ydd	mouth	מױל	mɔjl	
rosettaproject_ydd_swadesh-1	ydd	name	נאָמען	nɔmɛn	
rosettaproject_ydd_swadesh-1	ydd	narrow	שמאָל	ʃmɔl	
rosettaproject_ydd_swadesh-1	ydd	near	נאָענט	nɔɛnt	
rosettaproject_ydd_swadesh-1	ydd	neck	האַלדז	hald͡z	
rosettaproject_ydd_swadesh-1	ydd	new	נײַ	naj	
rosettaproject_ydd_swadesh-1	ydd	night	נאַכט	naxt	
rosettaproject_ydd_swadesh-1	ydd	nose	נאָז	nɔz	
rosettaproject_ydd_swadesh-1	ydd	not	ניט	nit	
rosettaproject_ydd_swadesh-1	ydd	old	אַלט	alt	
rosettaproject_ydd_swadesh-1	ydd	one	אײנס	ejns	
rosettaproject_ydd_swadesh-1	ydd	other	אַנדער	andɛr	
rosettaproject_ydd_swadesh-1	ydd	person	מענטש	mɛnt͡ʃ	
rosettaproject_ydd_swadesh-1	ydd	play	זיך שפּילן	zix ʃpiln	
rosettaproject_ydd_swadesh-1	ydd	pull	ציִען	t͡siɛn	
rosettaproject_ydd_swadesh-1	ydd	push	שטופּן	ʃtupn	
rosettaproject_ydd_swadesh-1	ydd	rain	רעגן	rɛɡn	
rosettaproject_ydd_swadesh-1	ydd	red	רױט	rɔjt	
rosettaproject_ydd_swadesh-1	ydd	right	רעכטס	rɛxts	
rosettaproject_ydd_swadesh-1	ydd	river	טײַך	tajx	
rosettaproject_ydd_swadesh-1	ydd	road	גאַס	ɡas	
rosettaproject_ydd_swadesh-1	ydd	root	װאָרצל	vɔrt͡sl	
rosettaproject_ydd_swadesh-1	ydd	rope	שטריק	ʃtrik	
rosettaproject_ydd_swadesh-1	ydd	rotten	פֿאַרפֿױלט	farfɔjlt	
rosettaproject_ydd_swadesh-1	ydd	round	קײַלעכיק	kajlɛxik	
rosettaproject_ydd_swadesh-1	ydd	rub	רײַבן	rajbn	
rosettaproject_ydd_swadesh-1	ydd	salt	זאַלץ	zalt͡s	
rosettaproject_ydd_swadesh-1	ydd	sand	זאַמד	zamd	
rosettaproject_ydd_swadesh-1	ydd	say	זאָגן	zɔɡn	
rosettaproject_ydd_swadesh-1	ydd	scratch	קראַצן	krat͡sn	
rosettaproject_ydd_swadesh-1	ydd	sea	ים	jam	
rosettaproject_ydd_swadesh-1	ydd	see	זען	zɛn	
rosettaproject_ydd_swadesh-1	ydd	seed	זױמען	zɔjmɛn	
rosettaproject_ydd_swadesh-1	ydd	sew	נײען	nejɛn	
rosettaproject_ydd_swadesh-1	ydd	sharp	שאַרף	ʃarf	
rosettaproject_ydd_swadesh-1	ydd	short	קורץ	kurt͡s	
rosettaproject_ydd_swadesh-1	ydd	sing	זינגען	zinɡɛn	
rosettaproject_ydd_swadesh-1	ydd	sit	זיצן	zit͡sn	
rosettaproject_ydd_swadesh-1	ydd	skin	הױט	hɔjt	
rosettaproject_ydd_swadesh-1	ydd	sky	הימל	himl	
rosettaproject_ydd_swadesh-1	ydd	sleep	שלאָפֿן	ʃlɔfn	
rosettaproject_ydd_swadesh-1	ydd	small	קלײן	klejn	
rosettaproject_ydd_swadesh-1	ydd	smell	שמעקן	ʃmɛkn	
rosettaproject_ydd_swadesh-1	ydd	smoke	רײכערן	rejxɛrn	
rosettaproject_ydd_swadesh-1	ydd	smooth	גלאַט	ɡlat	
rosettaproject_ydd_swadesh-1	ydd	snake	שלאַנג	ʃlanɡ	
rosettaproject_ydd_swadesh-1	ydd	snow	שנײ	ʃnej	
rosettaproject_ydd_swadesh-1	ydd	some	עטלעכע	ɛtlɛxɛ	
rosettaproject_ydd_swadesh-1	ydd	spit	שפּײַען	ʃpajɛn	
rosettaproject_ydd_swadesh-1	ydd	split	שפּאַלטן	ʃpaltn	
rosettaproject_ydd_swadesh-1	ydd	squeeze	דריקן	drikn	
rosettaproject_ydd_swadesh-1	ydd	stab	שטעכן	ʃtɛxn	
rosettaproject_ydd_swadesh-1	ydd	stand	שטײן	ʃtejn	
rosettaproject_ydd_swadesh-1	ydd	star	שטערן	ʃtɛrn	
rosettaproject_ydd_swadesh-1	ydd	stick	שטעקן	ʃtɛkn	
rosettaproject_ydd_swadesh-1	ydd	stone	שטײן	ʃtejn	
rosettaproject_ydd_swadesh-1	ydd	straight	גלײַך	ɡlajx	
rosettaproject_ydd_swadesh-1	ydd	suck	זױגן	zɔjɡn	
rosettaproject_ydd_swadesh-1	ydd	sun	זון	zun	
rosettaproject_ydd_swadesh-1	ydd	swell	געשװאָלן װערן	ɡɛʃvɔln vɛrn	
rosettaproject_ydd_swadesh-1	ydd	swim	שװימען	ʃvimɛn	
rosettaproject_ydd_swadesh-1	ydd	tail	עק	ɛk	
rosettaproject_ydd_swadesh-1	ydd	that	יענער	jɛnɛr	
rosettaproject_ydd_swadesh-1	ydd	there	דאָרט	dɔrt	
rosettaproject_ydd_swadesh-1	ydd	they	זײ	zej	
rosettaproject_ydd_swadesh-1	ydd	thick	גראָב	ɡrɔb	
rosettaproject_ydd_swadesh-1	ydd	thin	דין	din	
rosettaproject_ydd_swadesh-1	ydd	think	טראַכטן	traxtn	
rosettaproject_ydd_swadesh-1	ydd	this	דאָס	dɔs	
rosettaproject_ydd_swadesh-1	ydd	thou	דו	du	
rosettaproject_ydd_swadesh-1	ydd	thou	דיך	dix	
rosettaproject_ydd_swadesh-1	ydd	three	דרײַ	draj	
rosettaproject_ydd_swadesh-1	ydd	throw	װאַרפֿן	varfn	
rosettaproject_ydd_swadesh-1	ydd	tie	בינדן	bindn	
rosettaproject_ydd_swadesh-1	ydd	tongue	צונג	t͡sunɡ	
rosettaproject_ydd_swadesh-1	ydd	tooth	צאָן	t͡sɔn	
rosettaproject_ydd_swadesh-1	ydd	tree	בױם	bɔjm	
rosettaproject_ydd_swadesh-1	ydd	turn	קערן	kɛrn	
rosettaproject_ydd_swadesh-1	ydd	two	צװײ	t͡svej	
rosettaproject_ydd_swadesh-1	ydd	vomit	אױסברעכן	ɔjsbrɛxn	
rosettaproject_ydd_swadesh-1	ydd	walk	גײן	ɡejn	
rosettaproject_ydd_swadesh-1	ydd	warm	װאַרעם	varɛm	
rosettaproject_ydd_swadesh-1	ydd	wash	װאַשן	vaʃn	
rosettaproject_ydd_swadesh-1	ydd	water	װאַסער	vasɛr	
rosettaproject_ydd_swadesh-1	ydd	we	מיר	mir	
rosettaproject_ydd_swadesh-1	ydd	wet	נאַס	nas	
rosettaproject_ydd_swadesh-1	ydd	what	װאָס	vɔs	
rosettaproject_ydd_swadesh-1	ydd	when	װען	vɛn	
rosettaproject_ydd_swadesh-1	ydd	where	װוּ	vu	
rosettaproject_ydd_swadesh-1	ydd	white	װײַס	vajs	
rosettaproject_ydd_swadesh-1	ydd	who	װער	vɛr	
rosettaproject_ydd_swadesh-1	ydd	wide	ברײט	brejt	
rosettaproject_ydd_swadesh-1	ydd	wife	פֿרױ	frɔj	
rosettaproject_ydd_swadesh-1	ydd	wind	װינט	vint	
rosettaproject_ydd_swadesh-1	ydd	wing	פֿליגל	fliɡl	
rosettaproject_ydd_swadesh-1	ydd	wipe	װישן	viʃn	
rosettaproject_ydd_swadesh-1	ydd	with	מיט	mit	
rosettaproject_ydd_swadesh-1	ydd	woman	פֿרױ	frɔj	
rosettaproject_ydd_swadesh-1	ydd	worm	װאָרעם	vɔrɛm	
rosettaproject_ydd_swadesh-1	ydd	year	יאָר	jɔr	
rosettaproject_ydd_swadesh-1	ydd	yellow	געל	ɡɛl	
rosettaproject_ydd_swadesh-1	ydd	you	איר	ir	
