identifier	lang_code	language	n_transcribed	dom_script	ipa_density	ipa_char_ratio	nonascii_ratio	americanist_ratio	transcription_system
rosettaproject_aad_swadesh-1	aad	Amal	159	Latin	0.069	0.015	0.031	0.001	light_ipa
rosettaproject_aak_swadesh-1	aak	Ankave	101	Latin	0.0	0.0	0.073	0.0	latin_diacritic
rosettaproject_aar_swadesh-1	aar	Afar	147	Latin	0.422	0.111	0.222	0.0	ipa_dense
rosettaproject_aau_swadesh-1	aau	Abau	96	Latin	0.208	0.052	0.061	0.0	light_ipa
rosettaproject_abe_swadesh-1	abe	Abenaki, Western	140	Latin	0.0	0.0	0.022	0.0	latin_diacritic
rosettaproject_abj_swadesh-1	abj	Aka-Bea	899	Latin	0.444	0.182	0.158	0.0	ipa_dense
rosettaproject_abk_swadesh-1	abk	Abkhaz	114	Latin	0.421	0.105	0.308	0.049	ipa_dense
rosettaproject_abq_swadesh-1	abq	Abaza	114	Latin	0.482	0.128	0.305	0.056	ipa_dense
rosettaproject_abt_swadesh-1	abt	Ambulas	481	Latin	0.339	0.107	0.222	0.0	ipa_dense
rosettaproject_abw_swadesh-1	abw	Pal	323	Latin	0.241	0.067	0.105	0.0	light_ipa
rosettaproject_aby_swadesh-1	aby	Aneme Wake	101	Latin	0.0	0.0	0.002	0.002	plain_ascii
rosettaproject_abz_swadesh-1	abz	Abui	548	Latin	0.157	0.049	0.082	0.0	light_ipa
rosettaproject_ace_swadesh-1	ace	Aceh	182	Latin	0.555	0.18	0.224	0.012	ipa_dense
rosettaproject_ach_swadesh-1	ach	Acholi	13	Latin	0.538	0.2	0.37	0.1	ipa_dense
rosettaproject_aci_swadesh-1	aci	Aka-Cari	529	Latin	0.476	0.158	0.154	0.0	ipa_dense
rosettaproject_ack_swadesh-1	ack	Aka-Kora	268	Latin	0.0	0.0	0.113	0.0	latin_diacritic
rosettaproject_acl_swadesh-1	acl	Akar-Bale	695	Latin	0.465	0.196	0.182	0.0	ipa_dense
rosettaproject_acr_swadesh-1	acr	Achi	84	Latin	0.0	0.0	0.0	0.0	plain_ascii
rosettaproject_acx_swadesh-1	acx	Arabic, Omani Spoken	98	Latin	0.184	0.042	0.142	0.0	light_ipa
rosettaproject_ado_swadesh-1	ado	Abu	18	Latin	0.333	0.083	0.149	0.0	ipa_dense
rosettaproject_ady_swadesh-1	ady	Adyghe	114	Latin	0.596	0.186	0.389	0.047	ipa_dense
rosettaproject_aey_swadesh-1	aey	Amele	390	Latin	0.285	0.097	0.095	0.001	ipa_dense
rosettaproject_afb_swadesh-1	afb	Arabic, Gulf Spoken	94	Latin	0.33	0.07	0.159	0.0	ipa_dense
rosettaproject_afi_swadesh-1	afi	Akrukay	19	Latin	0.316	0.072	0.143	0.0	ipa_dense
rosettaproject_afr_swadesh-1	afr	Afrikaans	328	Latin	0.0	0.0	0.004	0.0	plain_ascii
rosettaproject_aft_swadesh-1	aft	Afitti	61	Latin	0.492	0.141	0.319	0.021	ipa_dense
rosettaproject_afz_swadesh-1	afz	Obokuitai	288	Latin	0.219	0.041	0.041	0.004	light_ipa
rosettaproject_agl_swadesh-1	agl	Fembe	287	Latin	0.261	0.074	0.163	0.002	ipa_dense
rosettaproject_ahg_swadesh-1	ahg	Qimant	96	Latin	0.958	0.314	0.353	0.029	ipa_dense
