all: zegˊǝ
ashes: χwa
bark: cva
belly: mgwa
big: du
bird: apsāṭw
bite: c-ħa-ra
black: jkwaċva
blood: šˊa
bone: baʕw
breast: ḳǝḳa
burn tr.: bǝl-ra
claw (nail: na-pχǝc
cloud: pta
cold: χˊšvašva
come: ne-jra
die: ps-ra
dog: la
drink: žv-ra
dry: ʕwa
ear: lǝmħa
earth: adgˊǝl
eat: fa-ra
egg: ḳwṭa-ʁˊ
eye: la
far: e1-χara
fat n.: šša
feather: χӡǝ
fire: mca
fish: psǝӡ
fly v.: pǝr-ra
foot: šˊaṗǝ
full: azna
give: ata-ra
good: bzia
green: jaḉva
hair: χwǝ
hand: naṗǝ
head: χǝ
hear: ħa-ra
heart: gwǝ
heavy: χˊanta
horn: ṭwǝʕwa
I: sa-ra
kill: šˊ-ra
knee: šˊa-mχǝ
know: dǝr-ra
leaf: bʁˊǝ
lie: ja-ra
lie: šˊta-ra
liver: gwaḉva
long: awǝ
louse: ċa
many: račva
man: χaċa
meat: ḳwac
moon: mza
mountain: šˊχa
mouth: ḉǝrχˊara
name: χˊӡǝ
near: ājgʷa
neck: χwda
new: ḉǝ-c
new: ḉǝ-c
night: ċǝχ
nose: pǝnċa
not: m-
one: a-ḳǝ
one: a-ḳǝ
person: waʕwǝ
rain: kwa
red: ʠˊapšˊ
road: mʕwa
root: pašv
root: šˊata
round: gˊažˊ
salt: ǯˊǝḳa
sand: ps-lǝmӡ
say: ħwa-ra
see: ba-ra
seed: ž̌la
short: ḳˊaḉ
sit: ṭwa-ra
skin: čva
sleep: čva-ra
small: χwḉˊǝ
smoke: lʕwa
snake: matǝ
stand: gǝla-ra
star: ajeḉva
stone: χaħw
sun: mra
swim: ӡsa-ra
swim: ӡsa-ra
tail: ċǝχwa
that: ani
that: -ni
thin: ṗa
this: ari
this: -r-i
thou: wa-ra
tongue: bǝz
tooth: χa-pǝ-c
tree: ċla
two: ʕw-ba
walk (go): ca-ra
warm: pχa
water: ӡǝ
we: ħa-ra
what: -a-rban
white: š-ḳwaḳwa
who: -a-rban
wind: pša
woman: pħwǝs
worm: χʷa
year: šǝkʷs
yellow: ʕwežˊ
