all: zǝmʕwa
ashes: qwa
bark: čwa
belly: mgwa
big: du
bird: pssʕaḉwǝ
bite: c-ħa-ra
black: kwajḉwa
blood: šˊa
bone: bʕwǝ
breast: ḳǝḳa
burn tr.: bǝl-ra
claw (nail: napχǝ
cloud: pstħwa
cold: χˊšvašva
come: ʕa-jra
die: ps-ra
dog: la
drink: žw-ra
dry: jǝrʕwu
ear: lǝmħa
earth: adgˊǝl
eat: fa-ra
egg: ḳwṭa-ʁˊ
eye: la
far: qara
fat n.: šša
feather: qwǝ
fire: mca
fish: pslačwa
fly v.: pssʕa-ra
foot: šˊaṗǝ
full: aznata
give: at-ra
good: jbziju
green: jaḉwa
hair: qwǝ-c
hair: qwǝ-c
hand: naṗǝ
head: qa
hear: aʕa-ra
heart: gwǝ
heavy: χˊanta
horn: ḉwʕwa
I: sa-ra
kill: šˊ-ra
knee: šˊa-mqa
know: dǝr-ra
leaf: bʁˊǝ
lie: šˊṭa-za-ra
liver: ḉʷa
long: awǝ
louse: ċa
man: qaċa
many: šˊarda
meat: žˊǝ
moon: mzǝ
mountain: šˊqa
mountain: χwa
mouth: ḉa
name: χˊǝz
near: argʷanǝ
neck: qwda
new: ḉǝ-c
new: ḉǝ-c
night: ċχǝ
night: waqǝ
nose: pǝnċa
not: -m-
one: za-ḳǝ
one: za-ḳǝ
person: ʕwǝḉwʕwǝs
rain: kwa
red: ʠˊapšˊǝ
road: mʕwa
root: šˊata
round: gˊažˊǝ
salt: ǯˊḳa
sand: pχačaqwa
say: ħwa-ra
see: ba-ra
seed: žʷla
short: ajšǝs
sit: ḉwa-ra
skin: čwa
sleep: čwa-ra
small: ḉˊḳwǝn
smoke: lʕwa
snake: ašˊtanḉʷǝ
stand: gǝla-za-ra
star: ajaḉwa
stone: ħaqwǝ
sun: mara
swim: ӡca-ra
swim: ӡca-ra
tail: ċǝqwa
that: ani
that: -ni
thin: ċa
this: ari
this: -r-i
thou: wa-ra
tongue: bzǝ
tooth: pǝ-c
tree: ċla
two: ʕw-ba
walk (go): ca-ra
warm: jpχu
water: ӡǝ
we: ħa-ra
what: aḉwǝja
white: š-ḳwaḳwa
who: dzaḉwǝj-a
wind: pša
woman: pħwǝs
worm: χʷa
year: skʷšǝ
yellow: ʕwažˊ
