all: (ban-)[dum]
and: ŋon
animal: binataŋ
ashes: abεə
back: ruəŋ
bad: broʔ
bark: kulet kayεə
because: [sabap]
belly: [pruət]
bird: [cicem]
bite: [kap]
black: itam
blood: darah
blow: pot
bone: tulɯəŋ
breast: mɔm
breathe: [naphãih]
burn: [tot]
child: anɯʔ
cloud: awan
cold: siǰuəʔ
come: [jaʔ]
correct: bшtoy
count: itoŋ
cut: [kɔh]
die: mate
dig: [kuəh]
dirty: kutɔ
dog: asεə
drink: [ɟep]
dry: [khuəŋ]
dull: tumpoy
dust: abεe
ear: gɯluñ̃̃̃̃̃uəŋ
earth: [bumɔə]
egg: bɔh
egg: bɔh
empty: [sɔh]
eye: mata
fall: srot
far: ǰıuʔoh
father: ayah
fat (n.): gapah
fear: takot
few: [bačut]
fingernail: ʔunur
fire: apuy
fish: ʔɯŋkot
five: limɔŋ
float: ampoŋ
flower: buŋɔŋ
flow: ile
fly (v.): [pɔ]
fog: sagob
foot: gaki
forest: utɯən
four: pɯət
frog: [caŋguəʔ]
fruit: bɔh
full: pшnɔh
give: bri
good: [gεt]
grass: nalɯəŋ
green: iǰo
guts: [pruət]
guts: [pruət]
hair: oʔ
hand: ɟarɔə
head: ulεə
hear: lɯŋɔ
heart: ɟantoŋ
heavy: ghɔn
he: ɟs
hit: [pɔh]
horn: luŋke
how: pa-kri
hunt: humɯǰ
husband: lakɔə
ice: iə batεə
if: mшŋ
I: kεə
in: lam
kill: [pɔh]
knee: tɯʔot
know: thεə
lake: laʔot
large: rayɯʔ
laugh: [khem]
leaf: on
left: [ǰawiə]
leg: gaki
lie: eh
liver: ate
live: udep
long: pañaŋ
louse: gutεə
man: agam
many: [lɨ]
meat: asɔə
moon: bulɯən
mother: ma
mountain: gunɔŋ
mouth: babah
name: nan
narrow: arat
near: rap
neck: [takuə]
new: baro
night: malam
nose: idoŋ
old: tuha
one: sa
person: urɯəŋ
play: mɯʔε̃n
pull: tare?
push: tulaʔ
rain: ujɯən
red: mirah
right: unɯn
river: [kruəŋ]
road: rεt
root: ukhɯə
rope: talɔə
rotten: broʔ
round: gloŋ
rub: sampoh
salt: sira
sand: anɔə
say: khɯn
sea: laʔot
sea: laʔot
seed: [biɟeh]
sew: cap
sharp: taǰam
short: panɯʔ
sing: mɯ-ñañi
sit: duə?
skin: kulet
sky: laŋεt
sleep: eh
small: ubit
smell: [čom]
smoke: asap
smooth: haloih
snake: ulшə
some: pa-dum
spit: ludah
split: plah
stab: tɔp
stand: dɔŋ l
star: bintaŋ
stick: mɯǰɯlih
suck: piəp
sun: mata urɔe
tail: iku
thick: tɯbay
think: mi-hevitra
thin: lipeh
thou: kah
three: Ihεə
throw: srɔm
tie: ikat
tongue: dilah
tooth: gigэə
tree: baʔ
turn: bale?
two: duwa
vomit: mutah
warm: [sɯʔuəm]
wet: basah
what: pɯə
when: pa-ǰan
which: tɔh
white: puteh
who: sɔə
why: pa-kɔn
wide: luwaih
wife: pɔrumɔh
wind: aŋεn
wing: sayɯəp
woman: inɔŋ
worm: glaŋ tanɔh
wrong: salah
year: thon
yellow: kunεŋ
