all: arakhamo we
ankle: nyrònò
arm: tr-èr-trong
ashes: bat
ashes: bitre
at: nyòtòtara
back: trarakarab
bad: è-cayè
bark: ithiyu
belly: ephilyutarkhuro
belly: trèkot.ra
big: bingoye
big: èr-khuro
bird: tajew
bite: yibelyèngo
bitter: kèrèb
black: dririm
blood: tèye
blow: bòr-tarce
blow: era-bora-kè
blow: ulyuyi
bone: ètr-tròye
boy: atròtra
branch: òtr-trong
breast: mètèyi
breast: tr-o-car
brother: ècòkho
brother: òtrtrarachuwituwe
burn: ikhu-bikè
butterfly: drum
cheek: èr-ngòkho
chest: tr-o-car
child: akatra
child: ara-bèlyò
child: atròtra
chin: tr-èr-trab
cloud: tròtar-bèyic
cold: trhòwo
come: khuro
come: trulyiwòm
crocodile: tèwo
cut: tro-chèrè-wòm
dance: jiròy
dark: dririm
daughter: èyicòkha
day: aracoly
day: tròburang
die: èm-philyu
die: è-phily
dig: èmètro
dig: phong
dig: tròtribirpho
dog: cawo/òtr-bèyic
drink: ikhuwe
dry: ètphaya
earth: bowa
earth: jeng
ear: tr-èr-buwo
eat: ijokè
eat: ikhuwe
eat: truyijokòm
egg: e-mulyu
elbow: tr-èwolyatraradrulye
eye: tr-èr-ulyu
eye: tr-èr-ulyu-tr-òt-bèyic
fall: ita-botrè
far: karacpho
father: amaye
fat (n.): tr-è-lyòne
fear: inlyatremam
feather: èr-atr
fingernail: tr-ung-kara
finger: tr-ung-kenab
finger: trungkhudimu
fire: atr
fish: tajew
flow: ekantecòkho
flower: iyòrò
flow: tede
fly (n.): phulyimu
fog: milyithe
foot: tr-mòtrò
forehead: t-èr-còk
forest: cang
forest: cobòng
forest: trimikhu
fruit: òco
full: ara-phètr
full: èr-khuro
girl: akatra
give: cè
give: umokè
good: èr-nòly
grass: imikolyu
green: ekalyawo
guts: imeca
hair: tr-òt-bèyic
hand: tr-ung-korò
head: èr-co
head: tr-èr-mine
hear: mudrewe
heart: tròtrwotudrelyò
heavy: èr-khuro
here: di-jono
he/she: di
he/she: khudi
hit: è-boche
hit: òt-mòkè
hit: tròwe tr.rèchòm
house: nyo
house: trico
how: nekòphe
in: trico-mikhu
I: tr-
I: tr-iyo
jaw: tr-èr-trab
kill: truwebuwartròly
knee: tr-èr-chòròk
lake: kera
laugh: khòlyèwe
leaf: tèyic
left: è-kòrò
lie: tr-aram-beno
lightning: alye
lip: tr-èr-bowa
live: òntòbuk
liver: tr-e-chudru
long: èr-tròyelywum
man: eboye
man: è-tharo
many: arakhamo we
meat: èrbung
meat: thomo
moon: drulya
morning: (driyu/drulya) wikarakòm
morning: uttò
mosquito: nyipho
mother: amimi
mountain: buruing
mouth: ny-pong
mouth: tra-phong
nape: òtr-tròye
narrow: nyòtò-lyèwo
navel: tr-ènget
new: è-kòlyòt
new: erò-khuyi
night: bat
night: tr.ibirbat
nose: tr-ar-kòthò
one: entòblyò
other: òttòk
person: narakhamo
pull: truwe-trèno
push: truwe trèrèkòm
rain: gi-cer
rat: tròwudre
red: ibirang
right: è-còkhò
ripe: iphumu
river: bulyu
road: nyòtò
root: ira-cang
rope: boly
rotten: iburòtrò
salt: trorom
sand: khòro
sand: kòtr
sand: tarphidro
sand: tr-ot-pholyò
say: còlye
scratch: truyinyawòm
sea: bucòtròng
sea: chare
sea: trorom
sea: tròtpholyò
seed: yewulyu
see: iyolyè
sharp: kòropho
short: òkatta
shoulder: tr-èrkhum
sing: jo
sister: ara-bèlyòkha
skin: kòwo
sky: tròwo
sleep: beno
sleep: ubeno
small: è-lyèwo
smell: èchòwòy
smoke: lyeb
snake: chubi
son: atròtra
sour: kèrèb
spit: ing
stand: òytò
stand: ròytò
star: katranye
stick: èlyèwota
stick: èrkhurota
stick: trokho-ta
stone: menyo
straight: è-tròlyò
sweet: iyòm
swell: akadikhe
swell: ònènòye
swim: nyòtrò
swim: utebeno
tail: ara-bèyic
tail: ara-wulyibi
take: ètròwe
take: inya
take: ittaratèwolyè
take: kuwe
take: tr-uwokòm
take: (u)wokò
that: du
that: khu-diayinyo
that: khu-ta-jono
there: khu-di
there: khu-di-jono
there: kulyely
they: dunròma
thick: ènab
thigh: ècò-thomo
thin: èbutru
thin: idrinyalyò
this: di
this: khitiyo
thorn: ce
thou: ny-io
throat: tr-akèr
throw: ittartròy
thunder: kuru.rde
tie: tròyi-cowòm
tongue: tr-atab
tooth: tr-èr-bilye
tree: tròkho
tree: tròtarwe
turn: tram-phoròwòm
vagina: tebu
walk: ècòlyè
walk: tròcanewòm
warm: khimily
wash: tròttòk
water: ino
we: du tr-iyo
weep: nyòlyò
weep: tr-èr-ino
we (incl.): ny-iyo tr-iyo
wet: it-eno
we: tr-arakhamo
we: tr-èyicòwe
we: tr-uncènkò
wet: tritar-ino
we two: duyiyo tr-iyo
what: cayèwe
when: drekhò
where: khuder
where: khuidi
white: è-tr-òlyò-tr-mo
who: nya-chubi
wind: bòr
woman: ebukhu
wood: èrob
wood: tròkò
you: n-arakhomo we
you: nòncènkò
you two: ny-èr-pholy
you two: ny-ily-iyo
