all: conjel
ashes: chaj
bark: jomet
big: nim
bite: raxinic
blood: quiq\uel
bone: b\ak
breast: tz\um
burn: c\atic
cloud: sutz\
come: c\un
die: camic
dog: tz\i
drink: tu\ic
earth: uleu
ear: xiquin
eat: i\im
egg: sakmol
eye: wach
fat (n.): manteca
feather: xic
fingernail: rixc\ak
fire: \a\
fish: car
fly (v.): rupupic
foot: akan
give: ya
guts: pam
hair: wi
hand: \ab\
head: jolom
hear: ta
heart: anma
horn: ruca\
I: yin
kill: camsaj
knee: ch\ec
know: etam
leaf: xac
lie: cotzolic
liver: saseb\
long: nim rakan
louse: uc\
man: achi
meat: ti\(ij)
moon: ic\
mountain: jyub\
mouth: chi\
neck: rij a kul
nose: tzam
one: one
person: winak
rain: jab\
red: cak
road: ch\u b\e
root: ra\
sand: saneb\
say: b\ij
seed: ija
see: il
sit: culic
skin: tz\umal
sleep: war
small: ch\utik
smoke: sib\
stand: tac\alic
star: ch\imil
stone: ab\aj
sun: \ij
swim: mux
tail: je
that: ile
this: iri
thou: yet
tongue: tz\amwa\
tooth: wa-e
tree: che\
two: queb\
walk: b\in
water: ya
we: yoj
what: wach
who: pachinok
woman: ixok
