all: kwuḍutum
back: ɟára
bad: kɛyáː
bark: kwúsiya
big: ḍúbə̀
bird: ɔrdo
bitter: kərrṭà
black: tɨbia
black: (tibià) čùčùl
bone: aámà
breast: kofurka
child: ŋwá
cold: kwɔ́lŋgà
day: ŋaɟi
dog: wɨ̀l
dry: fəráfərà
ear: ɲɔrwa
eye: aŋwa
far: kíčča
fire: mbərr
fly (n.): kwɔ́ləŋgà
full: ɛwɛːn
good: kwɔnyígɛ̀
he/she: ano
he/she: ano
hit: ŋgwurɛ
horn: gwurtu
house: oli
I: oi
I: woi
mouth: ŋgala
new: nyirì
new: ɲɨri
night: t̪uni
old: gwɔtráː
old: ɔ́rɛ
red: gìlà
red: gɨla
road: bori
rope: kwuria
round: káːró
shoulder: gwot̪i
skin: ɔrta
small: kaca
small: kíččà
smoke: lɔaga
snake: səm
stand: tɨgi
stone: mbərɛ
sweet: tɔmrr
they: aŋgi
thin: sónyú
thou: i
thou: igo
thou: igwo
three: acəp
tooth: ŋgíl
two: armak
we: ogo
white: tabəra
woman: kíri
woman: kíri
woman: kɨri
