all: naːʲɪk
ashes: wuːzza
bark: kɛbɛra
belly: gwɛːzgu
big: xaːja
bird: ǯeːlla
bite: kʷaːŋo
black: šɛmmɛna
blood: bɪrr
bone: at\ɨnt
breast: ɨːngu
burn: qʷɔyɔxʷ
claw: t\ɛffɪr
cloud: dɛmmɛna
cold: kɛːmba
come: tɛw
die: kiːo
dog: gɪzɪŋ
drink: ǯaːxɔ
dry: kaːgo
ear: ʊnxo
eat: xɔː
egg: ɨnk\ulal
eye: il˗tɛt
father: aːbba
fat (n.): č\omma
fire: wəzzɪn
fish: aːsa
fly (n.): zɨmb
foot: lɪkʷɔkʷ
give: yiɣʷo
good: saː˗raːx
grass: šanːnka
hair: šɪv\ka
hand: naːn˗tɛt
head: aːʷwe
heart: lɨbbɛːka
hear: waːsɔx
horn: kɛnd
I: aːn
kill: kʷɔː
knee: gɨrɨb
know: aːxʷaːnɔxʷ
leaf: k\ɨt\ɛl
liver: gɔːzgu
long: zɛːlɛgga
louse: bɨta
many: bɨːzu
man: yɪrr
meat: siːyɛ
moon: fɪːn\gɛy
mountain: tɛraːra
mouth: mɛk\ɛːv
name: sʊnŋ
neck: xɔːʷm
new: ša˗\yaːɣʷ
night: xirr
one: laːwa
other: aːjɣo
rain: soːʷwa
red: sɛːra
road: gɔːro
root: sɨr
sand: ašɛwa
say: niː˗ya˗
seed: fɛzzɛn
see: niːxa\nwa˗
sit: tɛkwɔssɨːm
skin: kʷɔrɛʋe
sleep: gɛnč\čɔ
small: šʊggwaː
smoke: tɛqɛzza
snake: mɛrɛwa
stand: tɨmbia˗
stone: kɛrna
sun: kwaːra
swim: waɲɲɛ
tail: ǯɨ\re
thin: k\ɛč\č\ɨn
this: yɨːx
thou: lɪŋa
three: seowa
tongue: mɨ\las
tooth: ɨrku
tree: kaːna
two: lɨŋa
walk: feːva
warm: tɛqʷazza
water: aːɣo
we: aː\neo
wet: xɔtɛn
what: gwɔː˗
white: šaː˗ya
who: awɛ˗
woman: yiwuna
you: ɪn\tɛndio
