all: gjithë
and: e
animal: kafshë
at: te
back: shpinë
bad: keq
bark: leh
big: madh
bird: zog
bite: kafshoj
black: zi
blood: gjak
blow: fryj
breast: kraharor
burn: djeg
child: fëmijë
cold: ftohtë
come: vij
correct: korrekt
day: ditë
die: vdes
dirty: papastër
dog: qen
drink: pi
dry: thatë
dust: pluhur
earth: tokë
ear: vesh
eat: ha
egg: ve
eye: sy
fall: bie
far: larg
father: atë
feather: pupël
few: disa
fight: luftoj
fire: zjarr
fish: peshk
five: pesë
flower: lule
flow: rrjedh
fly (v.): fluturoj
foot: këmbë
forest: mal
four: katër
freeze: ngrij
fruit: pemë
full: plotë
give: jap
good: mirë
grass: bar
green: gjelbër
hair: flok
hand: dorë
head: kokë
he: ai
hear: dëgjoj
heart: zemër
heavy: rëndë
here: këtu
hold: mbaj
horn: bri
how: si
hunt: lëndoj
husband: burrë
ice: akull
in: në
I: unë
knee: gju
know: di
lake: liqen
laugh: qesh
leaf: fletë
leg: këmbë
long: gjatë
many: shumë
meat: mish
moon: hënë
mountain: mal
mouth: gojë
name: emër
neck: qafë
night: natë
not: nuk
old: vjetër
one: një
other: tjetër
pull: tërheq
push: shtyj
rain: shi
red: kuq
right: djathtë
river: lumë
road: rrugë
rotten: rreth
sand: rërë
say: them
scratch: kruaj
sea: det
seed: farë
see: shoh
sharp: thepisur
sit: ulem
skin: lekurë
sky: qiell
sleep: fle
small: vogël
smell: kundërmoj
smoke: tym
snake: gjarpër
snow: borë
spit: pështyj
star: yll
stick: shkop
straight: drejt
suck: thëthij
sun: diell
swell: ënjt
swim: notoj
there: aty
they: ata
thin: hollë
think: mendoj
this: ky
thou: ti
three: tre
tongue: gjuhë
tooth: dhëmb
tree: dru
turn: kthej
two: dy
walk: eci
warm: ngroh
wash: laj
water: ujë
we: ne
what: çka
when: kur
where: ku
white: bardhë
who: kush
wide: gjerë
wind: erë
wipe: fshij
with: me
woman: grua
year: vit
yellow: verdhë
you: ju
