all: iŋkira
animal: atnun̪t̪a
ankle: akaluwla
arm: akwa
ashes: apirka
ashes: aytmin̪t̪a
ashes: yukuɲɟa
back: aṭipa
bad: akiŋa
bad: apmwa
bark: aṇṭapa
belly: atniṭa
belly: atniṭa
big: ilkwa
bird: ut̪iypa
bite: utn̪ima
bitter: arkŋiynpa
black: amwaka
black: irpula
blood: arkŋa
blow: apuma
blow: apuwlima
bone: ŋkuṇa
boy: awiya
breast: aylpaɟa
brother: awiyaɟa
brother: aytiyaɟa
burn: a(p)mpe-
burn: apmpima
burn: apmpiṇima
butterfly: intiʎapaʎapa
calf: alawa
cheek: ariyla
chest: anilɟa
chest: uṇiŋa
child: ampa
child: ayliŋariypira
chin: aruta
cloud: apaŋwa
cloud: kunpaya
cold: atipirul̪ima
cold: irinta
come: apiyal̪ima
cut: aki(li)ma
cut: atantima
cut: atantima
cut: ayṭiṇima
cut: ayṭiṇima
cut: iṇṭiṇima
cut: iṇṭiṇima
dark: irpula
day: alta
die: ipma
die: ulima
dig: aŋiṇima
dig: iyt̪n̪ima
dirty: atiṇŋa
dog: aɹ̣iŋka
drink: ayɲɟuma
dry: aḷiɲa
dry: aliṭika
dry: ayntirka
dust: aɣiṇa
ear: iylpa
earth: aɣiṇa
eat: alkuma
egg: akilpa
egg: kwaṭa
elbow: amaka
emu: ankira
emu: araŋa
eye: aṭŋa
eye: aṭŋaynpila
face: uḷa
fall: aytne-
fall: aytnima
far: aḷiŋa
father: akŋiya
fat (n.): antiɹ̣a
fear: atiɹ̣iɹ̣ima
feather: apwa
feather: uriɲa
few: irpiɟa
finger: ampila
finger: ilɟa
finger: iŋka
finger: iŋkiɟa
finger: itipa
fingernail: iŋkiltila
fire: al̪irma
fire: iʎiɟa
fire: uɹ̣a
fish: irpiŋa
flow: untima
fly (n.): amiŋa
foot: ampila
foot: atniɹ̣ika
foot: atniṭa iŋka
foot: iŋka
foot: iŋkiɟa
forehead: uḷa
girl: kwiya
give: an̪t̪ima
good: amura
grass: ayɲɟuɹ̣a
green: apiʎa
green: at̪irka
guts: arka
hair: alta
hair: alta
hand: atniṭa ilɟa
hand: ilɟa
hand: itipa
head: akapuṭa
hear: awuma
hear: awuma
heart: atakuṭa
heavy: awura
here: n̪ila
he/she: ɹ̣a
he/she: iguɹ̣in̪a
he/she: ɹ̣in̪a
hit: atuma
hit: wuma
hold: anturkuma
hold: anturkuma
hold: atɲiṇima
hole: irka
house: waka
I: ad̪a
I: aɟin̪a
I: ayin̪a
I: ayiŋa
ice: aytmira
kangaroo: aɣira
kill: atuma
knee: amput̪a
know: itilaɹ̣ima
lake: ilpaya
laugh: at̪irima
leaf: aylpa
left: ayliŋa
leg: alawa
leg: iʎipira
lie: aynte-
lie: ayntima
lightning: awuʎawuʎa
lip: arimpimpa
liver: alima
long: alpuɲɟa
man: aṭwa
many: aŋkira
meat: akiɹ̣a
meat: alka
meat: atnun̪t̪a
moon: alkinta
morning: aɣilka
mosquito: aɣiɲa
mother: amaɟa
mother: amiya
mountain: apuṭa
mountain: apuṭa
mouth: arakiṭa
name: irtɲa
nape: aɲɟirkuɹ̣a
nape: itiṇŋa
nape: ṭeṇŋe
navel: ɟilapiɟila
near: ariɹ̣a
neck: aɲɟirkuɹ̣a
neck: itiṇŋa
new: ampiɲa
new: an̪t̪iɟa
new: ukurka
night: atumuŋka
night: aturpa
night: iŋwa
not: araŋkwa
not: -iyaŋa
old: ampwa
one: aɲinta
other: ikŋuɹ̣a
play: untililima
pull: aytiŋiṇima
rain: apaŋwa
rain: kwaɟa
rain: untima
rat: amputa
rat: ukuṭaŋa
red: antiɹ̣intiɹ̣a
red: aṭaṭa
red: ulpa
right: araɟa
ripe: apmpiŋa
river: aliɹ̣a
river: aliɹ̣a
river: ilpaya
root: aɹ̣ara
root: aṭikira
rotten: intiŋa
round: aylɹ̣a
rub: apima
salt: arkŋiynpa
say: aŋkima
say: ilima
see: aɹ̣ima
see: aɹ̣ima
sharp: ariylpa
short: akaṭiŋa
short: uṭiɟa
shoulder: anpit̪a
shoulder: aylpuɹ̣a
sing: aylima
sister: aytiyaɟa
sit: anima
skin: ayinpa
skin: ikwa
sky: alkiɹ̣a
sleep: aṇkwayntima
small: akiʎa
smell: intima
smoke: ukuṭa
smooth: aʎilka
snake: unima
snake: uṭnima
spit: apil̪a
spit: aṭikinima
split: waltuwuma
stand: itnima
star: ayɲɟara
stone: apuṭa
straight: araɟa
sun: iŋkiɲa
sweet: antimiṇa
sweet: ŋkwaḷa
swim: pulparima
tail: akayɲɟa
take: akŋima
that: n̪aga
that: yan̪a
there: n̪aga
there: yan̪a
they: ayndin̪iyŋgira
they: ayndiyŋgira
they: ɹ̣iṇima
they two: ɹ̣ad̪ira
they two: iguɹad̪ira
they two: iguɹ̣ad̪irin̪a
thigh: iʎipira
think: itiɹ̣ima
think: itilaɹ̣ima
this: n̪in̪a
thou: arin̪iyŋgira
thou: ariyŋgira
thou: ŋa
thou: ŋgun̪a
thou: ŋin̪a
thou: unda
throat: aɣiɲɟa
throw: iwunima
tie: aɹ̣iyṇima
today: iʎiṭa
tomorrow: ŋularŋa
tongue: aliɲa
tongue: ayɲɟira
tooth: aṇṭika
tree: aɹ̣ula
two: at̪ira
vagina: ɟarpa
vomit: antuwiɹ̣ima
vomit: ilkuta
walk: al̪ima
walk: al̪ima
walk: alpima
walk: atntirima
warm: altirŋima
warm: uɹ̣inpa
water: kwaɟa
water: piynta
weep: aṭṇima
we (excl.): anunin̪iyŋgira
we (excl.): anuniyŋkira
we (incl.): anun̪iyŋgira
we (incl.): anwiyŋgira
wet: uṭa
we two (excl.): aylina(-)
we two (excl.): aylinigin̪a
we two (excl.): aylinin̪a
we two (incl.): ayla(-)
we two (incl.): ayligin̪a
we two (incl.): aylin̪a
what: iliga
when: iliŋiɹ̣a
where: nd̪in̪a
white: altiɹ̣a
white: aytilkwa
who: ŋun̪a
wife: aniɲɟiŋkwa
wife: anuwaɟa
wind: awuɹ̣a
wing: uriɲa
woman: aɹ̣il̪a
woman: irkuʎa
wood: aɹ̣ula
wood: aɹ̣ula
woomera: amira
yellow: arkiyta
yesterday: apmurkila
you two: mbula(-)
you two: mbuligin̪a
you two: mbulin̪a
