all: wʊːl
ashes: bɪddɪni
bark: loš
belly: iː
big: gɛʔbi
bird: apti
bite: gəʔ˗e
black: ts\i\a
blood: maqəs
bone: lɛːfa
boy: nana
breast: ʠaːʠa
breast: ami
brother: išme
burn: at
burn: kuːʔa
claw: gušum
cloud: liːle
cold: qaːži
come: niʔa
die: diʔidi
dog: qaski
drink: wʊč\č\a
dry: wəči
ear: qaːmi
eat: kummaː
egg: muːqa
eye: aːφi
father: ɪmba
fat (n.): duːrpi
fire: nuː
fish: kaːra
fly (n.): kʊsuːbo
foot: rro
give: imma
good: pəːyɛ
grass: šudi
hair: tsɪːti
hand: aːnni
head: mɛːte
hear: qaːnsa
heart: wɔːylɪm
horn: qɔšo
I: ɪnta
kill: deːsa
knee: buːko
know: d\eːsa
leaf: ača
liver: tɔ\rɔb\ɔ
long: gudub\ɔ
louse: qaːsa
man: ɛːdi
many: gɛbri
meat: waː
moon: arpi
mountain: d\uːka
mouth: aːpo
name: naːbi
neck: luk\uma
new: haːli
night: sɔti
one: kɔ\la
other: ab
rain: doːmo
rain: dubi
red: zoː
road: qɔyti
root: č\aːč\e
sand: šaːmmi
say: giyya
seed: api
see: šɛda
sit: doːɣa
skin: ɛːb\e
sky: biččo
sleep: wɔːda
small: lɪkka
smoke: č\uːba
snake: guːnno
stand: wɔːyya
star: manka
stone: seːni
sun: ay
sun: haːi
swim: waːri
tail: doːbanna
thin: bɔːdo
this: ka˗
thou: yaː
three: mə\kəm
tongue: aːt̪t̪əpa
tooth: aːtsi
tree: haːqa
two: lamma
walk: ʔiːa
walk: y˗
warm: ɔːyd\ʲ
water: nɔːqɔ
wet: eːrqa
we: wɔddi
what: are
what: haːr
white: č\aːwli
who: ayne
woman: maːnas
you: yɛddi
