all: yadbayuwulu
ankle: waːḷ
arm: galaɲun
arm: widu
ashes: ruga
back: argangu
back: argan̪gu
bark: wulgulga
belly: aḍigu
belly: aḍigu
big: wadagubbagim
bird: burgaburga
bite: -golu
bitter: iwaragamain
black: maŋaṛar
blood: maniŋul
blood: maniŋul
blow: amaruguɟu
blow: arargmanuŋgu
bone: igada
bone: igada
boy: gonururg
boy: gwaranɟi
branch: widu aḷir
breathe: aŋag
breathe: aŋuburguŋag
brother: walagubanu
brother: yaŋai widbada
burn: amanɟalgu
burn: amaruganga lu
burn: umoɣuː
butterfly: inalindali
cheek: imurgu
chest: ŋaldamaru
child: yinan̪
cloud: wurunɟul
cold: alewug
come: aburugan
correct: barbar
crocodile: biribiri
crocodile: maɟalelo
cut: anɟuwulu
dark: naŋud\
daughter: reŋei
day: yirggia
die: abildadgaḷu
die: anɟaliguwura
die: waiyunan
dig: wiɟa wanaŋgaḷu
dirty: maŋarar
dog: nagi
drink: amanɟaṛagaṛag
dry: wawunalggan
earth: warbbar
ear: wiaid
eat: anɟu
egg: iḷḍadu
egg: malgarga
elbow: waːḷ
emu: ganguɹ̣g
emu: gaṇgurg
eye: imunbu
eye: irmanɟa
eye: waliwu
eye: waliwu
face: wiːl
fall: waːbilu
father: arabai
fat (n.): murgaid\
fear: almara ŋaiyunan
fear: almaraŋra
feather: imadiyag
few: midbala
fight: wariayaggin
finger: imaṛa
finger: wiaŋa
fire: guɟali
fire: guɟäli
fish: algaid\
fly (n.): mulgulg
fly (n.): muḷguḷg
fly (v.): amareiman
fog: rurnun
foot: wiaŋa
forehead: wili
forest: arabia
full: amanɟinbun
full: mambal
girl: waralg
give: amabu
good: gulɟag
grass: wuɟai
green: guŋan̪
hair: irmanɟa
hand: imaṛa
head: iwuʎa
head: iwulya
hear: aligi
hear: aligi
heart: mugamuga
heavy: iwiɟag
he/she: wanɟag
he/she: wi-
hit: amanbaḷu
hold: amarigaḷu
hole: gaḷdurgaḷdur
house: almar
hunt: amunmiälgun
husband: mariŋbalu
I: ŋa-
I: ŋaiu
I: ŋaiuwa
kangaroo: malaiyuwar
kangaroo: malaiyuwar
kill: ambaḷu
knee: imiri
know: ŋambaligun
lake: wuṛalwuṛ
laugh: anaṛḍagun
leaf: malder
left: yaɟad
leg: aɟidbu
lie: anɟu
lightning: ŋungarba
lip: abuyaṛa
live: anuraggagaṛa
liver: galŋgid\
long: maluwar
long: wildäṛan
louse: ŋurgu
man: awuḷaḷu
man: awuḷaḷu
meat: ɟiradad
meat: ɟiradad
moon: gurana
moon: gurana
morning: waiɟbalg
morning: waid\baḷgadu
mosquito: muɲa
mother: aḷuma
mountain: malue
mountain: walaŋada
mountain: walaŋada mabo
mouth: wiiŋara
mouth: wiiŋara
name: anuwuŋid\bu
nape: wiḷig
navel: iwanduṛiɟ
near: alwagi
neck: wiḷig
new: wuranag
not: aḷḍau
old: gamumu
old: guraiyawu
old: nulgu
one: yabaran
other: aralaid
person: awaḷaḷu
play: abamaldaba
rain: yidar
rat: wuldara
red: maniŋulmibin
right: maːṛuid\
ripe: wiraid\
river: aruid\
river: aruid\
road: adamuŋgun
root: weːḷi
rope: malɟamuru
rotten: guŋug
round: wulaid\guŋ
rub: ŋaŋanɟawan
sand: yirmbaṛ
say: -ŋanga
scratch: amininɟir
sea: maŋguwil
see: aṛagambu
seed: waliwu
sharp: ŋarainɟal
short: imbugar
shoulder: imuŋu
sing: aŋulda
sister: aiɟaman
sister: yalgumu
sit: anani
skin: amanɟulu wiŋiri
skin: wiŋiri
sky: warrag
sleep: ganuru ŋurid\
small: miḍbalda
smell: awiɟun
smoke: gunan̪
smoke: guŋan̪
smooth: waraid\baran̪
snake: ŋambid\
son: bidbalda
son: maragareg
stand: analami
star: maribiwi
star: nuŋgarbar
stone: walaŋada
stone: walaŋade
straight: yaɟad
suck: anuwiyawanbu
sun: maɲiɟ
sun: maɲid\
sweet: maŋgu
swim: aniɟbun
tail: wiälgu
take: amarmagwami
take: aralabu
there: gamani
they: wiru-
they: yirimbag
thigh: yuwana
think: waraidbaragaḷu
thou: ŋu-
thou: ŋurawa
thou: wamba
three: alaburug
throat: imaŋa
throw: amargudbi
today: gai\irg
tomorrow: aŋaɟunuid\
tongue: wiŋaril
tongue: wiŋaril
tooth: wiŋinɟäl
tree: aḷir
two: ilibulug
walk: amaṛa
walk: amaṛa mandaiɟu
walk: amara maŋawara
warm: alambarag
wash: amanbiri
wash: anbilgin
water: aḍawid
water: aḍawud
water: aḍaːwud
weep: aŋaṛid\bin
we: ŋarawa
we: ŋuruŋu-
what: iŋamaiɟa
when: mangaiɟu
where: iŋgia
white: milibin
who: yigu
wind: manuŋga
wing: iḷḍadu
woman: waralg
woman: wuraidbaru
woman: wuraid\baru
wood: guɟäli
yellow: yiliḷg
