all: hullu
ashes: amɛd
bark: lɨt\
belly: hod
big: tɨllɨk\
bird: wɛf
bite: nɛkkɛsɛ
black: t\ɨk\ʷur
blood: dɛm
bone: at\ɨnt
breast: t\ut
burn: ak\at\t\ɛlɛ
claw: t\ɨfɨr
cloud: dɛmmɛna
cold: bɨrd
come: mɛt\t\a
die: mot
dog: wɨšša
drink: t\ɛt\t\a
dry: dɛrɛk\
ear: ǯoro
eat: bɛlla
egg: ɨnk\(ʷ)ulal
eye: ayn
father: abbat
fat (n.): č\omma
fire: ɨsat
fish: asa
fly (n.): zɨmb
foot: ɨgɨr
give: sɛt\t\ɛ
good: t\ɨru
grass: sar
hair: t\ɛgurt
hand: ɨǯǯ
head: ras
hear: sɛmma
heart: lɨbb
he/she: ˗at
he/she: ɨrsaččɛw
he/she: ɨrsu
he/she: ɨrswa
he/she: ɨssu
he/she: ɨsswa
he/she: ˗t
he/she: ˗u
he/she: ˗w
he/she: ˗w
he/she: ˗(ɨ)wa
horn: k\ɛnd
I: ˗ɲ
I: ˗e
I: ɨne
kill: gɛddɛlɛ
knee: bulbɛt
know: awwɛk\ɛ
leaf: k\it\ɛl
liver: gubbɛt
long: rɛǯǯɨm
louse: k\ɨmal
man: sɛw
many: bɨzu
meat: sɨga
moon: č\ɛrɛk\a
mountain: tɛrara
mouth: af
name: sɨm
neck: angɛt
new: addis
night: lelit
one: and
other: lela
rain: zɨnab
red: k\ɛy
road: mɛngɛd
root: sɨr
sand: ašɛwa
say: alɛ
see: ayyɛ
seed: zɛr
sit: tek\ɛmmɛt\ɛ
skin: k\oda
sleep: tɛɲɲa
small: tɨnnɨš
smoke: t\is
snake: ɨbab
stand: k\omɛ
star: kokɛb
stone: dɨngay
sun: s\ɛhaj
swim: waɲɲɛ
tail: ǯɨrat
they: ˗aččɛw
they: ˗aččɛw
they: innɛssu
they: ɨnnɛrsu
thin: k\ɛč\č\ɨn
this: yɨh
thou: anči
thou: antɛ
thou: ɨrswo
thou: ɨsswo
three: sɔst
tongue: mɨlas
tooth: t\ɨrs
tree: zaf
two: hulɛtt
walk: hedɛ
warm: muk\
water: wuha
we: ɨɲɲɑ
we: ˗aččɨn
we: ˗n
wet: (ɨ)rt\ɨb
what: mɨn
white: nɛč\č\
who: man
woman: syet
you: ˗aččɨhʷ
you: ˗aččɨhʷ
you: ɨnnantɛ
