all: hilu-b
ashes: Ļ:e
bark: q:al
belly: ʁʷaʁʷači
big: -eḉuχʷa
bird: š:ekib
bite: ʠ:amdi-
black: -eḉedir
blood: hin
bone: roĻ:i
breast: koka
burn tr.: ċato-
claw(nail): muλa
cloud: lerčol
cold: sodo
come: -VGʷo-
die: -iḉo-
dog: χʷoj
drink: ċ:adi-
dry: -eʠ:u-b
ear: hanṭiḳa
earth: onš:i
eat: -ikʷon-
egg: ḳorḳon
eye: harḳu
far: lelo
fat n.: sosi
feather: λiru
fire: ċa
fish: χʷami
fly v.: burdi-
foot: čuḳa
full: -uċi-b
give: -ič:i-
good: šu-b
green: χ:ʷoči
hair: λin
hand: rela
head: mijar
hear: anλi-
heart: roḳʷo
heavy: hoḳoru
horn: Gʷon
I: din
kill: ǯabi-
knee: nikʷol
know: ċin-
leaf: λaχib
lie: girdi-
liver: iƛ:i
liver: reliƛ:i
long: -oχ:ula
louse: noċ:i
man: heḳʷa
many: -uholgu
meat: riĻ:i
moon: borċ:i
mountain: lel
mouth: ḳol
name: ċ:er
near: ƛ:eru
neck: garu
new: ċiʷ
night: reλo
nose: mahar
not: -s:u
one: se-ʷ
rain: ċ:a
red: hiri
road: miʠ:i
root: hiĻ:im
round: gurguma
salt: ċ:on
sand: sur
say: hiĻ:on-
seed: šen
see: haGʷ-
short: -očo
sit: wuḳudu
skin: χuca
sleep: Ļ:iχon-
small: miḉi
smoke: ḳ:ʷoj
snake: berča
stand: -Vʁi-
star: ċ:a
stone: hinċo
sun: miλi
tail: miʁ-erḉu
tail: miʁerḉ:u
that: /he-de-
that: he-de-/hu-du-
thin: -olora
this: he-
this: ho-
thou: min
tongue: miċ:i
tooth: sol
tree: reša
two: ḉegu
walk (go): -Vlon-
warm: ons:a
water: λ:en
we (excl.): iš:il
we (incl.): iƛ:il
what: ebi-
white: haċa
who: emi-
wind: moči
woman: jošḳʷa
worm: berča
year: rešin
yellow: cak:u
