all: bɛd
ashes: bur
bark: apoga
belly: ɛtʲ
big: duwɔŋ
bird: wɛnyɛ
bite: kʰɛč
black: čol
blood: rɛmɔʔ
bone: čoʷ
breast: θʊṇo
burn: waŋ
claw: lwɛːdo
cloud: pʰolo
cold: kʰɔʔ
come: hɔy
die: θɔː
dog: gʷɔkʰ
drink: matθ
dry: ho\tal
ear: yitθ
eat: čɛm
egg: tɔnɔ
eye: wɛŋ
father: wuːh
fat (n.): maʷ
fire: mač
fish: rreɔʔ
fly (n.): lʷaŋɔʔ
foot: tiʲalɔ
give: tɪpi
good: bɛr
grass: luːm
hair: ǯiːr
hand: činɔʔ
head: wɪč
heart: čwɪɲ
hear: wɪɲiː
horn: tʊŋ
I: anɪh
kill: nɛgi
knee: čʊnŋ
know: ŋeč
leaf: bɔːgɔ
liver: čwɪɲ
long: bɛ̰r
louse: ɲuːwɔ
many: θoːθ
man: θaːno
meat: rrɪŋɔʔ
moon: dʷaːy
mountain: kɪdi
mouth: ðɔːkʷ
name: nyɪŋ
neck: ŋudi
new: nyan
night: wɛr
one: ačʲel
other: mɔro
rain: kʰɔtθ
red: kʷaː
road: ǯoː
root: lwɛt˗
sand: ha\kwuo
say: čaːni
seed: kʰɔði
see: hræŋi
sit: pɪpɪɲ
skin: puɪn dɛl
sleep: bʊti
small: θin
smoke: ǯɪro
snake: tθwɛl
stand: čuŋʔi
star: čeːrɔ
stone: kɪdi
sun: čɛŋ
swim: kʷaŋi
tail: ǯɪpʰ
thin: oːdʷɛt
this: man
thou: iːnih
thou: wuːni
three: adɛguʔ
tongue: lɛːpʰ
tooth: leo
tree: ǯɔtθ
two: hario
walk: čiː
warm: mɔr
water: pʰi
wet: θɛːč
we: waːni
what: aginɛh
white: tarr
who: aŋah
woman: θaːgo
