arm: akwe
ashes: ikunɟa
ashes: ultmiɲa
bad: akiŋa
bad: akuːṇa
bad: aniɟa
bad: kuːṇa
bark: aṇṭapa
bark: irŋiḷa
bark: tayira
belly: atniṭa
belly: atniṭa
belly: atniṭa
belly: atniṭa
big: aŋirɟa
big: antika
big: naṇa
big: ŋira
bird: (u)t̪(ipe)
bird: ut̪iypa
bite: atni-(u)tni-
bite: ki-
bite: ki-
bite: unu-
black: iʎɟiɹ̣a
black: urpiḷa
blood: alwa
blood: irkŋa
bone: ŋkuṇa
bone: ŋkweṇe
breast: me-
breast: wuḷaɟa
breast: wuḷaɟa
burn: (a)mpe-
burn: mpi-
chest: iniŋa
chest: naṇka
cloud: akuʎe
come: (a)peɟe-
cut: ake-
cut: ṇṭiṇi-
cut: ṇṭiṇi-
dark: iŋwe
die: ilu-
die: ilu-
dig: aŋeṇe-
dog: alekeɹ̣e
dog: likiɹ̣a
drink: uɲɟe-
drink: uɲɟi-
ear: iḷpe
ear: iylpakitʌ
earth: ahe(l̪e)
earth: iɣiḷa
eat: aḷku-
eat: iḷku-
egg: kuːṭa
egg: kwa(ṭe)
elbow: iḷkaʎa
elbow: maka
emu: aḷeye
eye: alkŋe
eye: alŋa
fall: inte-
fall: iytni-
far: aḷiŋa
far: aḷiŋa
far: (i)ḷiŋa
far: ntwara
fat (n.): antiɹ̣a
fat (n.): antiɹ̣a
feather: aʎpila
feather: iʎpila
feather: uliŋka
fingernail: ilkil̪t̪ila
fingernail: ɟimuɹ̣a
fingernail: ɟitmaɹ̣a
fire: alkŋinta
fire: ṇta
fire: uɹ̣a
fire: uɹ̣e
fly (n.): ameŋe
foot: iŋka
foot: iŋka
give: (a)n̪t̪e-
give: n̪t̪i-
good: aʎira
good: mara
good: mura
hair: akiːra
hair: alta
hand: elɟe
hand: ilɟa
head: ak(-apeṭe)
head: ake
head: kupiṭa
hear: awu-
hear: awu-
heart: uṭ(-akeṭe)
heart: uṭakiṭa
hit: wu-
hit: wu-
I: (a)yeŋe
kill: atu-
kill: utu-
knee: ampiɹ̣a
knee: kilkiṭa
knee: mpiɹ̣a
leaf: aʎpila
leaf: iʎpil̪a
leaf: waʎa
lie: inte-
lie: inti-
liver: (a)leme
liver: alima
man: aṭwa
man: utwa
many: akŋira
many: aŋira
meat: aḷke
meat: kiɹ̣a
meat: uye
moon: akninɟa
moon: ankiɟa
mosquito: iweɲe
mother: me-
mouth: arakiṭa
mouth: arakiṭa
name: (ar)iṭne
nape: ṭeṇŋe
near: aṭiɲa
near: iṭiɲa
near: itwa
neck: aɹ̣ulta
neck: ita
neck: ita
neck: tuːrkiɹ̣a
neck: unɟa
night: iŋwe
one: ɲinta
one: ɲinta
river: elpw(aye)
road: ɟeye
root: aṭikira
root: aṭikira
say: aŋke-
say: ŋki-
see: aɹ̣i-
see: ɹ̣i-
shoulder: aɹ̣iɟa
shoulder: paḷipa
shoulder: puḷipa
sit: (a)ne-
sit: ani-
skin: puːl̪a
skin: yinpa
small: (a)kuka
small: atuːt̪a
small: kupiɟa
smoke: kuṭa
smoke: kweṭe
snake: apmwe
stand: (a)tne-
stand: iŋi-
star: antulpiɹ̣a
star: kuraʎa
star: n̪t̪ipiɹ̣a
stone: apitu
stone: apuṭa
stone: piṭa
suck: aɲɟwe-
sun: aliṇŋa
sun: liṇŋa
sun: ŋkiɲa
tail: paɹ̣a
tail: puɹ̣a
tail: yuːɟa
take: akŋe-
they two: ale-
thigh: inta
thigh: uʎipiɹ̣a
thigh: ʎupuɹ̣u
thou: are-
thou: ŋe
throw: iwu-
throw: iwu-
tongue: aleɲe
tongue: aliɲa
tooth: aṇṭika
tooth: aṭiyta
tooth: iṭiyɟa
tree: aṇa
tree: liːɟa
tree: nɟilɟa
tree: ulta
two: (a)t̪ere
two: t̪irama
vagina: akna
vagina: aripa
vagina: ulira
walk: aḷakil̪i-
walk: al̪i-
walk: arɟani-
walk: l̪i-
walk: unti-
water: kwaɟa
water: kw(aɟe)
weep: aṇi-
weep: aṇi-
we (excl.): (a)nweṇe
we (incl.): (a)nwe
we two (excl.): ileṇe
we two (incl.): ayle-
where: n̪t̪e-
white: altiɹ̣a
white: altiɹ̣a
white: mpiḷkiɹ̣a
white: ɟuḷkuɹ̣a
woman: amaḷa
woman: arikuɟa
woman: arkuɟa
woman: arukuɟa
you two: mpwele
