all: tot
ashes: zenisa
bark: crosta
belly: bientre
big: gran
bird: paxaro
bite: mosaquiar
black: negro
blood: sangre
bone: güeso
breast: peito
burn: cremar
cloud: boira
cloud: nuble
cold: fredo
come: benir
die: morir
dog: can
dog: cocho
drink: beber
dry: xuto
ear: orella
earth: tierra
eat: minchar
egg: güego
eye: güello
fat (n.): grasa
feather: pluma
fingernail: zarpa
fire: fuego
fish: pex
fly (v.): bolar
foot: piet
full: pleno
give: dar
good: bueno
green: berde
hair: pelo
hand: man
head: capeza
head: tozuelo
hear: sentir
heart: corazón
horn: cuerno
I: yo
kill: matar
knee: chinollo
know: saber
leaf: fuella
lie: chitar-se
liver: figado
long: largo
louse: pegollo
man: ombre
many: muitos
meat: carne
moon: luna
mountain: mon
mouth: boca
name: nombre
neck: cuello
new: nuebo
night: nuei
nose: nariz
nose: naso
not: no
one: uno
person: presona
rain: plebia
red: royo
road: camín
root: radiz
round: redoncho
round: redondo
sand: arena
say: dezir
see: beyer
seed: simién
sit: posar-se
skin: pelello
sleep: dormir
small: chiquet
smoke: fumo
stand: estar de piet
stand: plantar
star: estrela
stone: peña
sun: sol
swim: nadar
tail: coda
that: ixe
this: iste
thou: tu
tonge: luenga
tooth: dien
tree: árbol
two: dos
walk: caminar
warm: calién
water: augua
we: nusatros
what: qué
white: blanco
who: quí
woman: muller
yellow: amariello
