all: buliy
ashes: rom
belly: geː\re
big: gu\diyd\a
bird: kirma\tɛ
bite: ˗k\ine
black: bo\riyd\a
blood: diyk\a
bone: lef
burn: ˗ote
cloud: bolæn
cold: kɛbɛta
come: maye
die: ˗ziye
dog: kair
drink: ˗iyge
dry: mil\kaw
ear: ne\biʰ
eat: ang
egg: ha\ku
eye: iynd\a
father: iya
fat (n.): ennu
fat (n.): geːnijd\a
fire: eg
fish: bek\a
foot: luke
give: siy
good: yolo
grass: de\dɛnta
hair: riyfan
hand: læba
head: mɛ\te
hear: ča\kɛstiy
heart: sɛde
I: yelo
kill: ˗ek\ɛše
know: ˗tɛtege
leaf: dedɛnta
liver: sɛde
long: deriyre
louse: ingira
man: modo
many: gu\diyda
meat: sora
moon: lèh
mountain: aselli
mountain: ɛl
mouth: oho
name: mɛkeʔe
neck: luko
new: ha\raya
night: a\rawa
one: to\kod\a
other: mubila
rain: iriy
red: buriyd\a
road: gor(da)
root: hiydso
sand: igair\te
say: ˗gɛde
seed: bado
see: ˗doy
sit: ˗siye
skin: dul\˗teda
sleep: ˗barye
small: giy\č\iyd\a
smoke: ˗irye
snake: tofa
stand: ˗ɛliy
star: uzuke˗\tɛra
stone: tiǯk\ayte
sun: awa˗\tɛra
swim: zawa
tail: fiyla
thin: nyair\d\iyd\a
this: hæ\lo˗
thou: gairta
three: se\zira
tongue: ˗læke
tooth: ilkwa
tree: korkoro
two: la\mad\a
water: beči
water: biyče
we: inu
wet: k\u\yiyoa
what: mete
white: e\ziyda
who: molɛ˗na
woman: sa\led\a
