all: yabasia
arm: mada
arm: mada
arm: mahe-ka
ashes: umia
ashes: umida
ashes: umida
back: erena-ra
bad: batiara
bark: orëhura
belly: uarahara
big: pëtiebura
bird: dea
bird: dea
bird: geda
black: akara
black: akara
black: akara
blood: eta
blood: eta
blood: eto
bone: ekera
bone: ekera
bone: ekera
branch: aga
breast: avora
brother: apuda
brother: awadeya
burn: maraka
cheek: gepa
chest: bira
child: gevura
chin: esira
cloud: wenama-ra
cold: ihoka
come: anawe
come: nawara
come: nawara
day: eta
dog: ibua
dog: iwura
dog: iwura
drink: anawera
drink: anoma
dry: tatara
ear: fada
ear: fada
earth: eka
earth: seta
ear: yahu (?ghahu)
eat: anawera
eat: anoma
eat: nara
eat: nara
egg: asara
egg: asara
egg: baru-sara
elbow: mafe-fera
elbow: mane pure
excrement: hara
eye: mana
eye: marada
face: mi\ëpërë
far: auara
father: yaira
fat (n.): hueda
feather: hia
finger: maheawoka
finger: mahe-ke-kera
fingernail: fetakera
fingernail: kasara
fire: usara
fire: usa-ra
fish: na
fly (n.): ohorobua
foot: mabura
forehead: mana-pura
fruit: ekerə
fruit: er-eke-ra
give: morami
good: baera
good: mareda
green: iaman
hair: fida
hair: hia
hand: maheka
hand: mahe-ka
head: yabida
head: yanyara (?)
hear: yanyara (?)
heavy: idoro(r)a
heel: maburmana
he/she: ara
hole: aha-ra
house: yahara
house: yaha-ra
I: noa
I: noda
knee: ini-ka
leaf: ehe-ra
leg: mabura
leg: mavura
long: gwarura
louse: buekera
man: bevura
man: gisirë-bebura
many: kubura
meat: asi-ro
moon: bura-ra
mosquito: isi-ra
mother: aera
mountain: oryaka
mouth: ivu-hura
name: u-ra
name: u-ra
navel: umabia
near: nomora
neck: homa-ra
new: ai-ra
night: iawa-ka
night: iweta
nose: mi-ka
old: amerobita
old: garu-ra
old: ubo-ka
one: asidawa
one: asidawa
one: sasiawara
person: gisirë
rain: geka
red: eta
river: duara
road: maka
root: mumu-rua
sand: sumekera
sea: uvara
see: borara
see: borara
seed: ekera
shoulder: aupa-ra
sit: avara
sit: awara
skin: fura
skin: hura
sky: uanama-ra
sleep: asara
sleep: eora
small: ivura
smoke: amunia
snake: bima-ra
stand: emetara
star: mawura-ra
stone: etara
stone: etara
sun: asira
sun: asi-ra
swim: yoa (?goa)
tail: ehe-ra
tail: fekera
that: ika
there: ikana
thigh: aka
this: keke
thou: oroa
thou: orua
thou: yaboara
three: abomdawa
three: abomdawa
today: asirikake
tomorrow: besika
tongue: ma
tooth: si-ka
tooth: sitakera
tree: ora
tree: oyida
two: aboma
two: aboma
two: aboma
vagina: bea
walk: amega
walk: iua!
walk: marara
warm: ama
warm: hari
water: moda
water: modo
water: moya
weep: madara
we: na
we: na
what: yamaha
white: nabura
white: nabura
who: emana
wife: aya
wind: ahera
wing: ahahura
woman: giserë-yewodara
wood: ora
yellow: kunina
yesterday: asade
you: eria
