arm: kərʌ
ashes: nʌbʌ
bark: mʌsɪ
bone: ʌtʌt
breast: manʌ
brother: ʌnʌŋʌm
burn: dʌgən yi
dog: ʌman
ear: ʌrʌm
eat: n-
eye: daŋa
fingernail: sina
fire: dʌgʌn
foot: yomφʌr
full: ʌŋʌsuk
hair: gʌrʌ
head: ʌmʌ
he/she: go
I: nʌ
knee: inmʌ
leaf: gurʌk
leg: yomφʌr
long: sunbɛm
louse: yumun
moon: yʌŋgʌp
mother: mo
mouth: mo
name: ʌwʌnum
neck: gʌlʌ
new: ʌndʌgum
rain: agu
road: yam
sand: nʌmən
say: giy
sister: bʌb
skin: mʌsɪ
sleep: pi
smoke: kigap
spit: minφu
spit: muφo
star: bɛn
straight: utuktugum
sun: amʌ
thou: gʌ
thou: ti
tie: uφʌ
tongue: minŋa
tooth: mi
warm: wabim
water: fo
we: nʌ
wind: gʌrɛŋ
wing: pay
