ankle: kiai
arm: kenie
arm: kenie
arm: pagut
arrow: baiwoi
ashes: faw
ashes: hu
ashes: ku
ashes: ku
ashes: ku
ashes: u
back: suwagger
back: suwe-ker
bad: kerai
bark: defager
bark: ti-feker
belly: al
belly: al
belly: aor
belly: ar
belly: art
belly: benower
belly: tiwe
big: ayeti
big: fiamu aiyeti
big: k(i)nai
big: nkwai
big: toiya
big: tuya
big: tuya
big: tuya
bird: nëi
bird: noi
bird: noi
bird: noi
bird: noy
bird: noy
bitter: tel
bitter: tha
black: dubut
black: fromdubur
black: tubul
black: tubuluwa
black: tubulwa
black: tubur
black: tubur
blood: keane
blood: keane
blood: kenani
blood: kenani
blood: kennai
blood: kiani
blood: nane
blood: nknane
bone: ne
bone: nsa-gel
bone: sa-gre
bone: saker
bone: sa-ker
bone: sa-kër
bone: sa-kër
bone: sakər
branch: mur
breast: garo
breast: ma
breast: me
breast: me
breast: me
breast: mə͂
breast: mënh
breast: mo
breathe: senei
brother: embo
brother: embo
brother: yenir
burn: nwur
burn: tao
burn: tao
burn: wur
butterfly: kwapsko
butterfly: kwapsko
butterfly: sikoko
butterfly: sobro
butterfly: wapsko
calf: meŋgir
calf: petakker
cassowary: kuyi
cassowary: kwi
cheek: kamhut
cheek: kam-kur
chest: togo
chest: tuku
child: antomoi
child: sendowa
chin: minggi
chin: miŋgi
cloud: bu
cloud: bu
cloud: bu
cloud: bu
cloud: bu
cold: dusas
cold: tapasi
cold: tapsasi
come: manam
come: ntanme
come: tamë
come: tamne
crocodile: waŋo
crocodile: wonggo
crocodile: wongo
crocodile: wonku
day: aŋgabu
day: muforsu
die: aste
die: forosop
die: froso
die: kenat
die: pros
die: sugur
dog: uwer
dog: wël
dog: wəl
dog: wngl (?)
dog: wŋl
dog: woar
drink: nenep
drink: nkiyatuwo
drink: obi-mur
drink: tanë
drink: wobio
dry: agre
dry: nteggel
dry: tëkël
dry: təkəl
dry: tekerso
dry: tewane
ear: keatku
ear: keato
ear: keato
ear: kiatowa
ear: kiatu
ear: nkiytutikil
earth: ëmfëm
earth: mekrai
earth: mokorai
earth: mu
earth: mu
earth: mu
earth: mu
earth: munkwoilo
ear: yatu
eat: ane
eat: anɛ
eat: kamu
eat: kenase
eat: meme
eat: na
eat: na
eat: narso
eat: nënap
eat: tane
egg: duŋul
egg: gumir
egg: nsungwel
egg: sungul
egg: suŋul
egg: suwi
egg: suwie
egg: swur
egg: yaŋo
elbow: kimer
elbow: kimir
emu: koyi
emu: kuyi
excrement: am
eye: naime
eye: naimer
eye: naiu
eye: naiwo
eye: nayo
eye: nayo
eye: naywë
eye: neu
fall: ka-
far: mesar
far: mesil
far: mesil
far: mesil
father: ayo
father: ayu
father: ayu
father: ayu-
fat (n.): futewot
fat (n.): kuite
fat (n.): wocuwu
fat (n.): yoop
fat (n.): yoːp
fat (n.): yuw
fat (n.): yuwu
feather: (nai)ta
feather: noːrdaːn
feather: ta
feather: ta:
feather: ufta
few: enfo
finger: keni-wabi
finger: memfe
finger: menase
finger: merke-wabi
fingernail: dewaiki
fingernail: ntebagi
fingernail: tëbaiki
fingernail: təbaiki
fingernail: tebaki
fingernail: tëbaki
fire: cu
fire: dauw
fire: ser
fire: tao
fire: tao
fire: tau
fire: tau
fire: tau
fire: tau
fish: o
fish: o
fish: u
five: kenasɛ
five: kenasi
flower: qerara
fly (n.): embu
fly (n.): koabëne
fly (n.): koabəne
fly (n.): kwabiei
fly (n.): kwabne
fly (n.): kwafie
fly (n.): wabie
foot: malke
foot: malke
foot: merka
foot: wauku
forehead: begi
forehead: naimir
forest: astofro
forest: mainmu
four: naŋgar [sic]
four: nenggeri-nangger = "two-two
fruit: dundor
fruit: ti toi
fruit: ti tol
fruit: tor
full: aeso
full: arso
full: finga
full: fiŋa
full: wobio
girl: yurum
give: kanu
give: ntanu
give: tano
give: tano
give: tano
give: tanowo
good: fangge
good: fangge
good: faŋge
good: fanke
good: nfangge
grass: kwangger
green: dubut
green: nkwaotowa
hair: nin-ta
hair: nuhlu
hair: nunda
hair: nundol
hair: ta
hair: ta
hair: ta
hair: ta
hair: togu
hair: yento
hair: yento
hair: yento
hand: bangkul
hand: ken
hand: keni
hand: konkwoi
hand: konkwoi
head: minto
head: nangger
head: naŋger
head: nanggër
head: nanggër
head: nangker
head: nwinggel
hear: keato-kërkëri
hear: keato-kərkəri
hear: kiatu-so
heart: babert
heart: nukua͂nti
heart: nukuãnti
hear: yato-tegëg
hear: yato-tkil
heavy: bese
heavy: bəsə͂
heavy: bësënh
here: mutu
here: yafuluo
he/she: iye
he/she: nawotobai
he/she: newotae
he/she: yap
he/she: ye
he/she: yɛ
he/she: yemam
hit: tenatka
hole: mini
hole: mini
house: yoa
house: yu
house: yu
house: yu
husband: sei
I: kayap
I: kebë
I: ko
I: ko
I: kwukek
I: nwo
jaw: ming-gir
jaw: miŋgir
kill: ro
kill: ro
knee: dutu
knee: mbuntku
knee: pomtkut
knee: tumtkur
knee: tumt-kur
knee: tumt-kur
know: kenneŋkwof
know: nenmoko
laugh: num
leaf: defiei
leaf: (di)feye
leaf: feye
leaf: feye
leaf: nfeye
leaf: ti fiye
leaf: ti fiye
left: irkaw
leg: malke
leg: malke
leg: marke
leg: masil
leg: mërko
leg: miŋgir
leg: wauku
lie: busbusuwo
lie: nene
lie: nhomo
lie: nini
lie: niniti
lightning: miafer
lip: kam-tafer
lip: komdeffer
live: mamnet
live: memena
long: abra
long: abra
long: abra
long: aibra
long: aywrë
long: nabra
louse: ntop
louse: top
louse: top
louse: tu
louse: tu
louse: woar-tugue
man: er
man: gir
man: kir
man: kir
man: ngir
man: skworro
many: asro
many: koiwi
many: mokuwa
many: moukuwo
many: tër-mokwo
meat: ko͂a͂r
meat: kõãr
meat: tukur
moon: konkrow
moon: kunggëru
moon: kuŋgəru
moon: ngkonggro
moon: ur
morning: yabair (?)
mosquito: ägi
mosquito: (i)nggi
mosquito: iŋi
mosquito: nbiggil
mosquito: nggi
mosquito: ŋgi
mother: mame
mother: mame-
mother: mamɛ
mother: mamme
mountain: mutuk
mountain: numbi (?)
mountain: nyunu
mountain: wonu
mountain: wunu
mountain: yulu
mountain: yunu
mountain: yunu
mouth: ka:
mouth: kamo
mouth: kamo
mouth: kamu
mouth: kamu
mouth: kanu
mouth: kommo
mouth: minggir
name: ema (?)
name: nte (menou)
name: ter
name: ter
name: tör
nape: ungkur
nape: uŋkur
navel: embet
near: faŋga͂ye͂
near: fanggãyenh
near: feiku
near: tengga\in
neck: nyento
neck: soyo
neck: terai
neck: trew
neck: troi
new: maingge
new: namo
new: no͂mo͂
new: nõmõ
new: nomu
new: nomu
new: wamu
night: mutu
night: mutus
night: nyurubuwe
night: yaburoa
night: yaburoa
night: yafuluo
nose: kamo
nose: nëbruk
nose: nubru
nose: nubru
nose: nubru-menye
nose: nuoru
not: mako
not: mako
old: skuro
old: uyami
one: manggo
one: manggoa
one: manggua
one: maŋgua
one: manggwa
one: maŋgwa
one: naŋgare
person: kugyu
rain: mu
rain: mu
rain: mu
rain: mu
rain: mu
rain: mu
rat: ager
red: fromgukor
red: keanewa
red: keanewa
red: kenani
red: knane
red: knaniwoa
red: kosowa
right: sagakan
ripe: gugur
ripe: kukur
river: is-wobi
river: ubia
road: henu
road: mengge
road: mënggir
road: məŋgir
road: minggil
road: miŋgir
road: tanë
root: duwager
root: tape
root: ti waker
root: ti waker
root: wager
root: waker
rope: wiai
rope: wor
round: be:ta:
round: waːm
round: war
sand: buku
sand: buku
sand: buku
sand: meŋgoro
sand: ukas
sand: ukas
say: fi
say: (fi)tantfo
say: fi tantoro
say: fi tantoro
say: fi tantoro
sea: bi
see: arotai
seed: dindor
seed: to
seed: tor
seed: tor
see: naiwe teiwe
see: naiwo monggoapa
see: nayo tai
see: nayo tai-
see: neu-tai
sharp: yim
short: tatimber
short: tatimber
short: timer
shoulder: wiŋgi
sing: yau
sing: yautakefe
sister: embo
sister: nir
sister: yenir
sit: digurar
sit: klase
sit: kurë tai-
sit: kurə tai
sit: kurë-tei
sit: werer-tei
skin: fagir
skin: feker
skin: fëker
skin: fəker
skin: fekër
skin: nfagel
sky: ma
sky: mutkui
sleep: nene
sleep: neni tit
sleep: neni tit-
sleep: nhomo
sleep: nini
sleep: nini
sleep: niniti
small: antama
small: antoma
small: antoma
small: antomoi
small: gwei
small: nantomui
smell: amskari
smoke: dute
smoke: ntu-ti
smoke: tu-el
smoke: tui-ti
smoke: tuti
smoke: tu-ti
smoke: tu-ti
snake: fluis
snake: fluis
snake: foro
snake: kaskai
snake: kaskai
snake: përus
snake: woba
sour: tel
spit: kerom
spit: kuyom
spit: tuŋgur
squeeze: tatafar
stand: keso
stand: tersau
stand: tiwe
stand: tiwe
stand: tosu
star: kwaŋgar
star: masa
star: mase
star: mase
star: mase
star: mase
star: ma:se
star: masi
stone: sar
stone: sel
stone: ser
stone: ser
stone: yërka
stone: zeli
straight: tegenib
sun: mandaw
sun: mendao
sun: mentao
sun: mentao
sun: mentau
sun: mëntau
sweet: metir
swim: dobo
swim: tobë
swim: wobia-nenap
tail: amdai
tail: waengge
tail: waeŋge
tail: waingge
tail: waingke
tail: wenggi
that: membe
that: mempe
they: membe
they: nawutimenou
they two: nanggerwo
they: yanë
they: yap
they: ye
they: yɛ
thigh: masir
thigh: meši
thin: goi
this: mkebe
this: nëni
thou: kebap
thou: kebap
thou: kebe
thou: kebe
thou: kebe
thou: kefekek
thou: ku
thou: nkebe
three: anggrabre
three: angrë-më
three: nagra-ma
three: naŋgar
three: nanggra-ma
throat: doro
thunder: maguwar
thunder: muburbur
thunder: mufi
tie: gagaka
today: mainggekek
today: meŋga
tomorrow: aŋgarap
tomorrow: angge
tongue: ari
tongue: marie
tongue: nardi
tongue: nari
tongue: nari
tongue: nenap
tooth: ka
tooth: ka
tooth: ka
tooth: ka
tooth: ka
tooth: kamor
tooth: naari
tree: di
tree: nggi
tree: tebikir
tree: ti
tree: ti
tree: ti
two: anggër
two: naŋgare [sic]
two: nangger
two: nangger
two: nangger
two: naŋger
unripe: muyu
vagina: huny
walk: henap
walk: kenase
walk: knase
walk: nena
walk: nena
walk: nena
walk: nena
walk: ntentaf
wallaby: waske
warm: pabë
warm: pabə
warm: totaf
water: obi
water: ubiamoqo
water: ubio
water: wobia
water: wobio
water: wobio
water: wobio
water: wofi
weep: naiwofia
weep: o
weep: o
weep: u
weep: wu
weep: wu
weep: yana
we: kefangkan
we: makuwo
we: mangguwa
we: maufua
wet: berei
wet: kaskar
we two: kimtua natembep
we: yɛbap
we: yebe
we: yebe
what: aberi (?)
what: bianwa
what: hau
where: kaːmne
white: fromgugur
white: kamso
white: kamsowa
white: kamsowa
white: kansoa
who: mëno
who: menou
wife: yerum
wind: aef
wind: mauf
wind: wof
wind: wof
wing: baute
wing: kapso
woman: geworo
woman: goro
woman: kuru
woman: kuru
woman: kworo
woman: poro
woman: wore
wood: dedan
yellow: ntiyau
yellow: yae
yesterday: ni
you: gotebe
you: kebe
you: kefe
you: makua
you two: kefe nangger
