animal: miyak
arm: xis
arm: xis
arrow: hen
arrow: henmik
bad: alu
bad: alu
bad: enu
because: entar
belly: tu:
belly: tuː
big: iuwe
bird: hore
bird: xoura
bird: xoura
black: kataukai
black: kataukai
blood: amkra
blood: amkra
blood: hemkre
bone: xëmik
bone: xəmik
breast: nëm
breast: nəm
child: niki
child: niki
come: an
come: an
cut: ere
daughter: nɨki
day: hɨnkiuwe
day: wi
dog: napara
dog: napara
dog: nepere
ear: nikif
ear: nikif
earth: tɨ
earth: tï
egg: yinu
egg: yinu
eye: na\an
eye: naʔan
eye: naːn
fall: unke
father: haːi
father: xa\ai
father: xaʔai
fear: ɨnain
fire: si
fire: si:
fire: siː
five: hispɨnak
forest: yaːnk
four: tekyait
give: wo
give: wo
good: ya\aik
good: yaʔaik
good: yaːi
guts: tu
hand: his
head: fa\an
head: faʔan
heart: han
he/she: hɨrak
he/she: hɨrak
he/she: hɨre
he/she: k-
he/she: -ɨrak
he/she: -ɨrak
he/she: -ɨre
he/she: w-
he/she: xërak
he/she: xərak
hit: ɨrak
hole: hei
house: wɨnak
how: k-erkeik
hunt: ɨn
I: -ai
I: hi
I: x-
I: xi
I: xi
laugh: eniuwes
leaf: tɨwei
leg: hɨt
leg: xët
leg: xət
long: noki
louse: nëm-k
louse: nəmk
man: mitik
man: mitik
man: mɨtɨk
many: yapruwe
moon: wankë
moon: wunkə
morning: ekrit
mother: miye
mother: miye
mother: miye
mountain: mɨniu
mouth: hɨm
night: wɨtaːn
nose: yipwur
old: toki
one: -iutɨp
pull: ari
rain: xawo
rain: xawo
rat: wesiun
red: katyifír
red: katyifír
river: mani
road: wi
road: yayiwe
say: atɨp
see: ër
see: ər
see: ɨr
short: yina
sit: au
skin: yilik
skin: yilik
skin: yɨnk
sleep: uwaːi
smoke: tuwakra
smoke: tuwakra
snake: manpen
son: nɨkan
star: xër
star: xər
stone: nan
stone: nan
stone: nan
sun: wepni
sun: wupli
sun: wupli
take: ekintɨp
that: eik
that: eim
they: hɨr
they: hɨr
they: hɨrem
they: n-
they: -ɨr
they: -ɨr
they: -ɨrem
they two: hɨr-
they two: -ɨr-
they: xër
they: xər
this: ik
this: im
thou: -i
thou: -it
thou: ti
thou: ti
thou: ti
thou: x-
thou: y-
thou: yi
thou: yi
three: wikak
throw: ewɨrnak
today: patepɨn
tomorrow: teip
tongue: ni:n
tongue: niːn
tooth: yaxas
tooth: yaxas
tree: nu:
tree: nuː
two: wik
two: wikat
two: wikat
vagina: pauwɨ
walk: anou
walk: anou
warm: sisi
wash: ekɨr
water: tëpar
water: təpar
we: -aiu
we: haiu
we: m-
we two (incl.): -awɨr
we two (incl.): hawɨr
we two (incl.): w-
we: xaiw
we: xaiw
what: meka-k
when: k-ewaːi
where: k-erkeik
white: këxeika
white: kəxeika
wind: nëma
wind: nəma
with: -eriuwe
woman: mite
woman: mite
woman: mɨte
wood: nu
wood: paːp
yesterday: napup
you two: -i
you two: yi
you: yi
