ashes: yuwit
bark: tanga
bone: kwatʌl
breast: takwaʌpulʌ
brother: paiyɛ
burn: hi
dog: kamul
ear: marʌk
eat: na
eye: kai
fingernail: tehirʌ
fire: ndʌki
foot: mbʌrʌŋ
full: andok
hair: ndʌŋgʌm
he/she: u
I: nʌ
knee: sopi
leaf: tam
leg: mbʌrʌŋ
long: mbelakŋe
louse: kaiyimbam
moon: yekʌp
mother: miŋ
mouth: maiy
name: ŋgen
name: uman
neck: ŋgulʌk
new: kaluk
rain: hopʌ
road: kahit
sand: haruharu
say: yʌ
sister: hʌmi
skin: tanga
sleep: awek
smoke: ŋgwʌha
star: ɛndʌr emʌk
sun: ŋgusit
thou: gi
thou: ŋgʌ
tongue: yɛmbi
tooth: mai
warm: wawuŋʌ
water: yaŋga
we: ni
wind: ŋgwʌman
wing: pir
