all: kuːd
ashes: t̪aːd̪iŋ
bark: pɔtɛka
belly: buli
big: d\aːŋke
bird: denɛt̪
bite: akaǯar
black: ɔləʔɔl
blood: remat̪
bone: žwəd̪
breast: t̪enit̪
burn: elde
claw: kɔrkɔn
cloud: kɔl
cold: yɛmit̪
come: ədit
die: tɔbbe
dog: gɔk
drink: matar
dry: aʔawin
ear: idi
eat: amed̪
egg: kɔmat
eye: wəŋ
father: baba
fat (n.): ačaßɔn
fire: mač
fish: rɛč
fly (n.): laŋʲɛt
foot: kerɛ
give: iŋir
good: pat̪upat̪
grass: lom
hair: re
hand: enat̪
head: weč
heart: čɔdɛ
hear: tɛŋgɛ
horn: tuŋe
I: aːneč
kill: nagadɔk
know: ŋɛðar
leaf: kɔd̪ak
liver: kenət̪
long: bər(ə)bɔr
louse: yək
man: t̪aːrɔk
many: aːkɔdɔŋ
meat: kɔgɔk
moon: paːč
mountain: pəm
mouth: tɔk
name: mɔŋɔn
neck: d\ɔk
new: akeč
night: aban
one: akɛl
other: ɔkan
rain: kɔt
red: mɛɲmɛɲ
road: pɔr
root: berit̪
sand: teŋɔl
say: ǯayar
seed: kab
see: ɔukuðar
sit: kekɛr
skin: rɔdɛ
sleep: nene
small: lɛke
smoke: rɛt̪
snake: nanaːn
stand: yɔdɛ
star: kɛtɛnɛt
stone: gurit
sun: əŋ
swim: kaŋ
tail: ßele
thin: bombom
this: ɛn
thou: eneč
three: adak
tongue: lɛbɛ
tooth: legit
tree: yat̪
two: are
walk: adɛr
warm: miǯmiǯ
water: pi
we: ɔnɔk
wet: taǯaːtaǯ
what: ŋə
white: baːbɔ
who: ŋa
woman: mɛnmarak
