ashes: hǝjo:k
bark: hmɔ:k
big: tih
bird: sɛm
bite: kap
black: gam
blood: pha:m
bone: kǝti:ŋ
breast: tuh
claw: tǝŋiǝh
cloud: hǝmǝ:l
cold: tǝŋiet
die: kǝtec jǝhŋom br
dog: kɔ
drink: йa
dry: hreŋ
ear: don
earth: tɛ:h
eat: sa:
eye: mat
fat (n.): rǝma
feather: sɔk
fire: uй
fish: ka:
fly (v.): par
foot: tǝpa:ŋ ӡǝŋ
full: ʔbeй
give: ʔan
good: liɛm
green: ӡǝk
hair: sɔk
hand: ti:
head: kǝl
hear: kǝtǝŋ
heart: nuih
horn: ake:
I: iй
kill: pǝlɔ:c
know: bat
leaf: hla:
lie: pǝso:m
liver: klǝ:m
long: kǝӡu:ŋ
louse: si:
man: dro-ŋlɔ:
man: dro-ŋlɔ:
many: thǝr
meat: ʔйem
moon: khei
mountain: ko:ŋ
mouth: ʔbǝr
name: anan
neck: ako:
new: hlɛ
night: maŋ
nose: mu:h
not: ǝh
one: mu:й
person: bǝŋaj
rain: ʔmi:
red: ʔbre:
road: trɔ:ŋ
root: rǝ:h
round: hǝpo:m
sand: cuǝh
say: pǝma:
see: ʔbo:h
skin: ʔǝka:r
sleep: te:p
small: ie
smoke: ʔйui
stand: dǝŋ
star: sǝŋlo:ŋ
stone: tǝmɔ:
sun: ʔnar
swim: glǝi
tail: kieŋ
that: ʔ=ni
this: ʔnou
thou: ɛ:
tongue: rǝpiet
tooth: sǝneй
tree: ʔlɔ:ŋ
two: ʔba:r
walk: ano
water: da:k
we: йo:n
what: kiǝ
white: ko:k
who: bu:
woman: dra-kan
yellow: dre:ŋ
