all: goŋ
animal: makiyamo
arm: daba
arrow: fayu
ashes: ʕura
bark: qafa
belly: gura\a
belly: guraʔa
big: didir
bird: čiraʕa
bite: kiħ˗
bite: tluw˗
bitter: qadayd
black: boʕi
blood: čeːde
bone: fara
branch: alema
breast: isaŋ
brother: naːnkoːri
burn: daʕ˗
burn: oh˗
calf: mičoko
cheek: ʕutla
chest: muːna
child: xwaylimo
child: yaʔay
chin: gamfa
claw: čarafu
cloud: tlafiya
cold: čaqomo
come: xaw˗
count: far˗
cut: quːtl˗
dark: kìduɣu
day: bala
day: balu
die: gwa˗
dig: fol˗
dog: gwehera
drink: kitaħ˗
dry: karahadi
dust: čeče\iya
ear: eː\a
earth: ɦape
eat: ag(iːm)˗
egg: qanaya
eye: ila
fall: hu˗
far: segiŋ
father: taâta
fat (n.): du\ʕiya
feather: haya
finger: diːnča
finger: dugunino
fingernail: čarafu
fire: aɬa
five: koʔan
fly (v.): tsaʕas
foot: dagara
foot: gobina
foot: jaʔe
forehead: paːnda
four: teigaɦ
full: hats˗
girl: hotu
give: hadiːs˗
good: ħo
green: qančeri
hair: qubu
hand: daba
hand: sure
head: saga
hear: axas˗
heart: muna
heavy: dayloʔi
here: tiʔi
he/she: ina
he/she: ós(í́)
horn: xadaŋ
house: mara
hunt: ɬagad˗
husband: ɦawate
I: ají
I: ana
jaw: tlanqatu
kill: gaːs˗
knee: gurugunda
know: xu˗
lake: tlawa
laugh: qasaw˗
leaf: lohiʕiya
left: basay
leg: yaːʔe
lie: qat˗
lightning: mankariya
live: ɬaʔar
liver: da\aye
long: tledi
louse: itno
man: ħawata
many: waʔa
meat: fuʔumay
moon: ɬeheŋ
mother: iyo
mountain: oŋ
mountain: oŋ
mouth: aːfa
name: ûma
narrow: čoʔaħi
navel: murungu
near: čia
neck: isa
new: ʕabi
night: amasi
one: leŋ
one: wak
other: wak
person: heːdi
rain: tlubey
red: daʕadi
river: sa\ama
road: amo
rope: weːla
rotten: tlakwi
salt: munga
sand: seħenay
say: gimbus˗
scratch: doħ
see: arim˗
sew: hiramamid˗
short: ququmadi
shoulder: kizoga
shoulder: kwaɦa
sing: raʔam˗
sit: ˗ibiːt˗
sky: raw
sleep: qat˗
small: čoko
smoke: eħa
snake: deːsu
spit: čabakare
split: kaʔas˗
stand: qadid˗
star: čitca\iya
stone: tlaː\ʕu
suck: humbaʔad˗
sun: letu
sweet: dinu
swell: ɬuf˗
tail: ɦayso
take: leħis
that: ta\a
there: taʔi
there: yade
they: iney
they: oʔin
this: ˗ki
this: ˗ti
thou: igi
thou: ugu
three: tam
throat: gwaʕaba
throw: kwaɦ˗
today: leːtuti
tomorrow: heːtlaːle
tongue: čufara
tooth: aːtlimo
tree: xa\imo
two: čada
vagina: qendi
vomit: waʕ˗
walk: hoč˗
walk: hote˗
walk: tu\ʕud˗
walk: woč˗
wash: ħunčid
water: ma\ay
we: daːndire
we: oːr(í)
white: abaːqw
wife: ƒade
wind: kwa\eːli
wind: pupiʔija
woman: ɦade
year: korí
yellow: jaʔadaʔadi
yesterday: saʕale
you: oːguná
you: unkuray
