all: kasse
ashes: neːt\aš
bark: ad\if
belly: gɛ\lɛwaʔ
big: wɪn
bird: kɛ\lay
bite: ɛffɪnɪk
black: ha\dɛl
blood: boy
bone: mitat
boy: ʔoːr
breast: t\uː\tɛb
burn: ɨl\luʷ
claw: nʕaf
cloud: la\saː
cold: mok\wa\raːb
come: ɛʔa
die: i\yaʔ
dog: ɔ\yaːs
drink: gʷɔ\yeʔ
dry: bala\maː
ear: angwiːl
eat: tɛm\miːa
egg: kwiːp
eye: leːlit
far: sagi
father: babaːb
fat (n.): goːb
fire: neʔet
fish: aš\š\ab
five: ʔáy
fly (n.): ti\faː(b)
fly (v.): bir˗
foot: rɛ\gɛd
four: fa¶ig
girl: ʔ̰ːr˗t
give: yɪ\hiʔ
good: da\ib
grass: si\yaːm
hair: he\moːb
hand: a\yɛːb
head: gir\maː
hear: maː\su
heart: gɪ\naːʔ
he/she: ˗ ́
he/she: bar˗uː
horn: daab
horn: kos
I: ˗ ̀
I: ʔane˗
I: ʔaneː˗\˗b
I: ʔan˗i˗
I: anuː
I: ˗heː\b
kill: ɪ\dɪr
knee: gunba
know: ɪ\kɛn
leaf: laːt
liver: tɔnkɔlaʔ
long: ra\gaːgab
louse: taːt
man: tɛk
many: gwʊ\daːb
meat: doːf
moon: tɛ\rɪg
mountain: rɛ\bab
mouth: yɛf
name: sɪm
near: deha
neck: t\alaʔ
new: gɛyiːb
night: ha\wad
one: ngaàl
one: ŋ\ga
other: wɛr
rain: bɪ\rɛb
red: ada\rob
road: sɪkab
root: sɨr
sand: haš
say: ʔɨdɨr
seed: te\ra
see: riyhah
sit: ʔɨs\sa
skin: adeːb
sleep: dɛwi\yaː
small: dɛ\bluː
smoke: kwa\raːr
snake: kwarkwɛr
stand: ʔɪn\gɛːd
star: ha\yuk
stone: aweːb
sun: yiːnt
swim: umiːya
tail: niwa
they: bar˗aː
they: baraː\
they: bar˗eː
they: ˗ ̀hi˗na
thin: nɛha\wab
this: ɔnɔ
thou: bar˗t˗uː˗\k
thou: bar˗uː˗\k
thou: bɛroːk
three: m\hayb
tongue: mida\laːb
tooth: kwɪrɛːt\
tree: ɪndiːb
two: ma\lɔːb
walk: giːgʲɪ
warm: nɛ\baʔ
water: yam
we: ha\nɛn
we: hin˗e˗
we: hinìn
we: hinìn
we: ˗hoːn
we: ˗\n
wet: yɛr\daʔ
what: nan
when: ˗naː˗\doːr
where: ˗naː˗mhiín˗
white: eː\rab
who: aːb
woman: tɛkɛːt
you: bar˗aː˗\k
you: baraːkna
you: bar˗t˗aː˗k
you: bar˗(t)˗eː˗\k
you: ˗\k˗na
you: ˗koːk
