all: emangpi
animal: binantɑ
animal: binantɑ
arm: atang
arm: atang
arm: atang
arm: atang
arm: atang
arm: atáng
arm: nataŋ
arm: nataŋ
ashes: mekke
ashes: moro
ashes: moro
ashes: moro
ashes: moro
ashes: moro
ashes: mɔrɔ
ashes: mɔrɔ
at: tang
at: veng
back: ma-mota-edzhel
back: na-mota
back: na-motta
back: na-motta
back: nɔmɔtɑ
back: nɔmɔtɑ
back: no-mota
back: no-mota
bad: (d)zhasi
belly: na-tow
belly: na-tow
belly: ne-tow
belly: no-tok
belly: no-tok
belly: no-toku
belly: nɔtɔku
big: b!al
big: b!al
big: ele
big: ele
big: ele
big: ɛlɛ
big: ɛlɛ
big: kana
big: lee
bird: adúang
bird: adúang
bird: dung
bird: dung
bird: dung
bird: duŋ
bird: duŋ
bird: uul
black: anni
black: anni
black: hanɑ
black: hanɑ
black: hana
black: ka\ána
black: ka\ána
black: kana
blood: na-ve
blood: na-we
blood: ne-ve
blood: ne-we
blood: ne-we
blood: wee
blood: wey
blood: wey
blood: wey
bone: ira
bone: kirɑ
bone: kirɑ
bone: kira
bone: na-talá
bone: ne-kira
bone: ne-kira
bone: tallá
branch: atang
breast: na-kono
breast: na-kono
breast: ne-e\am
breast: ne-etu
breast: ne-kono
breast: ne-kono
breast: nɛːtu
breast: nɛːtu
breast: oang
cheek: na-dung
cheek: na-dung
cheek: na-dung
cheek: na-dung
cheek: na-wayra
cheek: no-dung
cheek: nɑwɑyrɑ
cheek: nɑwɑyrɑ
chest: na-bukang
chest: na-bukang
chest: na-diyar
chest: n-owáng
chest: n-uang
chest: n-uang
chest: n-ukang
chest: nukaŋ
chest: nukaŋ
child: n-oqxal
child: nɔqxal
child: nɔqxal
child: oal
child: o\al
child: o\al
child: va\al
child: val
child: val
child: wal
chin: ava
chin: ava
chin: awa
chin: awah
chin: awa(h)
chin: awaha
chin: noot
chin: nɑwɑ
chin: nɑwɑ
claw: kohíng
claw: kooking
claw: kuku
claw: kurúsing
claw: kusíl
claw: kusing
claw: kusiŋ
claw: kusiŋ
cloud: banaw
cloud: banaw
cloud: banáw
cloud: banáw
cloud: banáw
cloud: bano
cloud: banow
cloud: banów
cloud: bënáw
cold: babíla
cold: jhewi
cold: kajhávi
cold: ke\éwei
cold: ke\ewi
cold: mobu
cold: qxiwi
cold: qxiwi
cold: qxiwi
come: dɑ
come: dɑ
come: da
come: ho\a
come: ho\a
come: ma
come: ma
come: ma
come: ma
come: ma
crocodile: bapa
cut: to\oning
cut: to\oning
dance: dari
dark: kua
die: amína
die: amína
die: imina
die: imína
die: imína
die: minɑ
die: minɑ
die: minɑ
die: mina
die: mina\
dig: toro\u
dog: chabar
dog: (d)zhabar
dog: jabar
dog: jabur
dog: jhabar
dog: jhobal
dog: jhobal
dog: ǯɑbar
dog: ǯɑbar
drink: nɑ
drink: nɑ
drink: na
drink: na
drink: na
drink: na
drink: na
drink: na
dry: atáta
dry: ta\ata
dry: ta\ata
dry: taqxáta
dry: taqxɑtɑ
dry: tatti
dry: tatti
ear: everi
ear: ewe-kir
ear: eweli
ear: na-ver
ear: na-wel
ear: na-weli
ear: na-wer
ear: nɛwɛkir
ear: nɛwɛkir
earth: butung
earth: meke
earth: meke
earth: mekke
earth: mekke
earth: mekke
earth: mexe
earth: mɛxɛ
earth: por
eat: \ahi
eat: kede
eat: nɑ
eat: nɑ
eat: na
eat: na
eat: naádang
eat: nadang
eat: naná
egg: dog
egg: dɔg
egg: dɔg
egg: duag
egg: duag
egg: duwa
egg: duwa
egg: duwa
excrement: as
eye: eng
eye: eng
eye: eng
eye: eng
eye: eng
eye: eng
eye: eyng
eye: nɛːŋ
fall: ba
fall: hiba
father: iimang
father: imang
father: imang
father: imang
father: imang
father: imang
father: imang
father: nimaŋ
fat (n.): ele
fat (n.): ɛlɛ
fat (n.): ɛlɛ
fat (n.): hupár
fat (n.): kupar
fat (n.): kuta
fat (n.): kuta
fat (n.): lee
fat (n.): pil
fat (n.): tamal
fat (n.): tamál
fingernail: kohíng
fingernail: kooking
fingernail: kuku
fingernail: kurúsing
fingernail: kusíl
fingernail: kusing
fingernail: kusiŋ
fire: ad
fire: ad
fire: ad
fire: ad-
fire: ard
fire: had
fire: had
fish: ab
fish: ab
fish: ab
fish: ab
fish: ab
fish: abë
fish: hab
fish: hab
five: awóhang
five: awóhang
five: hising
five: hising
five: ising
five: isíng
five: isiŋ
five: jeting
fly (n.): valiál
fly (n.): valíyal
fly (n.): vavar
fly (n.): wawar
fly (n.): wawar
fly (n.): wawar
fly (n.): wawer
fly (n.): wɑwɛr
fly (v.): iríri
fly (v.): iríri
fly (v.): lila
fly (v.): lilá\
fly (v.): liri
fly (v.): liri
fly (v.): liri
