all: saba\ane
and: kene
animal: kadadi
ashes: awu
at: di
back: laro
bad: ja\o
bark: kuli kau
because: parantaeda
belly: kompo
big: to\oge
bird: kadadi
bite: nokaha
black: biru
blood: raha
blow: no\iri
bone: buku
breathe: nomoho
breathe: nosende
burn: notunu
child: ana
cloud: komo
cloud: lono
cold: monini
come: nomai
correct: nokobe
count: nobilo
count: noreke
cut: nogonti
cut: notopanga
day: \oloo
die: nomate
dig: nokali
dirty: leluma
dirty: marombu
dog: \obu
drink: nomoro\u
dry: morengke
dry: motiti
dull: nobantu
dust: gawu
ear: talinga
earth: wuta
eat: nomanga
egg: gora\u
eye: mata
fall: buti
far: melai
father: ama
fat (n.): mo\owu
fear: ma\eka
feather: wulu nu kadadi
few: melampa
fight: pogira
fire: ahu
fish: ika
five: lima
float: no\onu\onu
flower: kamba
flow: nowulu
fly (v.): nolola
fog: gopo
foot: ae
four: gana
freeze: -
fruit: ba\e
give: nohu\u
good: leama
grass: pada
green: noijo
guts: kalukompo
hair: hotu
hand: lima
head: kapala
hear: norodongo
heart: ba\e
heavy: moboha
he: ia
here: i ana
hit: nobusu
hit: notaha
hit: notopa
hold: nokonto
how?: noha\a
hunt: nodowo
hunt: nohengala
husband: ama
ice: -
if: ara
I: iaku
in: di
kill: nohokomate
know: nodahani
lake: -
laugh: nokoni
leaf: ro\o
left: mohii
leg: ae
live: no\ido
liver: ate
long: melangka
louse: kutu
man: mo\ane
many: nokoruo
meat: ne\i
meat: ramo
moon: komba
mother: ina
mountain: gunu
mountain: wungka
mouth: ngusu
name: ngaa
narrow: sombu
narrow: songko
near: metangku
neck: kawu\u
new: wo\ou
night: morondo
nose: ngo\o
not: mbeaka
old: mansuana
one: sa\asa
other: hele
person: mia
play: no\aka\aka
pull: nohikidongo
push: nosoro
rain: nowande
red: meha
right: moana
river: umala
road: sala
root: aka
rope: hao
rotten: mowuru
rub: nogoso
salt: gara
sand: \one
say: nopogau
scratch: nokaho
sea: mawi
seed: beni
see: no\ita
sew: hebai
sew: hobai
sew: sangki
sharp: mohama
short: medumpu
short: mepanda
short: mopera
sing: nolagu
sit: nokede
skin: kuli
sky: langi
sleep: nomoturu
small: ki\iki\i
smell: noanti
smoke: ko\o
smooth: molungu
snake: sa\a
snow: -
some: -
spit: no xxx
split: nogonti
squeeze: nopinse
stab: notobo
stand: nohetade
star: wetu\o
stick: panga
stick: rapi
stick: sombure
stone: watu
straight: molobu
suck: nomiso
suck: nopono
sun: \oloo
swell: nobengki
swim: nonangu
tail: iku
that: atu
that: iso
there: i atu
there: i iso
they: amai
thick: mokobu
think: nowikirii
thin: monihi
this: ana
thou: iko\o
three: tolu
throw: no\eda
throw: nohambere
throw: notompa
tie: noboke
tie: nobongko
tie: nondai
tongue: ela
tooth: koni
tree: (hu\u nu) kau
turn: nowali
two: dodua
vomit: nohenenasi
vomit: nohonolokea
vomit: notolua
walk: nowila ae
warm: nomelu
wash: nohesowui
water: uwe
we: ikami
we: ikita
wet: mepa
what: paira
when?: dehia
when?: kehia
where?: i umpa
white: mohute
who: emai
who: ie\ei
wide: lalesa
wife: bela
wife: wowine
wind: \iri
wing: kape
wipe: nogoso
with: kene
woman: wowine
woods: moto kau
worm: \oro\oro
worm: ulo
year: ta\o
ye: ikomiu
yellow: mokuri
