arrow: bawi
ashes: heme
ashes: heme
back: makia
back: makia
bad: ali
bad: ali
belly: wafei
belly: wafei
big: sebieni
big: sebieni
bird: bamuwi
bird: bamuwi
black: wonofu
black: wonofu
blood: ibiba
blood: ibiba
bone: heli holi
bone: heli holi
boy: wabi
boy: wabi
breast: ami
breast: ami
brother: pato
brother: pato
cassowary: bokaplai
child: nauwa
child: nauwa
child: nauwa
chin: aia
chin: aia
claw: lokolu
claw: lokolu
cloud: kotumai
cloud: kotumai
day: lowu
dog: maniau
dog: maniau
ear: monu
ear: monu
earth: kati
earth: kati
egg: nou
egg: nou
elbow: loku
elbow: loku
emu: bokaplai
eye: manowa
eye: manowa
father: saiu
father: saiu
fat (n.): linopo
fat (n.): linopo
finger: yau
finger: yau
fire: sia
fire: sia
fish: ibabufu
fish: ibabufu
foot: kay
foot: kay
forehead: nihoholi
forehead: nihoholi
girl: tafio
girl: tafio
good: boafe
good: boafe
hair: awe
hair: awe
hand: lokolu
hand: lokolu
head: kobagala
head: kobagala
heart: nabodada
heart: nabodada
house: ka da
house: ka da
knee: kha
knee: kha
leaf: yoku
leaf: yoku
leg: monolu
leg: monolu
lie: fwai
lie: fwai
long: luluwau
long: luluwau
louse: nowmi
louse: nowmi
man: mumani
man: mumani
many: umali
many: umali
meat: yebala
meat: yebala
moon: pamwi
moon: pamwi
morning: no nana wi
morning: no nana wi
mother: miu
mother: miu
mouth: ai
mouth: ai
name: wapi
name: wapi
neck: maisa
neck: maisa
new: keke
new: keke
night: nu yali yau
night: nu yali yau
nose: waka
old: beteifio
old: beteífio
old: madi
old: madi
old: maniaru
old: maniaru
one: maiʔi
one: maií
rain: lelawi
rain: lelawi
rat: iapa
rat: iapa
red: mifiai
red: mifiai
road: yu
road: yu
root: pilio
root: pilio
sand: noku
sand: noku
short: lapu
short: lapu
shoulder: yoko
shoulder: yoko
sister: toli
sister: toli
sit: amaki fuo
sit: amaki fuo
skin: kha
skin: kha
small: ofo
small: ofo
smoke: sobudaye
smoke: sobudaye
snake: hanou
snake: hanou
stand: kinal
stand: kinalx
star: yeli
star: yeli
stone: baki
stone: baki
sun: mauwuru
sun: mauwuru
tomorrow: kinelo
tomorrow: kinelo
tongue: solëwi
tongue: soləwi
tooth: nei
tooth: nei
tree: yinu
tree: yinu
two: hoi
two: hoí
walk: fasi
walk: fasi
wallaby: wasin
wallaby: wasin
water: mawu
water: mawu
white: teli
white: teli
wind: filikai
wind: filikai
wing: pinafa
wing: pinafa
woman: momiaru
woman: momiaru
yesterday: nelika
yesterday: nelika
