all: kdɨʔɨ
and: na
animal: Imɔnɔf
ashes: abu
back: kagol
bad: sasəʔ
bark: kulit
because: du
belly: takmus
bird: anuk bnas
bite: m-aket
black: fitam
blood: litəʔ
blow: m-yuf
bone: tulɔn
breast: tutuʔ
breathe: nɔwɔ
burn: s-n-ɔkuf
child: tiŋɔʔ
cloud: Iɔbun
cold: tno
come: salu dini
correct: glut
count: n-sɨ
cut: tibə
die: m-ɔti
dig: m-akol
dirty: n-usiŋ
dog: ayəm
drink: m-inum
dry: kafag
dull: 1ɔʔ g-am-ban
dust: kfuŋ
ear: kliŋɨ
earth: tonoʔ
egg: tiŋɔʔ anuk
egg: tiŋɔʔ anuk
empty: landəʔlam
eye: mɔtɔ
fall: m-tatək
far: m-ɔwɔg
father: mɔʔ
fat (n.): tabəʔ
fear: k-likoa
few: 1ɔʔ dɨʔɨ
fingernail: tnugu
fire: lifoʰ
fish: nɔlɔf
five: limi
float: l-am-təw
flower: bulək
flow: m-aloh
fly (v.): m-ayeŋ
fog: m-lɔbun
foot: bliʔ
forest: dlɔg
four: fɔt
frog: fɔk
fruit: buŋi
full: fnoʔ
give: ble
good: fyɨ
grass: sabat
green: m-lunu
guts: tnai
guts: tnai
hair: wak
hand: kmal
head: ulu
hear: m-liŋɨ
heart: fufuŋ
heavy: blɔt
he: kɨnɨn
hit: munɔl
horn: suŋkət
how: tan i k-iboa
hunt: d-m-ulak
husband: yɔʔɔn
I: agu
if: ku
in: lam
kill: f-n-ɔti
knee: bukal
know: gadəʔ
lake: Iɔnɔw
large: boŋ
laugh: m-ule
leaf: doʔon
left: ibeŋ
leg: bliʔ
lie: m-ilɔʔ
live: m-to
liver: ɔtɔy
long: tɔhɔʔ
louse: kutu
man: lagi
many: dɨʔɨ
meat: uŋad
moon: bulən
mother: yeʔ
mountain: bulul
mouth: bɔʔ
name: dagit
narrow: Iɔʔm-abal
near: m-dadoŋ
neck: lial
new: falami
night: butaŋ
nose: iluŋ
old: tuɔ
one: satu
person: to
play: m-ɔgɔf
pull: dyol
push: t-n-ulud
rain: ulən
red: fulɨʔ
right: kwɔnɔn
river: yeʔel
road: dɔlɔn
root: dalil
rope: tali
rotten: balok
round: Ibukuk
rub: n-udes
salt: kahiʔ
sand: falak
say: man
sea: mahin
sea: mahin
seed: bneʔ
sew: t-am-bel
sharp: g-am-ban
short: fukal
sing: m-liŋag
sit: sudəŋ
skin: kindal
sky: laŋit
sleep: kudaŋ
small: tukay
smell: n-bun
smoke: buk
smooth: m-linag
snake: ulad
some: dadɨmɨ
spit: d-m-ulɔʔ
split: b-an-sek
stab: d-n-ugsaŋ
stand: tadag
star: blatik
stick: tugad
suck: m-saf
sun: du
tail: ikoŋ
they: alɨ
thick: m-aŋfəl
think: isip
thin: m-ŋifî
thou: gɨ
thou: gamu
three: tlu
throw: bat
tie: b-n-ataŋ
tongue: dilɔʔ
tooth: kifan
tree: kayu
turn: blэliŋ
two: lwɨ
vomit: m-utɔʔ
warm: m-init
we: itɨ
wet: fafeʔ
what: tan
when: kilən
which: nɨʔ
white: bukay
who: sinto
why: kan
wide: m-abal
wife: yɔʔɔn
wind: nus
wing: fafak
woman: libun
worm: lyɔkuʔ
wrong: isɨ glut
year: fɔli
