all: pǝbǝt
ashes: bAh.L
big: pɨŋ.B
bird: cɛ:m.L
bite: kap.L
black: ko:m.L
blood: ŋha:m.L
bone: ŋha:ŋ.L
breast: tɔh.L
claw: ntreh.B
cloud: me:k.B
cold: sǝŋɛ:t
come: ťʔ.B
dog: ʔǝcA:.L
drink: ŋuajʔ.B
dry: rAh.B
ear: kǝto:r.L
earth: kǝtɛ:ʔ.L
eat: ca:.L
egg: ntre:l.B
eye: mat.B
fat (n.): nsi:ŋ.L
fire: ʔu:jh.L
fish: ʔǝka:.L
fly (v.): par.L.
foot: ʔǝjǝ:ŋ.L
full: pan.B
give: ʔɔ:n.L
good: ʔA:.L
hair: sɔʔ.L
hand: ʔǝťj.L
head: phľ:.L
hear: sAŋ.L
heart: pǝha:m.L
heart: phǝrcɛ:l.L
horn: tǝkA:j.L
I: ŋkAʔ.B
kill: kǝcɛ:t.L
knee: rǝkɔ:l.L
know: daŋ.L
leaf: kǝtuŋ.L
lie: b̌jʔ.L
liver: luam.B
long: kǝti:.B
louse: nčj.L
man: nlaw.L
many: sǝʔɨj.L
meat: sajʔ.L
moon: kǝsaj.L
name: rǝmɨh.B
neck: tǝkA:ŋ.L
new: tǝmaj.L
night: sǝdaw.L
nose: muh.B
not: tA:h
one: muǝj.B
person: kuaj.L
rain: mia.B
red: kǝsaw.L
road: rǝna:.L
root: re:h.B
say: tǝbɛ:ʔ
say: wa:w.B
seed: klA:ŋ.L
sit: tǝku:.B
skin: ŋkar
sleep: b̌jʔ.L
small: kɛ:t.L
smoke: phǝhiaʔ
stand: tǝjɨŋ.B
star: mǝntɔ:r.L
stone: tǝmaw.L
sun: mat.B mǝna:ŋ.L
sun: mat.B mǝna:ŋ.L
swim: lo:j.B
tail: sA:j.L
that: ki:.B
this: ňj.B
thou: m̌j.B
tongue: liajh.B
tooth: kǝnɛ:ŋ.L
tree: ka.B ʔǝluaŋ.B
two: ba:r.L
walk: tǝjah.L
water: ď:ʔ.L
we: mhaj.L
what: ntaw.B
white: bla:j.L
who: naw.B
woman: mǝŋsɛ:m.L
yellow: rǝriaʔ
