all: wɔitsa
ashes: bu\da
belly: mɪlla
big: wɔylɪn(t)s
bird: kəfa
bite: d\ək\a˗
black: karts
blood: sutsa
bone: mik\ɛts
breast: amma
burn: mičɛ˗b
claw: tsugʊnts
cloud: šaːra
cold: zak
come: ˗yɛ˗
die: ayk\ə˗
dog: kana
drink: ʊškə˗
dry: mɛlla
ear: wɔytsi
eat: mɔː˗
egg: muk\a
eye: aːf
father: aːdo
fat (n.): mɔd\a
fire: tama
fish: mɔla
fly (n.): wʊts\ɨla
fly (v.): fər
foot: toʰe
give: ʊmə˗
good: kɔše
grass: maːta
hair: binana
hand: kʊš
head: k\ɔmma
hear: sɨsk˗
heart: buːda
horn: ušɪnš
I: tana
kill: wəda˗
knee: buk\a
know: ɛra˗
leaf: šitta
liver: maːyɨz
long: p\arɛnts
louse: č\uča
man: aːse
many: wɔylɪnts
meat: aːyš
moon: aːgən
mountain: ɨnda
mouth: noːna
name: sumsa
neck: k\ɔːs
new: ɔrɛs
night: k\amma
one: fɛtɛn
other: mela
rain: ɨr
red: zoqɔts
road: gəːytsi
root: ts\ɛp\a
sand: mašɪnt
say: gaː˗
see: bɛk\ə˗
seed: zɛrs
sit: dɔʔa˗
skin: gəmma
sleep: surk\a˗
small: gɨlla
smoke: č\uyɨʒ
snake: šoːš
stand: ek\a˗
star: ts\olɪnta
stone: šuča
sun: awa
swim: waːd\a˗
tail: gɔlʲsi
thin: leʔ
this: (h)aːdi
thou: nena
three: hay(d)zi
tongue: ɪnts\ɨrs
tooth: ači
tree: mɪts
two: namʔe
walk: lukɔ˗
warm: mɪčin
water: waːtse
we: nuːni
wet: ɨrts\a
what: ɔnɔ
white: bɔrs
who: ɔnɔ
woman: mɛč\a
you: ɪnti
