all: duba
ashes: bululo
bark: nezi
belly: boːgi
big: kəǯi
bird: kimbiri
black: gəmbela
blood: iːgi
bone: lɛfi
breast: naːsi
burn: ifuffe
cloud: darur(i)
cold: ambəli
come: met˗
die: gw˗
dog: kerre
drink: d\am
dry: gaŋgageʔe
ear: nɛbe
eat: aːm
egg: buba
eye: il(i)
father: abbo
fat (n.): k\abi
fire: elen
fish: kunnumi
foot: lukka
good: kəʔidəlla
grass: eːs
hair: ogorro
hand: gɛne
head: mɛte
heart: wɨzɛna
horn: maːša
I: ani
kill: lagad˗
know: malab˗
leaf: balalo
liver: toddo
long: kaʔeri
louse: igiri
man: ul
many: kamogani
meat: soː
moon: digɨni
mountain: wodami
mouth: hɛːʔi
name: meːge
neck: margi
one: koʔo
rain: idamo
red: heːlaki
road: ra
root: hɨdidi
sand: č\eːkəle
say: amɨr
see: din˗
seed: wuta
sit: amaz˗
skin: goga
sleep: (h)udur˗
small: kičere
smoke: ɨyyi
stand: all˗
star: baraǯa
stone: eʔebo
sun: ariti
swim: girisdɛbe
this: hikka
thou: ati
three: sɛdi
tongue: irrɛbi
tooth: ilko
tree: ga(a)
two: ləmə
walk: siset˗
warm: kolkolɛmna
water: bɛke
we: no
what: giro
white: gumara
who: aiyo˗iki
woman: hilel
you: isin(i)
