all: tuli
and: sibawa
animal: olokoloʔ
ashes: awu
back: bokoŋ
bad: maǰa
bark: oliʔ-aǰu
because: na[sabaʔ]
belly: bauwwa
bird: manu-manuʔ
bite: okkoʔ
black: ma-lotoŋ
blood: darra
blow: miriʔ
bone: bukku
breast: susu
breathe: [nappasɨʔ]
burn: mat-tunu
child: ana-anaʔ
cloud: ɨlluŋ
cold: ma-kɨččeʔ
come: tumai
correct: Шǰu
count: bilaŋ
cut: polo
die: matte
dig: mak-kae
dirty: ma-rōta
dog: asu
drink: enuŋ
dry: ma-rakko
dull: ma-kunru
dust: awwu
ear: daččuli
earth: tanna
egg: ittilloʔ
egg: ittilloʔ
empty: lobbaŋ
eye: mata
fall: tipŋəl
far: ma-bela
father: amboʔ
fat (n.): luηraʔ
fear: pɨlliorɨŋ
few: čeddeʔ
fingernail: βili-n esapi-n
fire: appi
fish: bale
five: lima
float: mawaŋ
flower: buŋa
flow: mas-soloʔ
fly (v.): luttuʔ
fog: appuŋ
foot: aǰǰe
forest: alɨʔ
four: ɨppaʔ
frog: tuppaŋ
fruit: bua-bua
full: buke
give: mab-bere
good: ma-kίssiŋ
grass: wɨlla
green: ma-kudara
guts: pɨruʔ
guts: pɨruʔ
hair: weluaʔ
hand: ǰari
head: ulu
he: alena
hear: ma-reŋ-kaliŋa
heart: ati
heavy: ma-tane
hit: mak-kɨdduŋ
horn: tanruʔ
how: pek-kugi
hunt: rɨŋŋɨŋ
husband: lakkai
ice: [esɨʔ]
if: čoban-na
I: iyyaʔ
in: ri-lalɨŋ
kill: uno
knee: uttuʔ
know: issɨŋ
lake: tappariŋ
large: ma-loppo
laugh: me-čawwa
leaf: dauŋ
left: abeo
leg: aǰǰe
lie: turu
liver: ɨssuŋ
live: tuwo
long: ma-lampeʔ
louse: utu
man: orowanne
many: mega
meat: ǰukuʔ
moon: ulɨŋ
mother: indoʔ
mountain: bulluʔ
mouth: timu
name: asɨŋ
narrow: ma-čikke
near: mak-kaweʔ
neck: ɨlloŋ
new: baru
night: wɨnni
nose: iŋɨˀ
old: ma-toa
one: seddi
person: tau
play: mač-čule
pull: gɨttɨŋ
push: soroŋ
rain: bossi
red: ma-čɨlla
right: atau
river: salloʔ
road: lalɨŋ
root: urɨʔ
rope: tuluʔ
rotten: ma-wari
round: ma-lebu
rub: gossoʔ
salt: pɨǰǰe
sand: gɨssi
say: mak-kida
sea: tasi
sea: tasi
seed: binne
sew: maǰ-ǰai
sharp: ma-tārɨŋ
short: ma-pončo
sing: mak-keloŋ
sit: tudaŋ
skin: uliʔ
sky: bitarra
sleep: tinro
small: bečču
smell: marem-mau
smoke: rumpu
smooth: [alūsuʔ]
snake: ulaʔ
some: čeddeʔ
spit: mičču
split: lɨlleʔ
stab: witta
stand: tɨttoŋ
star: wittowiŋ
stick: anaʔ[guru]
suck: maŋ-ŋisoʔ
sun: ɨsso
tail: ikkoʔ
they: alena-manɨŋ
thick: ma-umpɨʔ
think: [pikkiriʔ]
thin: ma-nipiʔ
thou: iko
thou: iko-maшŋ
three: tɨllu
throw: rempɨʔ
tie: mas-sioʔ
tongue: lila
tooth: isi
tree: poŋ
turn: gilliŋ
two: dua
vomit: luwa
warm: ma-pilla
we: idiʔ-manɨŋ
wet: ma-riča
what: agga
when: ma-ganna
which: tegae
white: ma-pute
who: iga
why:  magai
wide: battowa
wife: baine
wind: aŋŋiŋ
wing: panniʔ
woman: makkunrai
worm: alati
wrong: sala
year: tauŋ
yellow: ma-ridi
