all: uːnoːni
ashes: tulla
bark: ˗feːk\a
belly: maːč\a
big: eːʲna
bird: kəffa
bite: šaːy
black: aːk\a
blood: t\ɛːts\a
bone: mɛk\ɨts\a
boy: nanaʔ˗o˗tsi
breast: t\aːts\a
brother: ešwi
burn: miːts\i
chest: gerʰa
claw: ts\unguntsa
cloud: dawʲa
cold: aːk\a
come: wɔ
die: k\ɪri
dog: kəna
drink: uwiː
dry: šuːnk\a
ear: waːza
eat: mɔ
egg: ˗k\eːts\a
eye: awa
father: niha
fat (n.): k\ʷots\a
fire: tawa
fish: muːts\a
fly (n.): zaːnza
foot: tuːfa
give: ɨm
good: šeːŋga
grass: toːts\a
hair: ts\iːra
hand: kiːša
head: tɔːka
hear: ši
heart: nimba
horn: k\aːla
I: taːna
kill: uːd\i
knee: guːbra
know: dən
leaf: maːra
liver: afaːra
long: geːnza
louse: ts\ʊːtts\a
man: aːša
many: aːya
meat: meːts\a
moon: a\šutsa
mountain: guːra
mouth: noːna
name: šuːtsa
neck: biːmba
new: addisya
night: t\uːwa
one: ɨkka
other: k\ɔʃa
rain: awʷ̌a
red: biːra
road: weːra
root: ts\əp\a
sand: šiːya
say: ɛr
seed: šoːka
see: ts\il
sit: beːu
skin: goːk\a
sleep: k\eu
small: muk\a
smoke: ts\uːa
snake: dəwʲa
stand: neːd\a
star: k\eːna
stone: šuːts\a
sun: aːwa
swim: waːka
tail: k\əč\č\ea
thin: č\iːč\a
this: aša
thou: neːna
three: keːzza
tongue: albeːra
tooth: gəːša
tree: miːta
two: gitta
walk: aːm
warm: k\eːts\a
water: aːts\a
we: noːna
wet: moːts\a
what: ɛːbi
white: nɛts\a
who: koːne
woman: maːts\a
you: iti
