all: yëkïvarë
arm: tabë
arm: tabë
arm: tambʌ
arm: tambʌ
ashes: baw
ashes: bwë
ashes: mbaw
ashes: mbwʌ
back: kwk
back: kwk
back: wmwmŋ
back: wmwng
bad: yëdï
bad: yëdïvïk
bad: yʌndə
bad: yʌndəɣək
bark: mi bakë
bark: myë bagë
bark: myʌ mbagə
bark: my mbakʌ
belly: yarə
belly: yari
belly: yarï
belly: yary
big: madï
big: madï
big: madï
big: mandə
big: mandə
big: walïmani
bird: wavi
bird: wavyë
bird: waɣy
bird: waɣyʌ
bite: cyʌ
bite: cyë
bite: tyʌ
bite: tyë
black: gïlï
black: gïlï
black: gïrï
black: gïrï
black: ŋgələ
black: ŋgərə
blood: win
blood: win
blood: win
blood: wyn
blood: wyn
blow: ya-bïlï
blow: yambələ
blow: yarək
blow: ya-rïk
bone: aɣʌ
bone: abë
bone: avë
bone: avë
bone: yapʌ
bone: yapë
bone: yapë
branch: mi dagu
branch: myʌ cəmbʌ
branch: myë cïbë
branch: my ndaŋgw
breast: muyn
breast: mwyn
breast: myʌ
breast: myë
brother: acə
brother: acï
brother: ɲəmway
brother: madï
brother: mandə
brother: nyïmway
brother: waykʌ
brother: waykë
burn: twʌ
burn: twʌ
burn: twë
burn: twë
chest: kwavʌ
chest: kwëvi
chest: təmkʌ
chest: tïmkë
child: ɲan
child: ɲaŋ
child: nyan
child: nyang
chin: tak
chin: tak
chin: taknapʌ yapʌ
chin: takngapë yapï
cloud: ɲərə
cloud: ɲərə
cloud: nyïrï
cloud: nyïrï
cloud: nyïrï
cold: nəgwrək
cold: nïgurïk
cold: nïgurïk
cold: ypma
cold: ypma
cold: ypma
come: ya
come: ya
come: ya
come: ya
come: ya
cut: kərək
cut: kïrïk
cut: rakwʌ
cut: rakwë
dig: ɣa
dig: ɣa
dig: gu
dig: ŋgw
dig: pu
dig: takŋʌ
dig: takngë
dig: va
dig: va
dig: vë
dig: vë
dog: warʌ
dog: warʌ
dog: warë
dog: warë
drink: rə
dry: pwʌ
dry: pwë
dry: rəka
dry: rïka
earth: kəpma
earth: kəpma
earth: kïpma
earth: kïpma
earth: kïpma
earth: kupma zumbru
ear: wan
ear: wan
ear: wan
ear: wan
ear: wan
eat: kʌ
eat: kʌ
eat: kë
eat: kë
eat: kë
eat: malïkngë
eat: nyïrïk
egg: bwadï
egg: bwadï
egg: gïk
egg: gïk
egg: mbwandə
egg: ŋgək
elbow: (tabë) kwari
elbow: (tabë) kwaryë
elbow: tambʌ kwary
elbow: tambʌ kwaryʌ
excrement: dyë
eye: meniyë
eye: mini
eye: minyë
eye: myny
eye: mynyʌ
fall: takyʌ
fall: takyë
fall: taləkʌ
fall: talïkë
far: cəkʌ
far: cəkʌ
far: cïkë
far: cïkë
father: yaɣʌ
father: yapʌ
father: yapë
father: yapë
father: yavë
father: yavë
fat (n.): kwyʌ
