all: dabu
animal: yurigu
animal: yurigu
arm: duru
arm: mala
arm: mala
arm: nuru
ashes: buŋga
back: baṛu
bad: guya
bad: waṛgu
bark: balgaɲ
bark: guga
bark: guga
belly: bana
belly: banbu
belly: banbu
belly: banbu
belly: banbu
belly: ŋalgu
belly: ŋalgu
big: bulŋana
big: dalgabaṛa
big: wuɟabari
bird: bidili
bird: dibila
bird: winɟaṛu
bite: bada-
bite: bada-
black: mida
black: mida
blood: guma
blood: guma
bone: balban
bone: balban
boy: nanga
branch: mala
branch: mala
breast: ŋamun
breast: ŋamun
brother: badana
brother: gada
brother: gadana
brother: wabu
burn: ganda-
burn: ganda-
calf: dumu
calf: dumu
cheek: baŋgil baŋgil
chest: bumba
chest: miṛbil
child: gandu
child: gandu
cloud: yugan
cloud: yugan
cold: buɟari
come: yani-
crocodile: dagaɲ
cut: gulma-
cut: gunma-
dark: ŋugun
dark: nigal
day: gari
day: gari
die: mayi-
die: mayi-
die: wula-
dig: baga-
dig: baga-
dog: gumbinu
dog: mayu
dog: ŋura
dog: ŋuram
dog: wandi
drink: yuga-
drink: yuga-
dust: dunburwa
ear: bina
earth: nani
earth: nani
earth: nani
earth: nani
ear: wala
ear: wala
eat: yuga-
eat: yuga-
egg: ganu
emu: gundulu
emu: gundulu
eye: buyun
eye: dili
eye: dili
face: dili
face: dili
fall: baŋga-
fall: baŋgali-
fall: waṛa-
far: gawari
father: yabu
father: yabu
fat (n.): dami
fat (n.): ŋarbi
fear: baŋgaɲ
feather: bumbu
fight: gunda-
fight: gunda-
fingernail: biga
fish: guyu
fish: wina
fish: wina
flower: bulban
flower: bulban
flow: galga-
fly (n.): ninŋa
fog: duga
fog: dugabara
foot: dina
foot: dina
girl: gambal
girl: gambal
girl: gambal
girl: gambal
give: wuni-
give: yaba-
good: binbi
good: binbi
grass: gaɟara
grass: waguṛa
grass: waguṛa
hair: gada
hair: gada
hair: nidi
hair: nidi
hand: maṛa
hand: maṛa
head: gada
head: gada
heart: buldaɲ
heart: buldaɲ
hear: yumba-
hear: yumba-
hear: yumba-
hear: yumba-
here: yina
here: yina
he/she: nula
he/she: nula
he/she: nuːna
he/she: nuːŋ
he/she: nuŋu
he/she: nuŋu
he/she: nuŋuna
he/she: nuŋuna
hit: bandu-
hit: gunda-
hit: gundap
hold: damba-
hold: danayi-
hole: yuna
house: guga
house: guga
house: gugaru
house: yamba
house: yamba
how: ŋanda
how: ŋanda
hunt: gunda-
hunt: gunda-
husband: baldira
husband: guŋgal
I: ŋana
I: ŋaɟu
I: ŋaɟu
I: ŋaɟuna
I: ŋaɟuna
I: ŋaya
I: ŋaya
kangaroo: ŋargu
kangaroo: wura
kill: gula
kill: gunda-
kill: gunda-
knee: madin
know: ŋuɟa-
know: ŋuɟa-
know: ŋuɟali-
laugh: yadi-
laugh: yadi-
leaf: wilba
leg: dara
leg: dara
leg: wulmuṛ
lie: wuna-
lie: wuna-
lightning: madaŋaṛa
lip: munu
live: binda-
live: binda-
live: dunbi
liver: bulgaɲ
liver: yaguṛi
long: gurgan
long: gurgandala
man: bama
man: bama
meat: yuṛi
meat: yuṛi
meat: yurigu
meat: yurigu
moon: burgari
moon: gagaṛa
moon: gagaṛa
morning: birga
mosquito: buɟuɲ
mother: yaŋa
mother: yaŋa
mountain: bindi bindi
mountain: muŋgu
mouth: daŋga
mouth: daŋga
name: nambar
name: nari
near: biḍi
neck: manu
night: ŋugan
night: ŋugan
old: bunŋa
old: bunŋagan
old: wunuŋadi
one: waṛba
one: waṛba
person: maṛi
person: maṛi
play: dira-
play: dira-
pull: buri-
pull: buri-
rain: gamu
rain: gamu
river: baṛbaṛa
river: galbaṛa
river: galbaṛa
road: yalga
rub: guɟa-
rub: wuɟa-
salt: guɟara
salt: guɟara
sand: balgaṛa
sand: galbul
say: waɟa-
say: yama-
say: yama-
say: yanba-
scratch: bambu-
sea: guɟara
sea: guɟara
see: naga-
see: naga-
short: guṛguru
short: guṛguru
shoulder: nuru
shoulder: wilgaṛa
sing: banda-
sister: guda
sister: gudana
sister: wabugan
sit: binda-
sit: binda-
sit: dana-
sit: dana-
skin: nuṛgal
sky: bandaṛa
sky: bandaṛa
sleep: wumbaṛ
sleep: wuŋar
small: baɟari
small: baɟari
small: gaṛmaṛi
smell: gabura
smoke: duga
snake: gabul
snake: gabul
snake: munda
snake: munda
spit: numba
star: budu
star: budu
sun: gaɲmira
sun: ganir
sun: gari
sun: gari
sweet: gaba
tail: buŋa
tail: buŋa
take: gambi-
take: gunda-
take: mana-
take: mara-
take: mara-
that: ŋuna
that: wuna
that: yana
there: ŋuna
there: wuna
there: yana
they: dana
they: dana
they: danana
they: danaŋu
they: danaŋu
they: danaŋuna
they: danaŋuna
they two: bula
they two: bula
they two: bulana
they two: bulaŋu
they two: bulaŋu
they two: bulaŋuna
thigh: dara
thigh: dara
this: yina
this: yina
thou: yinda
thou: yinda
thou: yindana
thou: yindaŋu
thou: yindaŋu
thou: yindaŋunda
thou: yunu
thou: yura
thou: yura
thou: yurana
thou: yuraŋu
thou: yuraŋu
thou: yuraŋuna
thou: yuraŋuna
throat: barga
throat: barga
throat: daŋga
throat: daŋga
throw: bilga-
throw: maŋga-
throw: maŋga-
thunder: madaŋaṛa
today: yiyaga
today: yiyala
tomorrow: birgagu
tomorrow: birgagu
tongue: dalaɲ
tooth: ŋala
tree: baŋga
tree: baŋga
tree: dula
turn: gambiṛa-
turn: gambiṛama-
turn: yila-
two: bulaṛu
two: bulaṛu
walk: wagabandi-
walk: wagara-
walk: wagawanɟa-
walk: yana-
walk: yani-
walk: yani-
wallaby: galbiru
wallaby: guɲul
wallaby: ŋargu
wallaby: waya
wallaby: waya
warm: bumburiɲ
wash: yuŋgu-
wash: yuŋguli-
water: gamu
water: gamu
weep: bari-
weep: bari-
weep: brigi-
we: ŋana
we: ŋana(n)
we: ŋanaŋu
we: ŋanaŋu
we: ŋanaŋuna
we: ŋanaŋuna
we two (incl.): ŋali
we two (incl.): ŋali(n)
we two (incl.): ŋalina
we two (incl.): ŋaliŋu
we two (incl.): ŋaliŋu
we two (incl.): ŋaliŋuna
we two (incl.): ŋaliŋuna
what: ŋani
what: ŋani
when: ŋanɟanbila
where: ŋandagu
where: ŋandagu
white: buɟa
white: buɟa
white: migulu
white: migulu
who: ŋandulu
who: ŋandulu
wife: birgu
wife: brigu
wind: yarga
wing: gangal
woman: gambi
woman: gayu
woman: gayu
woman: warŋu
wood: baŋga
wood: baŋga
wood: baŋga
wood: baŋga
wood: baŋga
wood: baŋga
wood: dula
wood: dula
yesterday: birgagu
yesterday: birgagu
you two: yubala
you two: yubala
you two: yubalana
you two: yubalana
you two: yubalaŋu
you two: yubalaŋu
