all: mamalɨŋ
animal: amdal
ashes: ɛsalo
ashes: esaló
bad: mədɹəŋ
bad: mëdrëng
belly: sarei/sara-par
belly: šele
big: ubo
big: ubo
big: wupa-
big: wupa-
bird: iambwi
bird: yambwí
blood: iari
blood: yari
blood: yari
blood: yari
bone: anamp
bone: anamp
bone: anapʰ
boy: noɹanankʰoɹəkʰan
boy: noranankorëkan
breast: nïngke
breast: niŋke
child: kow
child: lïmenënkorëkonan
child: lɪmenənkʰoɹəkʰonan
chin: kʰasəpiːəmpʰ
cloud: kamplenče
cloud: kamplénche
cold: salʊkʰ
cold: saruk
crocodile: ayi
crocodile: ayi
dog: yuli
dog: yuri
dog: yuri
dog: yurí
dust: orantikʰas
ear: kʰeli
ear: kelí
ear: kukunam
ear: kukunam(p)
earth: nənkʰəɹʊmpʰ
earth: nənkʰəɹʊmpʰ
earth: nënkërump
eat: am-
eat: am-
egg: awang-k
egg: awaŋkʰ
egg: awng-k
egg: awŋk
excrement: munjar
eye: biangk
eye: biaŋkʰ tsɪtsɪŋkʰ
eye: sesen
eye: sïsïngk
eye: tsïtsïngk
father: kanu
fat (n.): iandläl
fat (n.): yandläl
feather: iambəlʊnkʰ
feather: yambë-lunk
fight: ndin
finger: bwiëmp
finger: bwiəmpʰ
fingernail: tuluk
fingernail: turuk
finger: nona-mp/nona-bar
finger: tʊlʊk ~ tʊrʊk
fire: aiyir
fire: ayïr
fire: ayɨr
fire: hai\il
fire: haiíl
fish: kʰontsai
fish: kontsál
foot: namangk
foot: namaŋkʰ
girl: nəmoaɹəkwenən
girl: nëmpárëkwenën
good: yabkárën
good: yabkʰarən
good: yapkaši
grass: yaunde
hair: wɔbɹi
hair: wobrí
hair: yawi
hand: nʊnkʰalo
hand: nunkalo
head: kʰaɹi
head: kali
head: kari
head: karí
hear: andɨ-
hear: andï-
heavy: wopitárëng
heavy: wopitarəŋ
he/she: mën
he/she: səkʰan
he/she: sëkané
hit: diː-
hit: dii-
house: kodl
house: kulil
house: kurë-r/kura-bar
house: kuril
house: kʰuril ~ kʰʊlil
I: am-
I: ami
I: ami
I: ami
kangaroo: yemb
knee: pɹampʰ
knee: përampankari
knee: pramp
leaf: nïmbëlámp
leaf: nïmpramp
leaf: nɨmbəlampʰ
leg: namangk
lip: antáno
long: kʰʊindɹəŋ
long: kulnd´rëng
louse: kurïr
louse: wakaraka
man: nanmaslan
man: nanmaslán
man: noranan
man: nora-nen/nora-m
meat: amdal
moon: mwil
moon: mwïl
mosquito: nanggun
mosquito: naŋgun
mosquito: nankwən
mother: kaye
mountain: bawi
mountain: bawi
mouth: antano
night: tʰapʰampʰ
night: tapámp
nose: wámbushu
nose: wambusu
not: tsïkampung
not: tsɪkʰampʊŋ
old: marilal
old: marilál
old: noɹənən
one: biangk
one: biankʰ
one: mbwia-
one: mbwia-
person: nora-nan
rain: mainʊ
rain: mainu
rain: manu
rat: mantoi
rat: mantói
rat: ora
road: aw
road: hau
road: hau
see: wasirikʰa
short: apɹmpʰ
short: aprëamp
skin: maŋgekʰ
skin: manggék
small: bapokʰo
small: bapóko
smoke: elapan
smoke: elapán
snake: uan
snake: wan
snake: wan
star: sungkwi
star: tʊŋgwi
star: túnggwí
stone: aurou
stone: oɹo
stone: oro
stone: oro
sun: sïnmalí
sun: sïnmari
sun: sɪnmali
they: mum
they two: men-emp
they: yibi
they: yibí
this: makʰale
this: makalé
thou: nëmi
thou: nïmi
thou: nɨmi
thou: yibi
three: -ram
tomorrow: kasïp
tomorrow: kʰasɪpʰ
tomorrow: namasïnïng
tongue: tʊbalanʊŋkʰ
tongue: tɨbulanɨŋk
tongue: tïbulanïngk
tongue: tubalanúngk
tooth: sëlank
tooth: səlankʰ
tooth: srangk
tooth: sraŋk
tree: iuan
tree: yuan
tree: yuwan
tree: yuwa-n/yuwa-ri
two: -ri
two: ʊsɪm
two: usïm
walk: wa-
walk: wa-
warm: aleyakʰɨn
wash: tuku-
water: alum
water: alum ~ arum
water: arïm
water: arɨm
water: arum
water: arum
we two: k-ë-pi
we two: k-ï-pi
we two: yipïngk
we: yi-pi
we: yipʰi
we: yi-pí
wind: pari
wind: pari
wing: nïmpu
wing: nɨmpu
woman: nʊmänən
woman: nɨmenan
woman: nu´mänën
yes: ai
yes: ai
yesterday: namanshinïn
yesterday: namanšinɨn
yesterday: namasïnïng
yesterday: namasɨnɨŋ
you two: kë-bwi
you two: kï-bwi
you: yi-bí
you: yi-bwi
