all: [kada]
and: daw
animal: ayəp
ashes: abu
back: tudtud
bad: laʔin
bark: laŋgit
because: tak
belly: tu’ŋul
bird: yupan
bite: maŋagat
black: mi\təm
blood: Iəŋəs’sa
blow: əyəp
bone: bəkkəg
breast: susu
breathe: gina’wa
burn: sunugun
child: bataʔ
cloud: paŋanud
cold: bugnaw
come: iliŋ
correct: igu
count: bilaŋ
cut: uturon
die: pa\tay
dig: kutkut
dirty: buliŋ
dog: ayam
drink: inəm
dry: mara
dull: mabəl
dust: yabʔuk
ear: taliŋa
earth: ba’sak
egg: tallug
egg: tallug
empty: ula ugsak
eye: mata
fall: ulug
far: madyu
father: amay
fat (n.): [mantika]
fear: adlək
few: ti’səʔ
fingernail: sulu
fire: apuy
fish: siddaʔ
five: lima
float: luttaw
flower: bulak
flow: ilig
fly (v.): la\yug
fog: ambun
foot: bati’ʔis
forest: ka-gulaŋ-an
four: appat
frog: paŋkaʔ
fruit: [prutas]
full: pannu
give: atag
good: miad
grass: lamu\nun
green: [grin]
guts: bituka
guts: bituka
hair: buuk
hand: lima
head: ulu
hear: ma\ti
heart: tagipusu’ʔun
heavy: bəgʔat
he: kanən
hit: lagpi
horn: suŋay
how: inu paʔagi
hunt: ayam
husband: sawa
I: a
ice: [yüu]
if: daw
in: naʔan ta səlləd
kill: pa\tay
knee: bu’ʔul
know: mlaman
lake: [lik]
large: bakəd
laugh: tawa
leaf: daun
left: wala
lie: nəgga?
live: bu\iʔ
liver: atay
long: mlaŋkaw
louse: kutu
man: mama
many: tama
meat: sapu
moon: bulan
mother: inay
mountain: bukid
mouth: baʔbaʔ
name: ŋaran
narrow: kitid
near: dani
neck: liʔəg
new: bagʔu
night: kibəm
nose: iruŋ
old: manakəmэn
one: isya
person: ittaw
play: ampaŋ
pull: bətəŋ
push: tulud
rain: uran
red: minug
right: tu\ʔi
river: su\baʔ
road: dalan
root: gamut
rope: kalat
rotten: bulʔuk
round: lisən
rub: [trapuan]
salt: a’sin
sand: pantad
say: ambal
sea: dagat
sea: dagat
seed: lisu
sew: manaiʔ
sharp: taləm
short: li\puʔ
sing: manta
sit: muŋku
skin: laŋgit
sky: laŋit
sleep: munuga
small: tisəʔ
smell: siŋŋu’tan
smoke: a’su
smooth: danləg
snake: bəkəs’san
some: pila bu’ʔuk
spit: iləb
split: biʔak
stab: bunuʔon
stand: mindəg
star: bitu’ʔun
stick: suŋkud
suck: səpsəp
sun: adlaw
tail: ikug
they: danən
thick: dakməl
think: [pikir]
thin: nipis
thou: ka
thou: kaw
three: tallu
throw: la\byug
tie: igu\tan
tongue: dilaʔ
tooth: ŋipən
tree: kauy
turn: bliskaren
two: darawa
vomit: suka
warm: pasuʔ
wet: ba’saʔ
what: anu
when: kanʔu
which: inu
white: pu’ti
who: kinu
why: manʔu
wide: mlapad
wife: sawa
wind: aŋin
wing: pakpak
woman: bai
worm: lulagu
wrong: salaʔ
year: taʔun
yellow: dilaw
