all: derrig
ashes: juq\
bark: kewstig
belly: čuo
big: doqqa
bird: olχazar
bite: joχka
black: ʕӓrža
blood: ċij
bone: dӓʕaχk
breast: naqa
burn tr.: dago
claw (nail: mʕara
cloud: marχa
cold: šijla
come: dan
die: dala
dog: žʕӓla
drink: mijla
dry: deʠa
ear: lerg
earth: latta
earth: moχk
eat: jaʔa
egg: hoa
eye: bʕӓrg
far: genara
fat n.: moħ
feather: pelag
fire: ċe
fish: ḉara
fly v.: lela
foot: kog
full: d\fczna
give: dala
good: dika
green: bӓccara
hair: čo
hand: k\fcg
head: korta
heart: dog
hear: χaza
heavy: d-eza
horn: kur
horn: maʕa
I: so
kill: den
knee: gola
know: χaʔa
leaf: ʁa
lie: ʕilla
liver: doʕaχ
long: deχa
louse: meza
man: stag
many: duqa
meat: žižig
moon: butt
mountain: lam
mouth: baga
name: ċe
near: gergara
neck: vorta
new: ċina
night: b\fcjsa
nose: mara
not: ca
one: cħaʔ
person: stag
rain: doʁa
red: ċen
road: neʠ
root: oram
round: gorga
salt: t\fcχa
sand: ʁum
say: len
seed: hu
see: gan
short: d-ōca
sit: ʕen
sit: χaʔa
skin: ċoka
sleep: jan
small: žima
smoke: ḳur
snake: lӓħa
stand: latta
star: seda
stone: qera
sun: malχ
swim: dan
tail: ċoga
that: dʕora
thin: d-uṭʠa
this: hara
this: i(-za)
thou: ħo
tongue: mott
tooth: cerg
tree: ditt
two: šiʔ
walk (go): daχa
warm: mela
water: χi
we: tχo
we: vaj
what: hun
white: ḳajn
who: mila
wind: moχ
woman: zuda
worm: nʕӓna
year: šo
yellow: moža
