all: mâhe-
and: naa
animal: hova
ashes: paa\e
back: ma\pa\o
bad: Ehavêseva\e.
bark: hetone\ke
because: tsehve\-
belly: matonêše
big: Etâhpe\o.
bird: ve\kese
bite: Eahanomoho.
black: Emo\ôhtavo.
blood: ma\e
bone: he\ko
breast: matanane
breathe: Eomotome.
burn: Eexo\ase.
child: ka\êškone
cloud: vo\e
cold: Etoneto.
come: Eho\ehne.
count: Ehoestone.
cut: Etsêhetâsoho.
day: eše
die: Enaa\e.
dig: Emenôhene.
dirty: Eho\soto.
dog: oeškese
drink: Emane.
dry: Eo\o.
dull: Enêxahpo
dust: heše\ke
ear: mâhtovoo\ôtse
earth: ho\e
eat: Emesehe.
egg: vovôtse
eye: ma\exa
far: haa\êše
father: neho\eehe
fat (n.): vetšêške
fear: Ee\tohtahe.
feather: mee\e
few: tôhkomo
fight: Emeoto.
fingernail: mâhtoohevo
fire: ho\esta
fish: noma\he
five: noho
float: Eamoe\o.
flow: Eame\sevo.
flower: vehpôtse
fly (v.): Eame\ha.
fog: ma\eno enêhpoese
four: neve
full: Eo\otomo\ena.
give: Emea\e.
good: Epeva\e.
grass: mo\e\êstse
green: Ehoxo\ôhtsevo.
guts: ve\keonešêstse
hair: me\ko
hand: ma\ahtse
head: me\ko
hear: Enestomone.
heart: hesta
heavy: Ehaanano.
he: e-
here: tsêheohe
hit: Eoomoho.
hold: Etoenoho.
horn: vevêstse
how: tonêše-
hunt: Eemôhone.
husband: Ehe\hevohta.
husband: matsenoono
husband: tsevestoemose
ice: ma\ome
if: mâhve\-
I: na-
kill: Ena\hoho.
knee: manêstane
know: Ehene\ena.
laugh: Ehohatse.
leaf: vehpôtse
left: henamosesto
leg: mâhtse\ko
lie: Ešeeše.
live: Eametanene.
live: Evo\êstaneheve.
liver: he\e
long: Ehaa\eso.
louse: mâhtaeme
man: hetane
many: haesto
meat: ho\evohkôtse
moon: taa\eeše\he
mother: nahko\oeehe
mouth: mahtse
name: vehestôtse
near: a\e
neck: he\ôtse
new: Emona\e.
night: taa\e
nose: ma\evo
not: saa-
not: sáa-
not: xxx
old: Eena\he.
one: na\êstse
other: Eneta\e.
person: vo\êstane
play: Eevo\soo\e.
pull: Eheseetoho.
rain: Ehoo\koho.
red: Ema\o.
right: hestseamaxesto
river: o\he\e
road: meo\o
root: hesotseve
rope: heevaho
rotten: Ehoxeotse.
round: Eonestahko.
salt: vohpoma\ôhtse
sand: heseovo\e
say: Ehevoo\o.
see: Evoosane.
sew: Ehahpeno\e.
short: Ekâhkono.
short: Etšêhe\kêstahe.
sing: Enemene.
sit: Eamonoo\e.
skin: vôhta\se
sleep: Enaootse.
small: Etšêške\o.
smell: Ematone.
smoke: veno\taeše
smooth: Eheso\xo.
snake: še\šenovôtse
snow: hesta\se
some: hosêstse
spit: Eestova.
spit: Eoese\hana.
split: Eo\xeotse.
stab: Eovane\eoestôhnoho.
stand: Enee\e.
star: hotohke
stick: kamaxe
stone: ho\honaa\e
straight: Exanovo.
sun: eše\he
swim: Etoo\hame.
swim: Etoo\hame.
tail: heheva\xe
that: ha\tohe
there: nêheohe
they: e- ... o\o
thick: Etonoto
think: Eoo\hetano.
this: he\tohe
thou: ne-
three: na\he
tie: Etoo\toho.
tongue: vetanove
tooth: vee\êse
tree: hoohtsêstse
two: neše
vomit: Eheheotseotse.
walk: Eamehne.
warm: Eexovo.
wash: Enêše\hanene.
water: mahpe
we: na- ... me
we: na- ... me
we: ne- ... ma
wet: Ehe\koova.
we: xxx
what: henova\e
when: tone\še
where: tosa\e
white: Evo\komo.
who: nevaahe
wide: Ehaahpe\eotse.
wide: Etonovo.
wife: tsevestoemose
wind: Ehaa\ha.
woman: he\e
year: aa\e
yellow: Eheovo.
you: ne- ... me
