all: zi-w-zi-w
ashes: Ļ:ē
bark: q:al
belly: χ:inta
big: gošha-b
bird: ḉor
bite: ʠ:an-
black: -eḉaṭu-b
blood: ē
bone: jaĻ:il
breast: čeča
burn tr.: ċah-
claw(nail): λum
cloud: eʔa
cold: saw
come: -iʔi-/-ī-
die: -iḉa-
dog: χʷaj
drink: χed-
dry: -eʠ:u-b
ear: anna
earth: ũs:
eat: ikʷn-
eat: od-
egg: ḉaḉã
eye: haḉa
far: ṣidʷ
fat n.: λan
feather: čā
fire: ċā
fish: χʷam
fly v.: -eta-
foot: ʁab
full: -iċidda
give: gu-d-
good: hō-b
green: besiƛ:
hair: čā
hair: miḉa
hand: jela
head: un
heart: jaḳʷa
hear: woλa-
heavy: baḳuḳa-b
horn: ḉam
I: dī̃
kill: -iḉal-
knee: nikʷal
know: -eχʷ-
know: iʔ-
leaf: apal
lie: garad-
liver: aƛ:
liver: jelaƛ:
long: -eχ:ila-b
louse: naṣ
man: heḳʷa
many: -eʁʷ
meat: jiĻ:
moon: boṣ
mountain: jeʠ:a
mouth: el-miṣ
name: ṣē
near: esbaq:e
neck: ǯajƛ:
new: ċĩʷ
night: jeλa
nose: maj
not: -i:
one: se-b
rain: ṣā
red: eʔu-b
road: miʠ:
root: heĻ:im
round: χ:aradda
salt: ṣā̃
sand: kus:
say: -iĻ:i-
seed: hū̃
see: haʔ-
short: -ašaḳu-b
sit: -ut-
skin: χoša
sleep: Ļ:iχã-
small: miḳu-b
smoke: s:ur
snake: beča
stand: -ʁi-
stand: -iṣ-
star: ṣā
stone: hĩċa
sun: miλ
tail: miʁa
that: u-da-
that: u-da-
thin: -ela-b
this: o-
thou: mī
tongue: miṣ
tooth: salʷ
tree: ʷoha
two: eḉida
walk (go): -na-
walk (go): -uƛ:-la
warm: ãs:a-b
water: λ:ī̃
we (excl.): is:i
we (incl.): iƛ:i
what: ed
white: haċa-b
who: im
wind: muš
woman: haṣ
worm: beča
year: jehĩ
yellow: ašu-b
