all: wukkoː
ashes: bɪnda
belly: karas
big: meːsa
black: kartaː
breast: d\ama
burn: ets
claw: tsungaː
come: v˗
die: ay˗
dog: kanaː
drink: uš˗
ear: aytse
eat: ma˗
egg: molaː
eye: a(y)fe
father: bab˗i
fire: tam˗a
fish: mulaː
foot: taːj
give: im˗
good: ontsaː
hair: kusnaː
hand: kučč˗aː
head: toy
hear: (h)ayd\˗
horn: uša
I: takkaː
kill: (w)od˗
know: ar˗
man: asaː
meat: ačč˗a
moon: agin˗a
mountain: dera
mouth: døn˗ä
neck: qit\t\˗ä
one: issaː
rain: ira
road: boq˗ä
say: (y)iz˗
see: be(ʔ)˗
sit: kot˗it
smoke: dodä
snake: šøšä
star: tsolin˗tä
stone: sušč˗ä
sun: aw˗ä
this: naz(i)
thou: neː
three: kezaː
tooth: ač
tree: mit(sä)
two: nantä
walk: (h)am˗
water: (h)ats˗ä
weep: yef
what: ank
white: dalaː
who: oːneː
woman: maš˗na
you: inte˗
