all: kakiyaw
and: mina
animal: pijiskiw
ashes: pihkkowa
back: otak
bad: match-
bark: wayakesk
because: tchikena
belly: matay
big: ispisiw-
bird: piyesis
bite: takkwamew
black: kaskitesiw
blood: mikkow
blow: makkatamow
bone: kinusewigan
breast: maskigan
breathe: yeyew
burn: ksiswew
child: awdsis
cold: takkisiw
come: pe-ittutew
correct: missawihew
count: masinahikewin
cut: maniswew
day: kijikaw
die: nipiw
dirty: matchikonds
dog: atim
drink: minikkwewipuy
dry: pasuw
dull: papetchiw
ear: mittawakay
earth: askiy
eat: mitjisuw
egg: wawi
eye: miskijik
father: ottawimaw
fat (n.): wiyinaw
fear: kusiwewin
feather: mikwan
few: pakkegin
fight: kakwe-
fingernail: miksasiy
fire: iskutew
fish: kinusew
five: niyanan
float: pimapokow
flower: wabikwanew
fly (v.): ?
fog: kaskawanipestaw
foot: misit
forest: sakaw
four: newo
freeze: akwatchiu
fruit: minis
full: zakaskinew
give: mekiw
good: miyosiw
grass: maskusiy
green: askittakusiw-
guts: otakisiya. otatamiyawa
hair: mestakay
hand: mitchishiy
head: mistikwan
hear: pettawew
heart: miteh
heavy: kosikwatiw
here: ota
hit: pakamahikewin, maniswew
hold: mitjiminew, mitji-
horn: eskan
how: tanisi
hunt: matjiwin
husband: nabem
ice: miskwamiy
if: kispin
I: ni
kill: nipiwin
knee: mithcikwan
know: kiskeyittamowin
lake: sokahigan
laugh: pappiw
leaf: nipiy
leg: miskat
lie: ayowebiwin
live: pimdtsiw
liver: oskun
man: ayisiyiniw
many: naspitch
meat: wiyas
moon: tipiskawi-pisim
mother: kawiy
mountain: watjiy
mouth: miton
narrow: sakawasiw
near: tehiki
neck: mikweyaw
new: kitwam, kawi
night: tibiskaw
nose: miskiwan
old: kisyiniw
one: peyak
other: kutak-
person: awiyak
play: metawew
pull: otabew-
push: yakkinew
rain: kimiwanabuy
red: mikkusiw-
right: kwayaskusiw
river: misi-sipiy
road: meskanaw
root: otjebik
rope: pisagandbiy
round: wawiyesiw
salt: siwittagan
sand: iyekaw
say: itwew
scratch: kekatch
sea: kitchigamiy
seed: minis
see: wabiw
sew: kaskikwasuw
short: timisisiw
sing: nikamuw
skin: pakkegin
sky: kitchi-kijite
sleep: nipaw
small: apisissiw
smell: miyattamowin
smoke: kaskabattowin
snake: misikinebik
snow: kona
some: atit
spit: sikkuw
split: taskiswew
squeeze: nanilkkihew
star: acahkos
stick: mistik
stone: asiniy
straight: kwayaskusiw
suck: otamew
sun: kisika, wipisin
swim: kapasimo, pakasimo
tail: misuy
that: ana, anima
there: ote, ite, ekote
thick: kispakisiw
think: iteyittam
thin: papakisisiw
this: awa
three: nisto
throw: pakitchiwebinew
tie: takkupitew
tongue: miteyaniy
tooth: mipit
tree: mistik
turn: kweskinew
two: niso
vomit: pakamow
walk: pimottew
warm: kisastew
wash: kisipekinikew
water: nipiy
we: niyan, niyanan
wet: miyimawisiw
what: kekwan
when: taispi
where: tanite
white: wabiskisiw-
who: awena
wide: ayakaskisiw
wife: wikimew
wind: ottin
wing: mittatakwan
wipe: kassihwew
with: astiji-
woman: iskwew
worm: mottew
year: askiy
yellow: osawisiw-
you: kiyawaw-
