all: himah-ˀa
ashes: joˑkon
belly: hutˑu
big: wetre-šmin
bird: muˑšik
bite: kasˑe
black: natka-
blood: patʲˑan
bone: ̣ṭatʲˑi
breast: mus
burn: ˀilˑo-n
cloud: mečke-
cold: tursi
come: waˑte
die: semˑo-n
dog: huček-niš
drink: ˀukˑi-ši
dry: čorko-n
ear: ˀoˑčo
earth: pire
eat: ˀamˑa
egg: motˑeh
eye: hi(ˑ)n
fat (n.): sakˑer
feather: sipˑos
fingernail: tuˑriš
fire: sotˑow
fish: huˑji
fly (v.): humˑu-n
foot: koro
full: laˑsu-n
give: hara
good: mište
green: čutku
hair: ṭap
hand: ˀisˑu
head: moˑhel
hear: namti
heart: ruˑtʲuj
horn: čiˑri(h)
I: kaˑn
kill: liˑki
knee: toˑlos
know: hinsu
leaf: marah
lie: ˀipli
liver: sire
long: lajṭa-šte
louse: kahˑaj
man: ṭaˑres
many: tolˑon
meat: toˑṭe
moon: ṭa(ˑ)r
mountain: hutʲˑa
mouth: haj
name: raˑkat
neck: horkos
new: ˀitˑas
night: muruṭ
nose: hu(ˑ)s
not: ˀekwe
one: hemeč-ˀa
person: ˀama
rain: ˀamne
red: ṭasku-hmin
road: ˀinˑu(h)
root: hiˑkoṭ
sand: wiˑs
say: kuwa
see: mehe
sit: ṭawra
skin: patˑah
sleep: ˀeṭˑe
small: kuˑtʲi-
smoke: kaˑres
stand: ličˑej-pu
star: pakrar-wa
stone: ˀirek
sun: hismen
tail: tuˑpuj
that: piˑna
this: nepˑe
thou: men
tongue: lasˑe(h)
tooth: sit
tree: tapˑur
two: ˀuṭhin
walk: hinˑe
warm: mušˑi-n
water: siˑ
we: makˑe
what: hinṭis
white: čupka
who: hatˑe
woman: mukur-ma
yellow: tcirti
