all: ʔakkale
animal: d̪aßi
animal: míŋkî
ankle: goŋgóntl\òni
ankle: mukúmpilo
arm: miggi
arrow: hàːɗò
ashes: ʔißu
bad: mbíːt̪è
bark: pak\o
belly: ɓagama
belly: mani
belly: mani
big: gaːno
bird: ɦed̪d̪iße
bite: gwat\˗
bite: k\aɦ˗
bitter: k\áraːre
black: himmat̪e
blood: ɗiːga
blood: sako
blow: uːf˗
bone: mitlo
boy: ɓoːreːte
branch: ʔunt\a
breast: ǀok\ːe
breast: ǀoːne
breast: óːnè
burn: ɬah˗
burn: guß˗
burn: kok˗
calf: kónkoːlo
cheek: k\ußa
chest: ɓagama
chest: ɓúːßa
child: gwitsta
chin: gák\ane
chin: ŋgátàni
claw: tsolo
cloud: winku
cold: t\okkoːme
come: haʕ˗
count: ßalaːð˗
crocodile: čâ˗čè
cut: kur˗
cut: sar˗
die: dzàːʔe
die: tsaːʔ˗
dog: naʕeːt̪e
drink: maʔaw˗
dry: baʔama
dust: ɓurune
dust: iteri
ear: ʔagaǯǯo
earth: wonko
eat: ʕag˗
egg: ʕegoːe
elbow: t\èːðè
eye: ʔila
fall: lut̪t̪ukum˗
far: hoːni
father: ɓaba
fat (n.): ʔaɬi
feather: lippa
feather: rad̪ane
finger: ⁿdódi
fingernail: tsoːle
fire: ʔeːga
fish: mbalaße
fish: ǯárißo
five: d̪áwàt̪ɫè
flower: uluße
fly (n.): hint̪ot̪e
fly (v.): koːl˗
fog: mant̪óːro
foot: d̪akaʕa
foot: gimp\o
forehead: sùma
forest: nǀaßa
four: sàʕálà
full: ɓukul˗
full: ǀoːk˗
girl: téːlà
give: heːʔ˗
give: kaːʔið
good: wine
grass: t̪áːmi
green: nuːrat̪e
guts: d̪ùːra
guts: mani
hair: gínaːnda
hair: t\at̪a
hand: daßa
hand: t̪unt̪uma
head: ʕani
hear: ʔečt̪it̪˗
heart: muna
heavy: hiɗaːðe
he/she: ʔíðì
he/she: ita
he/she: ˗siʔ˗
he/she: ˗suʔ˗
he/she: ʔúðù
he/she: ukwa
hole: ɓóːku
horn: tumpo
house: mini
hunt: gußaːl˗
husband: ɦaːǯo
I: ʔáɲi
I: ˗ʔits˗
kill: ɓah˗
kill: dzeʔeð˗
knee: gilli
know: bar˗
know: ʔeleǯ˗
know: hußat̪˗
lake: tláːʔa
leaf: ɬaßune
leg: d̪akaʕa
lie: bom˗
lightning: ɓiríkina
liver: makko
long: rúːmàt̪è
louse: ʔit̪t̪oni
man: ħaːǯo
many: kaʕime
meat: daßi
moon: hage
mother: yáːyo
mountain: gipe
mountain: gipe
mountain: guʕi
mouth: afo
name: saːre
navel: yukku
near: haː\iða
neck: ɗaːʕeːro
neck: kʔokʔo
new: mpia
night: hiːma
night: ǀʷiɲi
one: wàt̪ːúkwè
other: wat̪t̪e
person: guħo
rain: maʔa
red: tsi\íràːràʔè
river: sòːni
road: leː
root: d̪ara
root: murunge
rotten: p\oʔat̪e
round: kiringeriːŋga
rub: nyuːk\˗
rub: ˗siki
salt: saːlánkwa
sand: ⁿdoːʕi
say: ǯoːm˗
scratch: ʔant\˗
sea: ɓádto
seed: mbeːǯu
see: waħ˗
sew: hud̪
sew: ʕur˗
sharp: ɬakane
shoulder: d̪oːro
sing: soːʔ˗
sit: gwaɦ˗
skin: gine
skin: gino
sleep: bom˗
sleep: giːt̪˗
sleep: had̪d̪úra
small: ʔaːmina
smoke: t\oggwa
snake: gàßé
snake: gàwe
snake: wakːa
spit: ǀʷaːɲi
spit: ʕeʕeð
stand: saː¶˗
star: ǀɛ\ŋkìlì
star: nǀkiliʕe
stone: mawe(ːt̪e)
sun: ʔad̪o
sweet: nala(h)
tail: rik\e
they: ˗ʔiɲiʔ˗
they: ʔùmːámù
thick: nyíʕaːnyiʕe
think: mamiːt̪
this: ukwa
thou: ʔáːtà
thou: ʔat̪t̪a
three: k\àßà
throat: k\òk\o
throw: ʕat̪t̪ah˗
thunder: ɗiɗima
tomorrow: hiːmane
tongue: ʕeːna
tooth: kalat̪t̪i
tree: k\oro
two: líːmà
vagina: mbéne
vagina: nínka
vomit: mant̪aɦ˗
walk: ǀéani
walk: roʔ˗
wash: kw\aːt\˗
wash: paːħ
water: maʔa
we: ɲá̀ɲì
weep: ʔilíma
we: ˗ɲiʔ˗
wet: maʔʔaǯaːǯe
what: maka
when: makaɓara
white: k\uːħuma
who: ǯiko
wind: gàt\à
wind: ǯúːfume
wing: rad̪d̪e
woman: nat\a
yellow: ǀaːmuːt̪e
yesterday: ¶ammosúma
you: ʔàtːà
you: ˗kunuʔ˗
