ashes: (ti-)son
belly: une
big: sokwote
bird: du
blood: era-ne
bone: bar
breast: mom
burn: denu-foron
cloud: wainis
come: mesnafrutie
die: mes-tiren
drink: toh na-terbere
ear: yure
eat: demtunbr(e)f
egg: sui
eye: nuoh
fat (n.): tuon
feather: safe-ne
fingernail: tefa-utum
fire: cenir
fish: orke
five: afonbar
five: fafonafonbar
fly (n.): nimber
four: nuwer komonda-nuwer
full: ümeseurte
good: yekekiene
green: tiare
hair: dbar-safe
hair: safe-ne
hand: tefa
head: de-baar
head: ubar
hear: sar
he/she: yeskorber
I: ayatkwin
knee: samu-n
leaf: are-ne
leg: tu:f
man: angkwo
many: duasmer
meat: matannin
moon: fan
mosquito: tsan
mountain: teren
mouth: mif
neck: murane
new: ibreme
night: okwen
nose: mase
one: danfenene
rain: ado
red: bir-bire
road: dumsefure
road: nesfure
root: terane
sand: duis
see: -domere
seed: takane
sit: demnakuin
skin: tifi-ne
smoke: nunka
snake: us
star: maton
stone: ter
sun: kwoaker
swim: neman-jankir
tail: nankere
that: iskwar
this: akekwin
this: diakekwin
thou: dadebekwin
three: nouwet-nandene
tooth: u:r
tree: ti-bur
two: nuwedam
walk: naur
water: foh
weep: domafitiktan
who: nanses (k)aba
wind: kwe
wind: kwoi
woman: wui
yellow: ukeskire
