all: sasawa
and: ama
and: ama
animal: yaŋ
arm: mari
ashes: defe
ashes: hama
ashes: hama
back: nade-
back: nade-
bark: seber
belly: kera-
belly: kera-
big: kuneng
big: kuneŋ
bird: neng
bird: neŋ
bite: ki-
bite: ki-
black: dzadzu
black: dzadzu
blood: sawa
blood: sawa
blow: fifi-
blow: fifi-
bone: sir
bone: sir-
bone: sir-
breast: namu
breast: namu-
breast: namu-
breathe: naka-
breathe: naka-
brother: dae
brother: dar-
brother: dar-
burn: dza-
burn: dza-
burn: dze
claw: bong-
claw: boŋ-
cloud: kurumeng
cloud: kurumeŋ
cold: motenga
cold: moteŋa
come: ere-
come: ere-
count: âso-
count: ɑso-
cut: herege-
cut: herege-
die: home-
die: home-
dig: usu-
dig: usu-
dog: kasi
dog: kasi
dog: kasi
dry: kereng-
dry: kereŋ-
dust: wondok
dust: wondok
ear: hedza-
ear: hedza-
ear: kedzaʔ
earth: bangek
earth: baŋek
eat: ne
eat: ne-
eat: ne-
eye: kiwa-
eye: kiwa-
fall: ma-
fall: ma-
father: mam-
father: mam-
fat (n.): wokemang-
fat (n.): wokemaŋ-
fingernail: sori
fire: gere
flower: ori-
flower: ori-
foot: hani
foot: hani-
foot: hani-
fruit: forak-
fruit: forak-
full: wake
full: wake-
full: wake-
give: nen-
give: nen-
good: gombunga
good: gombuŋa
green: ârângbârik
green: ɑrɑŋbɑrik
hair: dzoi
hair: dzowe-
hair: dzowe-
hand: mari
hand: mari-
head: fufu-
head: fufu-
head: fufuʔ
heart: woso hondung-
heart: woso honduŋ-
he/she: -a\
he/she: ye
he/she: ye
he/she: ye
hit: kpe-
hit: kpe-
hold: me-
hold: me-
how: dafi
how: dafi
I: ni
I: ni
I: ni
I: -ua
knee: fakurung-
knee: fakuruŋ
knee: fakuruŋ
know: negen-
know: negen-
lake: dzokong
lake: dzokoŋ
laugh: dzomore-
laugh: dzomore-
leaf: mari
leaf: mari-
leaf: mari-
left: kana
left: kana
leg: hani
long: herea
louse: yoming
louse: yomiŋ
louse: yomiŋ
man: ngik
man: ŋik
many: homak
many: homak
meat: fusi-
meat: fusi-
moon: afo
moon: afo
moon: afo
mother: nenggak-
mother: neŋgak-
mother: noŋgeʔ
mountain: tiki
mountain: tiki
mouth: enaʔ
name: kiwa
name: kiwa
name: kpar
neck: ube
neck: ube-
neck: ube-
new: gbori
new: gboria
new: gboria
night: tofonak
night: tofonak
nose: soge-
not: mi
not: mi
old: esea
old: esea
one: mokgu
one: mokgu
play: ariak
play: ariak-
pull: tae-
pull: tae-
push: tungge-
push: tuŋge-
rain: kia
rain: kia
rain: kia
red: sak sak
red: sak sak
right: foi
right: foi
road: sing
road: siŋ
road: siŋ
root: gode-
root: gode-
rope: witik
rope: witik
round: orâng
round: orɑŋ
sand: monggeng
sand: moŋgeŋ
sand: ziŋiŋ
say: de-
say: de-
say: mi
seed: hondung-
seed: honduŋ-
see: nen
see: nen-
sew: kpebi-
short: wedeʔ
short: wegen
short: wegen
sister: nawin
sister: nawing-
sister: nawiŋ-
sit: tak-
sit: tak-
skin: seber
skin: sebi-
skin: sebi-
sky: kurumeng
sky: kurumeŋ
sleep: fe-
sleep: fe-
small: kapia
small: kapia
smoke: hosuʔ
smoke: husuk
smoke: husuk
snake: bâidzok
snake: bɑidzok
some: go-
spit: sofoʔ
spit: sofok-
stand: nan-
stand: nan-
star: asomeŋ
star: bâping
star: bɑpiŋ
stick: gbaru
stone: hok
stone: hok
straight: sroŋa
suck: abere-
suck: abere-
sun: wenaʔ
sun: wonak
sun: wonak
swell: siwiŋ-
swell: siwinge-
tail: dzi-
tail: dzi-
that: yo
that: yo
there: edi
there: edi
they: -au
they two: -ao\
they: yeni
they: yeni
this: i
this: i
thou: ge
thou: ge
thou: ge
thou: ŋe
thou: ŋeni
throw: wa-
throw: wa-
tie: dzege
tongue: nameng-
tongue: nameŋ-
tongue: nedzeraŋ
tooth: enaʔ
tooth: enar-
tooth: enar-
tree: ik
tree: ik
turn: meren-
turn: meren-
two: yohokang
two: yohokaŋ
vomit: urun-
warm: gerea
warm: gerek
warm: gerek
warm: hâronga
warm: hɑrona
wash: dzuak-
wash: dzuak-
water: doku
water: doku
water: doku
weep: kiak-
weep: kiak-
we: -ing
we: ne
we: nini
we: nini
we two: -i\
what: dafi
what: dafi
where: dahae
where: dahae
white: kongak
white: koŋak
who: mong
who: moŋ
wind: fiaŋ
wind: firang
wind: firaŋ
wing: kpegang-
wing: kpegaŋ
wing: kpegaŋ-
woman: ngak
woman: ŋak
wood: gbaru
worm: gbosu
yellow: dzagea
yellow: dzagea
you: -au
you: ngeni
you two: -ao\
