arm: yaga
arrow: uwiːn
ashes: didəbu
ashes: yuya
back: alagani
bad: mba
bark: atan
belly: namba-mun
belly: yèmba
big: kado
big: kalo
bird: bada
bird: bela
bird: bela
bird: bela
blood: amiyep
blood: miet
blood: mièt
blow: pubu
bone: abuò
bone: awak
breast: ami
cassowary: dambu
cheek: yawelim
chest: yèmènuàk
child: ondoa
cloud: mut-ikim
cold: tokwi ŋgit
come: me-
come: menaŋot
come: menawe
come: menawe
come: mene-
come: menemeda
daughter: abuni
day: ma
die: bukmè
dog: kwa
dog: kwa
dog: kwa
drink: dawak
dry: mbuk ~ munkwo
ear: nado
ear: nadoŋ
earth: arogò
earth: mok
earth: mok
earth: mòk
ear: yongëlo
eat: na-
eat: nenawe
eat: noŋ-
eat: noŋot
egg: au
egg: au
egg: au yakaŋ
egg: onde
egg: ´ondè
elbow: yagàmúngkut
emu: dambu
excrement: sáà
eye: aingewu
eye: ènggio
eye: eŋgio
eye: eŋgiːp
eye: nainge
father: abage
feather: bada-ti
fingernail: yagaŋkap
fire: kanu
fire: kuna
fire: kunu
fire: kunu
fire: kunu
five: emea
flower: anga (?) yawawè
flower: au
fly (n.): towon
fly (v.): (n)yot
fly (v.): patada apiŋot
foot: awagaya
foot: nawagaran
foot: nowak gati
four: anagiːme
fruit: au
fruit: biyau
girl: paniːndoa
give: aminggau
give: asagò
give: auwa
give: auwa
give: meŋ-o
good: mendik
good: məndik
good: mëndík
good: meniŋ
grass: ubëri
green: kai
hair: ari
hair: yakuli
hair: yakuli
hair: yakuli
hair: yakuli
hand: naka-ŋgati
head: nakapiyak
head: yagabuah
head: yagabuak
head: yagabúak
hear: aindem-o
hear: naduno-ye
heart: ankaka
heart: nakku
heavy: ngaro
he/she: ŋu
house: kò
husband: ambiː
husband: ŋo
I: nau
I: nau
I: no
I: nou
kangaroo: mgo
kill: otak
know: nedokme
leaf: asi
leaf: esi
leg: abuo
lightning: ènggèlè
lip: anotu
louse: nduː
louse: nduse
louse: wundu
man: ambiː
man: ŋo
man: ŋo
many: amburu
many: kalòsa
meat: ainyu
meat: angu
meat: anyu
moon: maŋelo
moon: mangëlò
mosquito: nggè
mother: ama
mountain: dum
mountain: duoe
mountain: ŋa
mountain: ngga
mouth: anotu
mouth: yëmulò
name: agatiene
name: aluŋ
name: gago
name: naka
nape: nenggògaak
neck: aŋgokowak
neck: nadongo-peke
neck: yongkòwak
night: damuk
not: mba
one: ama
one: yagaŋ
one: yakaŋ
person: aikin
person: ŋo
person: on
rain: tabi
rain: tabiː
river: bu
river: da
river: nagolɔ
road: dundak
road: mbo
root: angwok
root: apa
round: manik-manik waːde
salt: mayu
sand: ok
say: a-
say: atak-
see: aige kotak
seed: anye
seed: nye
see: korak
sit: tanawe
skin: aran
skin: aran
skin: asi
skin: asi
skin: atan
sleep: utawe
small: doa
small: ndowa
small: pue
smoke: alè
smoke: kaʔduk
smoke: kunagalè
snake: kwibagè
snake: wobit
stand: amitiyak
stone: (da)ŋat
stone: kabo
stone: ngga
stone: ŋga
sun: uweməɟa
sun: uwè mëdja
sun: uwe meǯa
sun: we
sun: weŋge
swim: ŋgumi atak
tail: asi
tail: asiwak
that: maniŋ
that: mong
there: mong
there: sigi
there: ugwani
they: ŋye
thick: ambu
this: ming
thou: aŋ
thou: aŋ
thou: yu
three: yuda
thunder: gamumu
tongue: yèlènalu
tooth: naŋkasa
tooth: yangkasa
tooth: yaŋkasa
tree: niye
tree: niːye
tree: niyè
two: diːŋiː
two: ugwaŋ
vagina: agòn
walk: apetak
walk: apetak
warm: akap
water: da
water: da
water: da
water: da
water: yat
water: yat
we: yu
we: yu
what: am
white: mbek
who: tak
wife: agon
wife: ǯiːn
woman: agon
woman: akine
woman: yin
woman: yinine
woman: ǯiːn
wood: kwi
wood: twi
yes: eak
