arm: or
ashes: ɛrʌp-mɛp
bark: merr-
bone: doruk
breast: mum
brother: tʌtɛ
burn: ɛrrup
dog: umʌt
ear: nʌm
eat: na
eye: dabəl
fingernail: ogutur
fire: ɛrrʌp
foot: iφʌφɔrr
full: toiwik
hair: gɔt
head: tʌnam
he/she: ow
I: nɛ
knee: imdəm
leaf: ŋgon-
leg: iφʌφɔrr
long: bunumʌŋ
louse: iməŋ
moon: dɛp
mother: mo
mouth: mor
name: maŋgi
neck: ŋgel
new: uruŋ
rain: agʌ
road: marrʌn
sand: numuŋ
say: diy
sister: wʌlie
skin: merr-
sleep: po
smoke: gəbi
spit: motim
star: biŋsarɔŋ
straight: utikŋiŋ
sun: ɔm
thou: duŋtu-muŋ
thou: gɛ
tie: sogu
tongue: mɛlɛ
tooth: mɛn
warm: wagiŋ
we: nu
wind: ŋarɛŋ
wing: pur
