all: də̀ɣínè
belly: xʷúɗe
big: sə̀gá
bird: ɗínɣe
black: lusá
blood: gʷzaʔá
bone: ɬaɬá
come: sáwa
die: ḿca
dog: ɣ́de
drink: xúta
ear: ɬɛmé
earth: xája
eat: wúza
egg: ɬə́le
eye: ńde
fire: kára
fish: kĺfe
five: ɮiɓé
foot: səgé
four: fiɗé
give: birbəgé
hand: də́vá
head: ɣré
hear: cə́na
he: ʃiré
here: maná
I: ɣiɣé
knee: gʷiɟé
know: cáma
long: cɛ̀ɓá
many: ɣ̩̀ɗá
man: zgʷné
moon: tíle
mouth: wúwe
name: jáxa
night: vəɗé
nose: xtiré
not: va
one: tékʷe
red: təvá
road: ɗúle
rope: záɓa
say: kʷará
see: nə́ɣa
skin: və́ɣe
sleep: xára
snake: ʃíʃe
stand: ɣilíɣíla
stone: kʷíre
sun: fíʧe
that: ne
they: təré
this: na
thou: kaɣá
three: xkré
tongue: rə́xe
tooth: ɬiré
tree: ʔufá
two: míʧe
water: jíwe
we: mdá
what: wí
when: dúwɛ
where: maɣɛ
white: máɗákʷa
who: wir
woman: niʃé
you: gʷré
