all: parɟaṇa
animal: ŋan̪t̪i
animal: ŋan̪t̪i
arm: ŋunʌ
arm: ŋuna
ashes: kaɲa
ashes: put̪ʌ
ashes: put̪a
back: kulrru
back: t̪uku
back: t̪uku
bad: maʎaɲɟi
bark: pici
bark: piɟi
belly: manda
belly: mʌnrrʌ
big: piṇa
big: pɪṇʌ
bird: paya
bird: pʌyʌ
bite: mat̪a-
bitter: kʌlrrɪ
black: maɹ̣u
black: mʌɹ̣u
blood: kumadi
blow: ŋaka-
bone: muku
bone: muku
boy: kanku
boy: kanku
boy: t̪aɹ̣i
breast: ɟilpi
breast: ŋama
breast: ŋʌmʌ
breathe: yäʊlʌ
brother: ŋat̪ata
brother: n̪iyi
brother: n̪iyi
burn: yapi-
burn: yarki-
calf: ŋuda
calf: t̪iʎɟa ~ ɟiʎɟa
cheek: ŋʌl̪ʌ
child: kupʌ
child: kupa
child: kupadu
cloud: paḷku
cold: kilpʌ
cold: kilpa
come: wakaɹ̣a-
correct: maḷaḷu
cut: ḍaka-
cut: ḍaka-
cut: ḍama-
dark: ŋalpudu
day: ḍiɟi
die: n̪ari
die: n̪ʌri
die: pali-
die: palipali-
die: pʌli
dig: paku-
dig: t̪uti-
dog: kin̪t̪ala
drink: t̪apa-
dry: muya
dry: mʊyʌ
dust: put̪udu
earth: mit̪ʌ
earth: mit̪a
earth: mit̪a
ear: t̪ʌlpʌ
eat: t̪ayi-
egg: kapi
egg: kʌpi
egg: kuri
eye: milki
face: mud̪ʌ
face: mul̪ʌ
face: mul̪a
fall: kuḍa-
fall: puri-
far: wadit̪a
father: ŋapiɹ̣i
fat (n.): maṇi
fear: yapa
feather: kuɟʌ
fight: t̪iri-
fight: t̪irri
finger: ŋʌḷki
fire: kʌɲʌ
fire: t̪udu
fish: padu
five: mandu mandu kuṇu
flower: t̪iwi
flower: t̪iwi
flow: ŋaka-
fly (n.): muɲɟu
fly (n.): muɲɟu
fly (v.): t̪ada-
fog: kunmi
foot: t̪ina
foot: t̪inʌ ~ t̪ɪdnʌ
forehead: ŋʌlki
four: mandu mandu
fruit: t̪ʌnrrʌ
full: t̪anda-
girl: mankada
give: yiŋki-
good: maɲu
good: ŋumu
good: ŋumu
grass: kan̪t̪a
green: kuʎakuʎa
hair: para
hair: pʌrʌ
hair: ɲuḍu
hand: mʌɹ̣ʌ
hand: maɹ̣a
head: maŋaɟanda
heart: ŋaɹ̣ʌ
heavy: maḍi
heavy: maḍi
here: n̪iŋki
here: n̪iŋki
he/she: n̪an̪a
he/she: n̪andu
he/she: n̪awu
he/she: n̪awu
he/she: n̪in̪a
he/she: n̪in̪a
he/she: n̪ʌn̪ʌ
he/she: n̪ʌni
he/she: n̪ʌu
he/she: n̪ʌu
he/she: n̪ulu
he/she: n̪ulu
hit: ḍanda-
hit: ṇanda-
hit: tɪʌṇʌ
hold: paḍa-
hold: pʌḍʌl
hole: kuḍu
hole: kuḍu
hole: miŋka
hole: minkʌ
hole: wiḷpa
house: puŋʌ
house: puŋa
how: waḍaɹ̣u
husband: n̪uwʌ
ice: puru
I: ŋan̪i
I: ŋat̪u
I: ŋʌn̪ʌ
kangaroo: ɟukudu
kill: ḍanda-
kill: ṇanda-
knee: paɲɟʌ
knee: paɲɟa
know: ŋuyama-
lake: pʌndu
laugh: kiŋka-
left: wadaŋaɲɟu
lie: t̪uraɹ̣a-
live: ŋama-
live: ŋʌmʌɪ
liver: kal̪u
liver: kʌl̪u
long: payidi
louse: ɲilpʌ
louse: kaɹ̣ʌ
louse: kata
louse: kʌtʌ
louse: n̪ilpa
many: marapu
meat: ŋan̪t̪i
meat: ŋʌnt̪i
meat: paḷku
moon: kuḍʌ
moon: piɹ̣ʌ
moon: piɹ̣a
morning: t̪aŋkut̪aŋkupaṇa
mosquito: kun̪t̪i
mosquito: kun̪t̪i
mother: ŋandi
mother: ŋʌnrri
mountain: maḍa
mountain: wʌnpʌ
mouth: maṇa
mouth: mʌṇʌ
name: ḍika-
name: t̪aḷa
name: t̪ʌḷʌ
narrow: wʊlrru
narrow: wuldu
navel: piḍʌ
near: kaɹ̣akaɹ̣a
neck: wakada
new: mada
new: mʌrrʌ
new: wʌkʌ
night: kalkawada
night: t̪inkʌ
night: t̪inka
not: wata
not: wʌtʌ
old: pinadu
old: wil̪a-pina
one: kuṇʌ
one: kuṇu
one: kuṇu
one: ŋupaɹ̣a
one: ŋupaɹ̣a
person: kaṇa
person: kʌṇʌ
play: pirki-
pull: paduma-
rain: t̪alaɹ̣a
rat: n̪ɪl̪i
rat: n̪ɪl̪i
red: madaʎi
right: ŋuɲaɹ̣i
ripe: panda
river: kaɹ̣idi
road: al̪t̪u
road: pal̪t̪u
rope: yinka
rotten: t̪uŋkʌ
salt: kaldi
salt: kʌlrri
say: yat̪a-
say: yat̪a-
scratch: muduwa
seed: pawa
seed: t̪anda
see: n̪ʌɪ
see: n̪ayi-
see: n̪ayi-
see: yɛniʌ
sew: karpa-
short: waḍu
short: wɒḍu
sing: waŋka-
sister: kaku
sister: kaku
sister: ŋat̪ata
sit: ŋama-
skin: ḍaḷa
skin: n̪ɪnti
skin: tʌḷʌ
sleep: mukʌ
sleep: muka
sleep: t̪uraɹ̣a-
small: waka
small: wʌkʌ
smell: kuḷi
smell: pan̪t̪a-
smoke: t̪upu
smoke: t̪upu
snake: wanku
snake: wɒmʌ
spit: kundukundu
spit: ŋʌʎɟʌ
spit: ŋaʎɟa
split: palka-
stone: maḍa
stone: mʌḍʌ
straight: t̪alku
straight: t̪ʌlku
sun: ḍiɟi
sun: tiɟi
tail: n̪uɹ̣ʌ
tail: n̪uɹ̣a
take: mama-
take: paḍaka-
there: n̪aka
there: n̪aka
there: n̪ʌkʌ
there: yaɟu
they: tan̪a
they: t̪anali
they: t̪anan̪a
they two: pul̪ʌ
they two: pulali
they two: pulan̪a
thick: wʌnrrʌ
thigh: mɪlʌ
thigh: t̪ara
thigh: t̪ʌrʌ
think: ŋunda-
thorn: tilkʌ
thou: yini
thou: yundu
thou: yura
thou: yuran̪a
three: parkulu
three: parkulu
throat: yarkaḷa
throw: wara-
tie: kada-
today: karaɹ̣i
today: kʌrʌɹ̣i
tomorrow: t̪aŋkupaṇa
tongue: t̪ʌḷi
tree: waṭa
turn: karɟi-
two: mandu
two: mandu
two: mʌnrru
unripe: kaṭi
unripe: pʊḍʌ
vagina: kiḷʌ
vagina: t̪anda
vomit: ŋuku
walk: kuḍiŋka-
walk: mindi-
walk: wapa-
walk: wapa-
wallaby: kantu
warm: t̪udut̪udu
warm: walda
warm: wɒlrrʌ
water: ŋapa
water: ŋʌpʌ
weep: yinda-
we (excl.): ŋayani
we (excl.): ŋʌɪʌni
we (incl.): ŋayana
we (incl.): ŋayanan̪a
we (incl.): ŋʌɪʌnʌ
we two (excl.): ŋalin̪a
we two (excl.): ŋʌli
we two (incl.): ŋalda
we two (incl.): ŋaldan̪a
we two (incl.): ŋʌlrrʌ
what: min̪a
what: mɪn̪ʌ
when: win̪t̪a
when: win̪t̪a
where: waḍayari
where: waḍayari
white: pʊḷu
white: wadu
white: wʌrru
who: waɹ̣an̪a
who: wʌḷi
wide: madu
wide: mʌrru
wife: n̪uwʌ
wind: wat̪aɹ̣a
woman: wil̪a
woman: wil̪ʌ ~ wɪd̪l̪ʌ
wood: piṭʌ
wood: piṭa
wood: piṭa
wood: pɪṭʌ
wood: t̪udu
yellow: kuʎakuʎa
yesterday: waldawiɟi
you two: ylua
you two: yulan̪a
you two: yunrru
