all: kʊll
ashes: bɪndo
back: gumb
bark: tɛngo
belly: č\ɛlay
belly: šiːne
big: gɛːd
bird: ɪbto
bite: gəʔo
black: ts\aːno
blood: maːkso
bone: k\ɔss
breast: ɪmmo
brother: ɪšme
burn: aːts
claw: gʊšš
cloud: č\iːč\
cold: k\ɛžɪn
come: sʷaːd
die: laːʔd\n
dog: kɛnno
drink: wʊːč\a
dry: wɔččum
ear: k\aːmmo
eat: ɛtso
egg: mɔllo
eye: aːppo
far: pegni
father: baːbe
fat (n.): kuʷšto
fire: nuːnu
fish: ɔːrro
fly (n.): kʊbzo
fly (v.): far
foot: doːto
forehead: balte
give: ɪmo
good: kəd\a
grass: šʊːnno
hair: bəndo
hand: aːno
head: mɛto
hear: k\aːmso
heart: bʊːd
horn: ʊššm
house: eho/eh/eː/ɪh
how: taki kaki
I: aːto
kill: deːso
knee: boːq
know: dɛːso
leaf: ɛrgo
liver: taːxto
long: gʊddumuʔ
louse: garso
louse: k\əs
man: aŋgi
man: eyyu
many: dɪldo
meat: wɔho
moon: ɛrpo
mountain: ɛːdo
mouth: ʔappo
name: nappo
near: kunǯisni
neck: ɛrʲsɔ
new: wɔːlʷo
night: gɛlt
one: ɔːkɛl
other: bal
other: wɔːb
rain: deːbo
red: zoːb
road: gəš
root: č\eːčo
sand: šaːyo
say: geːmo
seed: mɪššɪt
see: ɪngo
sit: daho
skin: biččo
sleep: naːxto
small: bɪddɪːk
smoke: č\uːbu
snake: gʊnno
stand: wɔːyo
star: beːz
stone: laːlo
sun: eːyo
sun: ɪyyo
swim: qoːqo
tail: gɔːlan
take: yetki kut
thin: tɔːngo
thou: yaːu
three: mɛkɛm
today: kena enni
tongue: eːdɪn
tooth: ɛːtso
tree: haːɣo
two: k\astɛn
walk: b˗
walk: tɪŋgo
walk: yiman
warm: soːləm
water: nəːɣo
weep: if
wet: ɛːyq
we: wɔːto
what: wɔyɔː
white: gɔːʲd\o
who: aːyɔ
woman: amzo
woman: mar
you: yɛtɔ
