all: bugmag
ankle: duŋuru
arm: muḷe
arm: yaŋal
ashes: ɟɔːl
back: bundälŋo
back: dilɟi
back: dilɟi
back: ŋarar
bad: ri\rgmiṇan
bark: ŋalan
belly: gulun
belly: gulun
big: ga\uŋ
bird: waran
bite: dalmiyan
bitter: rarigaryanan
black: duaran
blood: gulaŋ
blood: gulaŋ
blow: bainɟan
blow: waryin
bone: ŋaɹ̣aga
bone: ŋaṛaga
boy: buɟbuɟ
boy: yawurin
branch: gumbuwi
breathe: ŋaṛ\yan
brother: gulmaŋu
brother: wowag
burn: milgumɛ
burn: milgumi
butterfly: buṇba
cheek: ɟagal
chest: gubur
child: yuyɔŋ
chin: muṛe
cloud: wɔgoḍ
cold: ŋulbiɟ
come: garmi
correct: ɟunuba
crocodile: baṛɛ
cut: ɟaṛam
dark: gaṛamalug
daughter: moguḷg miälg
day: maṇŋa
day: yawur
die: burbiliyirag
die: lariyin
die: mulu\wani
dig: garman
dirty: mulɟalɲa
dog: ɟaɲar
drink: wuṛugan
dry: bɔ́riyɛ
ear: ganɟi
earth: mɔɟa
eat: -bin-
egg: mabu
egg: maibal
elbow: yiɟir
eye: mili
eye: mili
eye: mili barambar
eye: mili giriŋin
face: buge
fall: laryin
father: gunɟora
fat (n.): yärwe
fear: durian
fear: durian
feather: binbar
few: wuɟi ɲaraŋ
fight: banibarɟan
finger: gɔmbur
finger: nɔgɛ
fire: ɟoŋgɛ
fire: ɟɔŋgɛ
fish: gwiːya
fly (n.): bolgi
fly (n.): buḷgi
fly (v.): guryin
fog: gaːrain
foot: nɒge
forehead: bugo
forest: dɛlɟi
full: rariŋa
full: yän
girl: mariwi
girl: yuyuŋ
give: guburu-
good: bŭläŋgiɟ
grass: yäggi
green: mulɟälɲa
hair: baial
hand: gɔmbur
head: gungu
head: gungu
hear: geiŋur
hear: geiŋur
heart: ŋuṛumbur
heavy: mɔḍɔl
hit: bälbam
hold: gaiɟun
hole: rälgäl
house: bala
hunt: miṇgum
husband: gɒrɒŋ
I: ŋare
kangaroo: ŋarggo
kangaroo: ŋargo
kill: biban
knee: yiɟir
know: maṛŋgi
lake: nigaṛ
laugh: bararyiryir
leaf: wuŋul
left: wɛn\go
leg: yälggi
lie: ŋɔre
lightning: miḷggun
lip: rari ŋalan
liver: birila
live: walŋa
long: bamand\
long: ɟuläl
louse: mɛmɛ
man: yulŋi
man: yulŋi
many: wɔɟi
meat: ɟaŋgu
meat: daŋgu
moon: gaḷgei
moon: galgi
morning: muɲilgana
morning: ɟurlauwuru
mosquito: maːmin
mosquito: miṛgmiṛg
mountain: baggar ɟuläl
mountain: baggar ɟuläl
mouth: ɹ̣ari
mouth: rari
name: garal
nape: guṛag
navel: giṇiŋgar
near: gaḷgi
neck: guṛag
new: yuḍe
not: waba
old: ɟawalba
old: wuruŋu
one: wibani
other: wäibe
person: yulŋi
play: wagulŋur
rain: balmarg
rat: ɟiɟiɟimariŋ
red: miguṇan
right: ɟunubu
ripe: marŋe
river: baṇḍain
river: baṇḍain
road: ɟugur
root: ɟärbäl
rope: mandaṇ
rotten: barbaṇan
round: ɟagandambi
rub: ruwar\yan
sand: munaɟa
say: waŋe
scratch: raiɲirwuŋ
sea: doːgo
see: ɲame
seed: mɛlɛ
sharp: rarinan
short: dambi
shoulder: gurwili
sing: daṛ\daṛ\yun
sister: yäbbäg
sister: yabbäg
sit: ɲine
skin: gula
skin: gula\wanbam
sky: gaṛag
sleep: ŋurɛ
small: niːnin\
smell: an
smell: ɲum
smoke: malggɛ
smoke: mälggɛ
smooth: milir
snake: malägi
son: gunɟara
stand: ɟuwir\yan
star: girilig
star: maṛámaṛa
stone: baggar
stone: baggar
sun: ɟaɹ̣biɹ̣
sun: ɟäṛbiṛ
sweet: guṛiŋin
swim: wain\winɟan
tail: miṛaŋ
take: mangur
take: waːbbar
there: baiba
thigh: ɟärbbäl
think: guiŋi
thin: ŋararan
three: gulbur
throat: mani
throw: wanbuŋal
thunder: muriyin
today: ɟuwali
tomorrow: guɾar
tongue: ɟaliŋan
tongue: ɟäliŋaṇ
tooth: rirbal
tree: gurɟi
turn: buludmiyin
turn: wanɟin
two: mäldɟane
vomit: luriya\yan
walk: garmi
walk: yäragalal
wallaby: ŋargo
warm: rawagyir
wash: wa\aban
wash: woɾaban
water: gabi
water: gabi
weep: ŋayi
what: ɲame?
when: ɲeːyunug?
where: ɲawo
white: baṛyane
who: ɲaluŋ?
wife: ŋaɾggɛ
wind: ŋanda
wind: waḷggiɟiṛ
wing: binbar
woman: mialg
woman: miäḷg
woman: mungi
wood: ɟɔŋgɛ
wood: ṛawag
woomera: biṛgu
yellow: lili
