all: ɣɔːmaba
and: karrabba
and: wɛːba
animal: baraŋuɟa
ankle: labanabɔːṇa
arm: laɟa
arm: managurga
arm: maṇakkurrkka
arm: wanba
ashes: ɲarawarowara
ashes: ṛawuga
back: barabara
back: barabara
back: barabara
back: gulɛra barabara
bad: (b)bokka
bad: bɔːga
bad: bokka
bark: bamagaṇba
bark: maḍaḍa
belly: ɟalama
belly: ɟalema
belly: ɟanama
belly: ɟanama
big: barabara
big: baraːbara
big: barrabarra
bird: baraguɟa
bird: ɟurka
bite: ba
bite: ba
bite: ŋabugubaːla
bitter: gänbai
bitter: wariwara
black: ŋaɲoŋaɲa
black: ŋaɲoŋaɲa
black: ŋaɲoŋaɲo
blood: ganbiliːbala
blood: ganbiliːbala
blood: kaṇbilibala
blow: bäɲa
blow: lawala
bone: ida
bone: ida
bone: maḍaḍa
bone: nmaḍaḍa
boy: ɟaɹ̣wara
boy: garugaɟa
boy: kaɹ̣okaɟɟa
boy: laiɟguruŋu
branch: managurga
breast: kaloḷa
breathe: ɲɛːwa
breathe: ŋaiɲɛːwa
brother: ɟaːba
brother: ɟabba
brother: ganimaṛa
brother: kaḷamaɹ̣a
brother: ŋuraɹ̣akka
burn: ŋaɹ̣awa
burn: ŋabaraŋaya
burn: ŋaiyamarabulɔːya
burn: ŋaɟɔːraba
burn: warabu
butterfly: wɔŋɔl
butterfly: woŋoḷwoŋoḷ
calf: nagali-
calf: walaya
cheek: ɟaːla
cheek: ɹ̣eɲmaḷa
chest: ɟaramaya
chest: maṇabba
chest: manabu
child: garugoɟa
child: kaɹ̣okaɟɟa
chin: manimaɲa
cloud: kunŋaɟa
cloud: maṇaba
cloud: nmaṇabba
cold: ŋaɹ̣idda
cold: ŋayida
cold: yekke
come: balayiri
come: balo
come: ŋaiyibilira
correct: manɟad\
crocodile: ganbaia
crocodile: kalamomo
crocodile: kanbaya
crocodile: kumuken
cut: ɹ̣a
cut: koɲɟa
cut: ŋaiyagɔːnɟa
dark: wɛːgana
dark: wekkana
daughter: garugaɟa
day: ɟaɟiɛːra
day: ŋyɛɲɛl
die: gaiyuwɛːla
die: kaladɟar
die: maŋuya ŋaiyanibaia
die: -ɟuwa
die: ɟuwe
dig: baɣabiɲi
dig: bakabiɲi
dig: ŋai bagabiɲa
dirty: ɲabɔlaːra
dirty: ŋaɲoŋaɲa
dog: bárabaya
dog: barbaya
drink: ɟi
drink: ɟi
drink: ŋayaːɣai
dry: gagaːɟa
dry: kaɟa
dust: yulbbuɹ̣
ear: gala
ear: gala-
ear: kala
earth: kayala
earth: kayala
earth: wiːba
eat: ba
eat: ba
eat: mɛːn ŋaba
egg: barawura
egg: baruɹ̣a
egg: maɾaːdiba
egg: maḍaḍa
egg: yoːgara
elbow: banga
elbow: baṇka
emu: ɲanamaḷabbana
emu: ɲinamulaːbana
eye: dila
eye: dili
eye: diːli
eye: galaminɟara
eye: galaminɟara
face: ɟala ŋaranɟiya
face: maŋuya
fall: bo
fall: bo
fall: ŋaiyandiyarabu
far: karakariba
father: baba
father: babba
father: babba
fat (n.): kaɹ̣o
fat (n.): karo
fat (n.): ŋgaru
