all: tadok-hokon
arm: naliːru
arm: nambula
arm: neki
ashes: kade
ashes: kanum
ashes: wul
ashes: wul
ashes: wul
ashes: wul
back: iːnabot
back: namborowak
bad: weak
bark: oat
bark: o atdo
bark: ulagap
belly: al
belly: elaput
belly: nalubut
belly: naŋrum
belly: n-elaput
big: gok
big: kok
bird: sue
bird: sue
bird: tʊe
bird: tue
bite: lipit-danhe
black: midi
black: muli
blood: mep
blood: mep
blood: mep
bone: n-oak
bone: noaq
bone: oak
branch: taːbun
breast: iëak
breast: n-idak
breast: nuniːlak
burn: hali
calf: niːenuatmo
child: omeliːk
claw: egadit
cloud: o-hena
cloud: o-hena
cloud: pogot
cold: aǯeke
cold: lip-lip
cold: tokei
cold: tokei
come: eme
come: eme-
come: eme!
come: wasu-un
die: uasa
die: uasa
die: wat-laka
dig: yaːbu
dog: yege
dog: yeke
dog: yeŋke
drink: niːo
dry: buk
dry: pʊk
ear: asuk
ear: kaːru
ear: načuk
ear: naːruk
ear: n-asuk
earth: akat
earth: akat
earth: dom
earth: kweaŋ
eat: nan
eat: nan
egg: sue-ken
egg: (tʊe-)gen
egg: tue-gen
egg: weneken
eye: el-egen
eye: neil-eken
eye: n-el-egen
eye: ŋenugen
father: opase
fat (n.): amok
fat (n.): wamamok
fear: nayuk
feather: tʊe-si
feather: tue-si
feather: wareːlesi
finger: idimpuda
fingernail: esoxalip
fingernail: keliːp
fire: endu
fire: etu
fire: hetu
fire: hidu
fire: hɪtʊ
fire: wun
fish: made-polok
fly (n.): muloban
fly (v.): lekhak-hogo
fly (v.): lekhak-hogo
foot: esok
foot: n-esok
foot: niːenuraru
full: abem
give: wok-nom
give: wok-nom!
give: woʔnom
good: hano
good: hano
grass: tsiːluk
green: bima
hair: gaːriː
hair: nesi
hair: n-esi
hair: niːndiː
hand: egi
hand: n-egi
hand: negiː
head: ʊgʊl-oak
head: n-ugul-oak
head: nukul-oaq
hear: n-asuk holhi
hear: nasuk holho
heart: edai gen
heart: n-edai-gen
he/she: iːt
he/she: meke
house: podiːgoː
house: uma
house: waleŋga
I: an
I: an
I: an
I: an
I: meke
kill: wasin
kill: wasin!
knee: n-idipakel
knee: niːendubegan
know: ilu
know: n-ilu
leaf: ega
leaf: eka
leaf: tiŋgiː
leg: nesoq
lie: wil-asin!
lip: abe-elep
liver: n-asimokol
long: uwan
louse: n-api
louse: navi
louse: pɪ
louse: piːgiːt
man: ap
man: ap
many: dokolek
many: wene-etek
meat: ino
meat: ino
moon: tu(r)
moon: tut
mosquito: daːmiː
mosquito: laːmiː
mountain: dinkiː
mountain: dom
mouth: abe-elep
mouth: ambeː
mouth: ariŋeːniː
mouth: n-abe-elep
name: edaka
name: edeka
name: eraxe
name: etakiː
nape: niːenuwa
navel: namun
navel: n-amun
neck: aëogop-atëe
neck: n-adogop-atde
neck: niːeŋanoh
new: get
night: hipago
night: huvako
nose: n-akouwak-oak
not: dek
one: bagi-at
one: bagi-at
one: opake-at
person: ak-hʊnɪ
person: ak-huni
person: ap
rain: miso
rain: nuso
red: esiː
red: hulu-logwe
road: holak-adem
road: koak-aëem
road: lekeː
root: omagen
rope: kopiː
round: hubude-gen
round: hubuëegen
salt: iloe
salt: mayu
sand: dale
sand: dale
say: hande in
say: hane in!
seed: aɪ
seed: ai
see: ëik-han
see: heil-eken
see: hel-egen
see: hel-egen dik-han!
sit: huʔlame
sit: hutek-lasin!
sit: kutlame
skin: naxap
skin: n-oatdo
skin: oat
sleep: noke in!
sleep: noko in
sleep: sono
small: duk-edak
small: ëuk-ëak
smoke: sokle
smoke: totde
smoke: totëe
stand: mel-asin
stand: mel-asin!
star: husakel
stone: helegit
stone: helep
stone: helip
stone: kelkit
stone: ŋiː
sun: mʊlɪgʊ
sun: mo
sun: muligi
sun: timbo
swim: gume wasin
swim: gume wasin!
tail: aka
tail: aka
tail: axe
that: ili
that: ɪlɪ
thigh: nambula
this: yi
thou: hat
thou: hat
thou: ?kart
thou: kat
tongue: n-adi
tooth: aik
tooth: naik
tooth: n-aik
tooth: naiːk
tree: e
tree: il
tree: o
two: bete
two: pere
vagina: eget
walk: lan
walk: lan
walk: lan!
walk: lan!
warm: akagen
warm: akagen
warm: toktok
warm: toktok
water: i
water: i
water: i
weep: eŋarek
we (excl.): mit
we (incl.): mit
we: nit
we: nit
we: nit
what: nana-meye
what: nena-mege
white: moda
white: moëa
who: ta
who: ta
wind: sogeik
woman: he
woman: he
woman: hömeː
woman: komeː
wood: anayo
wood: awen
wood: kawiː
wood: o
yellow: moda
